Team,Games,Win-Loss,Pass Attempts,Pass Completions,Passing Interceptions Thrown,Pass Yards,Pass Yards/Attempt,Yards/Completion,Pass Touchdowns,Pass Yards Per Game
Hampton (MEAC),11,5-6,368,207,19,2410,6.55,11.64,13,219.1
Saint Francis (PA) (NEC),12,7-5,319,173,12,2627,8.24,15.18,22,218.9
Maine (CAA),11,6-5,320,167,16,2388,7.46,14.30,19,217.1
Southeastern La. (Southland),11,7-4,286,147,12,2382,8.33,16.20,22,216.5
Southeast Mo. St. (OVC),11,3-8,364,180,8,2350,6.46,13.06,11,213.6
Mercer (SoCon),11,6-5,360,211,8,2345,6.51,11.11,20,213.2
Towson (CAA),11,4-7,361,190,14,2334,6.47,12.28,10,212.2
Portland St. (Big Sky),11,3-8,264,150,11,2316,8.77,15.44,13,210.5
Monmouth (Big South),11,4-7,349,206,9,2303,6.60,11.18,11,209.4
Butler (Pioneer),11,4-7,367,190,13,2279,6.21,11.99,13,207.2
South Dakota (MVFC),11,4-7,343,196,11,2279,6.64,11.63,26,207.2
Chattanooga (SoCon),13,9-4,342,220,7,2681,7.84,12.19,26,206.2
Liberty (Big South),11,6-5,333,184,16,2258,6.78,12.27,18,205.3
Alcorn (SWAC),11,5-6,300,170,11,2258,7.53,13.28,17,205.3
Jackson St. (SWAC),11,3-8,406,214,12,2255,5.55,10.54,11,205.0
Colgate (Patriot),10,5-5,270,142,9,2044,7.57,14.39,16,204.4
Stetson (Pioneer),11,4-7,385,203,14,2226,5.78,10.97,15,202.4
Sacramento St. (Big Sky),11,2-9,392,186,13,2217,5.66,11.92,13,201.5
Columbia (Ivy League),10,3-7,350,185,10,2001,5.72,10.82,12,200.1
Campbell (Pioneer),10,5-5,291,166,14,1998,6.87,12.04,16,199.8
Valparaiso (Pioneer),11,4-7,365,202,12,2191,6.00,10.85,16,199.2
N.C. A&T (MEAC),12,9-3,355,205,12,2385,6.72,11.63,26,198.8
UNI (MVFC),11,5-6,308,174,9,2178,7.07,12.52,13,198.0
New Hampshire (CAA),13,8-5,439,249,16,2573,5.86,10.33,20,197.9
Sacred Heart (NEC),11,6-5,344,185,11,2134,6.20,11.54,18,194.0
Texas Southern (SWAC),11,4-7,294,150,11,2125,7.23,14.17,15,193.2
Missouri St. (MVFC),11,4-7,331,184,17,2122,6.41,11.53,22,192.9
Lamar University (Southland),11,3-8,367,200,6,2111,5.75,10.56,12,191.9
Florida A&M (MEAC),11,4-7,350,200,9,2102,6.01,10.51,12,191.1
Alabama A&M (SWAC),11,4-7,359,170,10,2075,5.78,12.21,10,188.6
Brown (Ivy League),10,4-6,367,191,15,1882,5.13,9.85,14,188.2
Bethune-Cookman (MEAC),10,4-6,275,147,12,1863,6.77,12.67,13,186.3
Austin Peay (OVC),11,0-11,291,166,9,2028,6.97,12.22,16,184.4
William & Mary (CAA),11,5-6,311,188,12,2022,6.50,10.76,12,183.8
Jacksonville St. (OVC),12,10-2,318,161,8,2202,6.92,13.68,13,183.5
Bucknell (Patriot),11,4-7,339,182,10,2014,5.94,11.07,9,183.1
Youngstown St. (MVFC),16,12-4,363,213,14,2883,7.94,13.54,18,180.2
North Dakota (Big Sky),12,9-3,293,164,3,2133,7.28,13.01,17,177.8
Northwestern St. (Southland),11,1-10,299,166,11,1951,6.53,11.75,13,177.4
Jacksonville (Pioneer),10,5-5,189,106,7,1765,9.34,16.65,11,176.5
Dayton (Pioneer),11,9-2,267,149,6,1936,7.25,12.99,15,176.0
Davidson (Pioneer),11,2-9,335,149,12,1917,5.72,12.87,12,174.3
Villanova (CAA),13,9-4,319,188,10,2242,7.03,11.93,19,172.5
Houston Christian (Southland),11,4-7,316,146,4,1875,5.93,12.84,9,170.5
North Dakota St. (MVFC),14,12-2,294,171,9,2339,7.96,13.68,19,167.1
Alabama St. (SWAC),11,4-7,300,168,9,1828,6.09,10.88,11,166.2
Delaware St. (MEAC),11,0-11,289,161,17,1792,6.20,11.13,11,162.9
Yale (Ivy League),10,3-7,347,173,13,1626,4.69,9.40,9,162.6
ETSU (SoCon),11,5-6,296,171,8,1787,6.04,10.45,9,162.5
Rhode Island (CAA),11,2-9,320,131,20,1772,5.54,13.53,9,161.1
Morgan St. (MEAC),11,3-8,320,154,12,1754,5.48,11.39,14,159.5
Kennesaw St. (Big South),11,8-3,185,99,6,1748,9.45,17.66,17,158.9
Norfolk St. (MEAC),11,4-7,294,154,8,1727,5.87,11.21,8,157.0
Montana St. (Big Sky),11,4-7,276,127,14,1715,6.21,13.50,13,155.9
Elon (CAA),11,2-9,331,179,10,1701,5.14,9.50,4,154.6
Howard (MEAC),11,2-9,307,148,11,1697,5.53,11.47,11,154.3
Gardner-Webb (Big South),11,5-6,241,134,4,1679,6.97,12.53,9,152.6
Georgetown (Patriot),11,3-8,366,203,16,1660,4.54,8.18,9,150.9
Charleston So. (Big South),11,7-4,190,96,11,1572,8.27,16.38,18,142.9
Presbyterian (Big South),11,2-9,302,168,11,1551,5.14,9.23,6,141.0
South Carolina St. (MEAC),11,5-6,325,151,8,1541,4.74,10.21,15,140.1
Cal Poly (Big Sky),12,7-5,159,99,4,1534,9.65,15.49,17,127.8
Savannah St. (MEAC),10,3-7,249,117,9,1275,5.12,10.90,7,127.5
UAlbany (CAA),11,7-4,205,98,11,1353,6.60,13.81,8,123.0
Stony Brook (CAA),11,5-6,226,107,17,1209,5.35,11.30,3,109.9
Robert Morris (NEC),11,2-9,293,121,16,1089,3.72,9.00,5,99.0
Delaware (CAA),11,4-7,189,90,6,1069,5.66,11.88,6,97.2
The Citadel (SoCon),12,10-2,126,53,5,820,6.51,15.47,5,68.3
Wofford (SoCon),14,10-4,123,65,4,887,7.21,13.65,4,63.4
Abilene Christian (Southland),11,2-9,455,268,8,3063,6.73,11.43,22,278.5
UIW (Southland),11,3-8,396,193,8,2667,6.73,13.82,22,242.5
