Team,Games,Win-Loss,Rush Attempts,Rush Yds,Yards/Rush,Rushing TD,Rushing Yards per Game
Southern Utah (Big Sky),11,6-5,393,1816,4.62,19,165.1
UNI (MVFC),11,5-6,466,1797,3.86,20,163.4
Nicholls (Southland),11,5-6,463,1792,3.87,23,162.9
Monmouth (Big South),11,4-7,404,1776,4.40,26,161.5
N.C. Central (MEAC),12,9-3,443,1934,4.37,23,161.2
William & Mary (CAA),11,5-6,410,1750,4.27,19,159.1
Lehigh (Patriot),12,9-3,458,1907,4.16,30,158.9
Northern Colo. (Big Sky),11,6-5,378,1729,4.57,19,157.2
Illinois St. (MVFC),12,6-6,429,1882,4.39,14,156.8
Northern Ariz. (Big Sky),11,5-6,392,1723,4.40,11,156.6
Towson (CAA),11,4-7,401,1722,4.29,15,156.5
Montana (Big Sky),11,6-5,387,1713,4.43,19,155.7
UC Davis (Big Sky),11,3-8,359,1708,4.76,17,155.3
UT Martin (OVC),12,7-5,468,1852,3.96,18,154.3
Western Caro. (SoCon),11,2-9,371,1678,4.52,16,152.5
Stony Brook (CAA),11,5-6,445,1675,3.76,17,152.3
Eastern Ky. (OVC),11,3-8,419,1666,3.98,18,151.5
South Carolina St. (MEAC),11,5-6,425,1663,3.91,14,151.2
Wagner (NEC),11,6-5,383,1662,4.34,17,151.1
Prairie View (SWAC),11,7-4,362,1659,4.58,21,150.8
Harvard (Ivy League),10,7-3,434,1499,3.45,17,149.9
Bethune-Cookman (MEAC),10,4-6,379,1492,3.94,19,149.2
SFA (Southland),11,5-6,419,1602,3.82,18,145.6
South Dakota St. (MVFC),13,9-4,408,1885,4.62,19,145.0
Bucknell (Patriot),11,4-7,461,1587,3.44,22,144.3
Liberty (Big South),11,6-5,439,1576,3.59,16,143.3
Western Ill. (MVFC),11,6-5,391,1560,3.99,20,141.8
Yale (Ivy League),10,3-7,368,1406,3.82,14,140.6
Maine (CAA),11,6-5,389,1546,3.97,10,140.5
Southern Ill. (MVFC),11,4-7,421,1524,3.62,19,138.5
Richmond (CAA),14,10-4,502,1938,3.86,18,138.4
McNeese (Southland),11,6-5,383,1508,3.94,18,137.1
Morehead St. (Pioneer),11,4-7,386,1487,3.85,21,135.2
Southeast Mo. St. (OVC),11,3-8,413,1486,3.60,13,135.1
ETSU (SoCon),11,5-6,429,1463,3.41,11,133.0
Furman (SoCon),11,3-8,353,1461,4.14,19,132.8
Drake (Pioneer),11,7-4,415,1456,3.51,11,132.4
Weber St. (Big Sky),12,7-5,417,1582,3.79,15,131.8
Lamar University (Southland),11,3-8,412,1442,3.50,14,131.1
Texas Southern (SWAC),11,4-7,405,1431,3.53,11,130.1
Dartmouth (Ivy League),10,4-6,328,1299,3.96,13,129.9
Eastern Wash. (Big Sky),14,12-2,442,1800,4.07,24,128.6
Missouri St. (MVFC),11,4-7,393,1413,3.60,8,128.5
Delaware St. (MEAC),11,0-11,420,1412,3.36,10,128.4
Hampton (MEAC),11,5-6,356,1396,3.92,13,126.9
Columbia (Ivy League),10,3-7,391,1269,3.25,8,126.9
Brown (Ivy League),10,4-6,366,1269,3.47,11,126.9
Saint Francis (PA) (NEC),12,7-5,410,1514,3.69,15,126.2
Norfolk St. (MEAC),11,4-7,382,1358,3.55,11,123.5
Idaho St. (Big Sky),11,2-9,313,1358,4.34,14,123.5
Elon (CAA),11,2-9,340,1347,3.96,8,122.5
Indiana St. (MVFC),11,4-7,419,1341,3.20,11,121.9
Tennessee Tech (OVC),11,5-6,384,1333,3.47,15,121.2
Morgan St. (MEAC),11,3-8,430,1319,3.07,9,119.9
Cornell (Ivy League),10,4-6,309,1182,3.83,11,118.2
Davidson (Pioneer),11,2-9,359,1274,3.55,10,115.8
Rhode Island (CAA),11,2-9,358,1237,3.46,12,112.5
VMI (SoCon),11,3-8,401,1200,2.99,17,109.1
Florida A&M (MEAC),11,4-7,350,1178,3.37,12,107.1
Holy Cross (Patriot),11,4-7,362,1178,3.25,11,107.1
Stetson (Pioneer),11,4-7,358,1158,3.23,12,105.3
Jackson St. (SWAC),11,3-8,323,1139,3.53,9,103.5
Valparaiso (Pioneer),11,4-7,374,1112,2.97,14,101.1
Presbyterian (Big South),11,2-9,380,1105,2.91,4,100.5
Savannah St. (MEAC),10,3-7,330,993,3.01,10,99.3
Marist (Pioneer),11,5-6,308,1079,3.50,11,98.1
Samford (SoCon),12,7-5,322,1161,3.61,13,96.8
Central Conn. St. (NEC),11,2-9,340,1005,2.96,12,91.4
Ark.-Pine Bluff (SWAC),11,1-10,320,863,2.70,7,78.5
Murray St. (OVC),11,4-7,345,856,2.48,9,77.8
Bryant (NEC),11,5-6,316,850,2.69,12,77.3
Georgetown (Patriot),11,3-8,305,819,2.69,8,74.5
Lafayette (Patriot),11,2-9,334,768,2.30,9,69.8
Robert Morris (NEC),11,2-9,320,581,1.82,3,52.8
Mississippi Val. (SWAC),11,1-10,324,279,0.86,5,25.4
UIW (Southland),11,3-8,390,1297,3.33,17,117.9
Abilene Christian (Southland),11,2-9,367,1245,3.39,13,113.2
