Team,Games,Win-Loss,Touchdowns,PAT,2 Point Conversions,Defensive Points,Feild Goals,Safety,Total Points,Points Per Game
UAlbany (CAA),11,7-4,33,29,3,0,13,1,274,24.9
Indiana St. (MVFC),11,4-7,33,29,1,0,15,0,274,24.9
Butler (Pioneer),11,4-7,34,30,0,0,12,0,270,24.5
Villanova (CAA),13,9-4,44,36,1,0,5,0,317,24.4
Idaho St. (Big Sky),11,2-9,37,32,1,0,3,1,267,24.3
Sacramento St. (Big Sky),11,2-9,35,27,2,0,8,1,267,24.3
Western Caro. (SoCon),11,2-9,34,26,4,0,9,0,265,24.1
Alabama A&M (SWAC),11,4-7,32,27,2,0,13,0,262,23.8
Austin Peay (OVC),11,0-11,35,30,1,1,5,0,259,23.5
Holy Cross (Patriot),11,4-7,33,31,2,0,8,1,259,23.5
Missouri St. (MVFC),11,4-7,33,31,1,0,8,1,257,23.4
Texas Southern (SWAC),11,4-7,30,27,2,0,15,0,256,23.3
Valparaiso (Pioneer),11,4-7,34,31,0,0,6,0,253,23.0
Cornell (Ivy League),10,4-6,30,27,0,0,7,1,230,23.0
Northwestern St. (Southland),11,1-10,31,26,1,0,11,1,249,22.6
Central Conn. St. (NEC),11,2-9,30,25,2,0,12,0,245,22.3
Maine (CAA),11,6-5,35,28,2,0,1,0,245,22.3
William & Mary (CAA),11,5-6,32,28,1,0,7,0,243,22.1
Towson (CAA),11,4-7,27,25,1,0,18,0,243,22.1
Delaware (CAA),11,4-7,31,30,0,0,8,1,242,22.0
Stetson (Pioneer),11,4-7,30,27,0,0,8,1,233,21.2
Bucknell (Patriot),11,4-7,32,26,0,0,4,1,232,21.1
South Carolina St. (MEAC),11,5-6,31,25,0,0,7,0,232,21.1
Lamar University (Southland),11,3-8,29,26,0,0,10,0,230,20.9
Southeast Mo. St. (OVC),11,3-8,25,23,1,0,18,0,229,20.8
Brown (Ivy League),10,4-6,27,24,0,0,6,0,204,20.4
VMI (SoCon),11,3-8,30,19,2,0,7,0,224,20.4
Yale (Ivy League),10,3-7,25,21,3,0,8,1,203,20.3
Dartmouth (Ivy League),10,4-6,26,24,0,0,7,0,201,20.1
Lafayette (Patriot),11,2-9,27,24,2,0,8,1,216,19.6
Hampton (MEAC),11,5-6,28,27,0,0,6,0,213,19.4
Howard (MEAC),11,2-9,28,14,4,0,6,0,208,18.9
Houston Christian (Southland),11,4-7,23,21,0,0,16,0,207,18.8
Florida A&M (MEAC),11,4-7,25,19,1,0,11,1,206,18.7
Columbia (Ivy League),10,3-7,21,16,2,0,13,0,185,18.5
Jackson St. (SWAC),11,3-8,25,22,1,0,9,1,203,18.5
Davidson (Pioneer),11,2-9,24,23,0,0,8,0,191,17.4
Rhode Island (CAA),11,2-9,24,23,0,0,6,0,185,16.8
Morgan St. (MEAC),11,3-8,24,16,2,0,6,1,184,16.7
Stony Brook (CAA),11,5-6,25,23,0,0,3,1,184,16.7
Norfolk St. (MEAC),11,4-7,20,17,2,0,11,0,174,15.8
ETSU (SoCon),11,5-6,20,18,0,0,12,0,174,15.8
Georgetown (Patriot),11,3-8,19,19,0,0,11,0,166,15.1
Delaware St. (MEAC),11,0-11,22,18,0,0,4,0,162,14.7
Savannah St. (MEAC),10,3-7,18,17,0,0,6,0,143,14.3
Mississippi Val. (SWAC),11,1-10,21,19,0,0,3,0,154,14.0
Ark.-Pine Bluff (SWAC),11,1-10,19,15,3,0,5,0,150,13.6
Elon (CAA),11,2-9,14,14,0,0,12,0,134,12.2
Robert Morris (NEC),11,2-9,14,13,0,1,7,1,122,11.1
Presbyterian (Big South),11,2-9,11,11,0,0,7,0,98,8.9
Abilene Christian (Southland),11,2-9,36,30,4,1,13,0,295,26.8
UIW (Southland),11,3-8,40,34,2,0,4,0,290,26.4
