Team,Games,Win-Loss,Opp Redzone Attempts,Opp Redzone Rush TD Allowed,Opp Redzone Pass Touchdowns Allowed,Opp Redzone Field Goals Made,Opp Redzone Scores,Redzone Points Allowed
Alabama St. (SWAC),11,4-7,39,14,10,7,31,0.795
Prairie View (SWAC),11,7-4,44,21,8,6,35,0.795
South Dakota St. (MVFC),13,9-4,44,18,10,7,35,0.795
Lehigh (Patriot),12,9-3,44,27,5,3,35,0.795
Rhode Island (CAA),11,2-9,50,19,17,4,40,0.800
Western Ill. (MVFC),11,6-5,40,11,15,6,32,0.800
Mercer (SoCon),11,6-5,45,18,9,9,36,0.800
Saint Francis (PA) (NEC),12,7-5,35,9,7,12,28,0.800
Southern Utah (Big Sky),11,6-5,45,13,13,10,36,0.800
Presbyterian (Big South),11,2-9,35,21,2,5,28,0.800
Monmouth (Big South),11,4-7,46,24,7,6,37,0.804
Montana St. (Big Sky),11,4-7,41,12,13,8,33,0.805
Wagner (NEC),11,6-5,31,9,6,10,25,0.806
Penn (Ivy League),10,7-3,31,12,6,7,25,0.806
San Diego (Pioneer),12,10-2,21,6,6,5,17,0.810
Nicholls (Southland),11,5-6,42,17,7,10,34,0.810
UAlbany (CAA),11,7-4,37,12,6,12,30,0.811
Samford (SoCon),12,7-5,48,20,8,11,39,0.813
Elon (CAA),11,2-9,48,15,11,13,39,0.813
Jacksonville (Pioneer),10,5-5,43,16,15,4,35,0.814
Cornell (Ivy League),10,4-6,43,18,8,9,35,0.814
Yale (Ivy League),10,3-7,43,12,14,9,35,0.814
Norfolk St. (MEAC),11,4-7,43,17,11,7,35,0.814
James Madison (CAA),15,14-1,44,21,11,4,36,0.818
Bryant (NEC),11,5-6,45,15,13,9,37,0.822
Ark.-Pine Bluff (SWAC),11,1-10,51,23,13,6,42,0.824
Southern U. (SWAC),11,8-3,34,17,4,7,28,0.824
Drake (Pioneer),11,7-4,40,15,14,4,33,0.825
Holy Cross (Patriot),11,4-7,46,20,13,5,38,0.826
South Carolina St. (MEAC),11,5-6,29,7,9,8,24,0.828
UT Martin (OVC),12,7-5,35,9,11,9,29,0.829
Howard (MEAC),11,2-9,41,19,7,8,34,0.829
Delaware St. (MEAC),11,0-11,59,20,13,16,49,0.831
Davidson (Pioneer),11,2-9,42,18,9,8,35,0.833
Tennessee St. (OVC),11,7-4,42,16,11,8,35,0.833
Western Caro. (SoCon),11,2-9,60,26,13,11,50,0.833
Towson (CAA),11,4-7,37,14,9,8,31,0.838
Colgate (Patriot),10,5-5,25,4,10,7,21,0.840
Campbell (Pioneer),10,5-5,38,16,8,8,32,0.842
Duquesne (NEC),11,8-3,38,14,8,10,32,0.842
Chattanooga (SoCon),13,9-4,32,12,9,6,27,0.844
Eastern Ky. (OVC),11,3-8,45,20,7,11,38,0.844
SFA (Southland),11,5-6,45,14,15,9,38,0.844
Austin Peay (OVC),11,0-11,58,25,16,8,49,0.845
Dartmouth (Ivy League),10,4-6,33,11,8,9,28,0.848
Idaho St. (Big Sky),11,2-9,53,23,15,7,45,0.849
Northwestern St. (Southland),11,1-10,56,14,21,13,48,0.857
UC Davis (Big Sky),11,3-8,49,24,7,11,42,0.857
Missouri St. (MVFC),11,4-7,50,24,8,11,43,0.860
Sacramento St. (Big Sky),11,2-9,43,14,16,7,37,0.860
Central Conn. St. (NEC),11,2-9,46,18,17,5,40,0.870
Houston Christian (Southland),11,4-7,46,17,14,9,40,0.870
Marist (Pioneer),11,5-6,46,22,8,10,40,0.870
Northern Colo. (Big Sky),11,6-5,54,23,10,14,47,0.870
Eastern Ill. (OVC),11,6-5,39,17,8,9,34,0.872
Cal Poly (Big Sky),12,7-5,48,11,22,9,42,0.875
Richmond (CAA),14,10-4,49,23,10,10,43,0.878
Fordham (Patriot),11,8-3,41,28,1,7,36,0.878
Sacred Heart (NEC),11,6-5,33,14,8,7,29,0.879
Mississippi Val. (SWAC),11,1-10,50,23,15,6,44,0.880
Kennesaw St. (Big South),11,8-3,25,8,5,9,22,0.880
Sam Houston (Southland),13,12-1,42,14,15,8,37,0.881
Delaware (CAA),11,4-7,35,14,10,7,31,0.886
Lafayette (Patriot),11,2-9,45,23,11,6,40,0.889
Alabama A&M (SWAC),11,4-7,48,21,15,7,43,0.896
Bucknell (Patriot),11,4-7,39,18,5,12,35,0.897
Portland St. (Big Sky),11,3-8,42,19,14,5,38,0.905
Youngstown St. (MVFC),16,12-4,42,9,15,14,38,0.905
Indiana St. (MVFC),11,4-7,44,21,9,10,40,0.909
Furman (SoCon),11,3-8,34,17,10,4,31,0.912
Northern Ariz. (Big Sky),11,5-6,37,15,12,7,34,0.919
UNI (MVFC),11,5-6,25,7,10,6,23,0.920
Valparaiso (Pioneer),11,4-7,50,21,13,12,46,0.920
Morgan St. (MEAC),11,3-8,42,13,15,11,39,0.929
McNeese (Southland),11,6-5,30,12,8,8,28,0.933
Weber St. (Big Sky),12,7-5,37,14,12,9,35,0.946
Abilene Christian (Southland),11,2-9,52,20,16,7,43,0.827
UIW (Southland),11,3-8,47,20,15,4,39,0.830
