Team,Games,Win-Loss,Penalties,Penalty Yards,Penalty Yards Per Game
ETSU (SoCon),11,5-6,62,615,55.91
Georgetown (Patriot),11,3-8,69,618,56.18
Norfolk St. (MEAC),11,4-7,66,622,56.55
San Diego (Pioneer),12,10-2,71,680,56.67
N.C. A&T (MEAC),12,9-3,79,684,57.00
Bryant (NEC),11,5-6,71,628,57.09
Western Caro. (SoCon),11,2-9,72,640,58.18
UT Martin (OVC),12,7-5,85,708,59.00
Maine (CAA),11,6-5,67,650,59.09
Austin Peay (OVC),11,0-11,87,659,59.91
Samford (SoCon),12,7-5,70,720,60.00
Delaware St. (MEAC),11,0-11,72,661,60.09
Portland St. (Big Sky),11,3-8,68,665,60.45
Charleston So. (Big South),11,7-4,83,665,60.45
UNI (MVFC),11,5-6,74,673,61.18
Houston Christian (Southland),11,4-7,78,674,61.27
Southeast Mo. St. (OVC),11,3-8,80,676,61.45
James Madison (CAA),15,14-1,102,924,61.60
Stetson (Pioneer),11,4-7,76,679,61.73
Northwestern St. (Southland),11,1-10,76,682,62.00
Jacksonville (Pioneer),10,5-5,58,621,62.10
Texas Southern (SWAC),11,4-7,75,689,62.64
Howard (MEAC),11,2-9,72,690,62.73
Central Conn. St. (NEC),11,2-9,78,694,63.09
Murray St. (OVC),11,4-7,73,694,63.09
Kennesaw St. (Big South),11,8-3,71,705,64.09
Monmouth (Big South),11,4-7,72,709,64.45
Robert Morris (NEC),11,2-9,81,712,64.73
Southern Utah (Big Sky),11,6-5,70,715,65.00
McNeese (Southland),11,6-5,74,716,65.09
Northern Ariz. (Big Sky),11,5-6,80,717,65.18
Montana (Big Sky),11,6-5,79,719,65.36
Hampton (MEAC),11,5-6,90,727,66.09
Eastern Ky. (OVC),11,3-8,83,728,66.18
Drake (Pioneer),11,7-4,77,731,66.45
Cornell (Ivy League),10,4-6,71,679,67.90
Mercer (SoCon),11,6-5,76,752,68.36
Savannah St. (MEAC),10,3-7,71,686,68.60
Eastern Ill. (OVC),11,6-5,88,758,68.91
SFA (Southland),11,5-6,86,764,69.45
Sacred Heart (NEC),11,6-5,75,773,70.27
Marist (Pioneer),11,5-6,89,773,70.27
South Carolina St. (MEAC),11,5-6,78,774,70.36
Southern Ill. (MVFC),11,4-7,80,782,71.09
Sam Houston (Southland),13,12-1,89,927,71.31
Grambling (SWAC),12,11-1,104,865,72.08
Central Ark. (Southland),13,10-3,99,942,72.46
Southeastern La. (Southland),11,7-4,92,805,73.18
Jackson St. (SWAC),11,3-8,97,808,73.45
Northern Colo. (Big Sky),11,6-5,87,810,73.64
Harvard (Ivy League),10,7-3,77,740,74.00
Alcorn (SWAC),11,5-6,91,818,74.36
Wagner (NEC),11,6-5,91,824,74.91
Columbia (Ivy League),10,3-7,73,772,77.20
Mississippi Val. (SWAC),11,1-10,96,867,78.82
Tennessee St. (OVC),11,7-4,101,868,78.91
Morgan St. (MEAC),11,3-8,94,872,79.27
Florida A&M (MEAC),11,4-7,81,880,80.00
Prairie View (SWAC),11,7-4,98,888,80.73
Saint Francis (PA) (NEC),12,7-5,93,981,81.75
Ark.-Pine Bluff (SWAC),11,1-10,108,909,82.64
Bethune-Cookman (MEAC),10,4-6,89,831,83.10
Campbell (Pioneer),10,5-5,93,833,83.30
Jacksonville St. (OVC),12,10-2,116,1085,90.42
Alabama St. (SWAC),11,4-7,105,1004,91.27
N.C. Central (MEAC),12,9-3,93,1128,94.00
Abilene Christian (Southland),11,2-9,74,642,58.36
UIW (Southland),11,3-8,76,737,67.00
