Team,Games,Win-Loss,Fumbles Recovered,Opponents Intercepted,Turnovers Gain,Fumbles Lost,Interceptions Thrown,Turnovers Lost,Turnover Margin,Avg Turnover Margin per Game
Bethune-Cookman (MEAC),10,4-6,6,11,17,5,12,17,0,0.00
Monmouth (Big South),11,4-7,11,6,17,8,9,17,0,0.00
N.C. A&T (MEAC),12,9-3,11,13,24,12,12,24,0,0.00
Western Ill. (MVFC),11,6-5,5,12,17,5,12,17,0,0.00
San Diego (Pioneer),12,10-2,8,9,17,9,9,18,-1,-0.08
William & Mary (CAA),11,5-6,3,12,15,4,12,16,-1,-0.09
Sacred Heart (NEC),11,6-5,10,8,18,8,11,19,-1,-0.09
Southern Ill. (MVFC),11,4-7,2,12,14,8,7,15,-1,-0.09
Houston Christian (Southland),11,4-7,6,3,9,6,4,10,-1,-0.09
Cornell (Ivy League),10,4-6,5,15,20,7,14,21,-1,-0.10
Youngstown St. (MVFC),16,12-4,11,12,23,11,14,25,-2,-0.13
UT Martin (OVC),12,7-5,11,17,28,13,17,30,-2,-0.17
Illinois St. (MVFC),12,6-6,2,13,15,10,7,17,-2,-0.17
Cal Poly (Big Sky),12,7-5,6,8,14,12,4,16,-2,-0.17
Alabama A&M (SWAC),11,4-7,7,9,16,8,10,18,-2,-0.18
Southeast Mo. St. (OVC),11,3-8,8,5,13,7,8,15,-2,-0.18
Duquesne (NEC),11,8-3,10,7,17,9,10,19,-2,-0.18
Sacramento St. (Big Sky),11,2-9,11,4,15,5,13,18,-3,-0.27
Charleston So. (Big South),11,7-4,6,11,17,9,11,20,-3,-0.27
Northern Colo. (Big Sky),11,6-5,11,2,13,6,10,16,-3,-0.27
VMI (SoCon),11,3-8,8,7,15,4,14,18,-3,-0.27
Lafayette (Patriot),11,2-9,6,8,14,4,13,17,-3,-0.27
Brown (Ivy League),10,4-6,10,12,22,10,15,25,-3,-0.30
Presbyterian (Big South),11,2-9,7,7,14,7,11,18,-4,-0.36
Drake (Pioneer),11,7-4,9,10,19,6,17,23,-4,-0.36
Stetson (Pioneer),11,4-7,11,12,23,13,14,27,-4,-0.36
Harvard (Ivy League),10,7-3,6,11,17,8,13,21,-4,-0.40
Dartmouth (Ivy League),10,4-6,9,7,16,5,15,20,-4,-0.40
Tennessee Tech (OVC),11,5-6,4,8,12,10,7,17,-5,-0.45
Robert Morris (NEC),11,2-9,11,7,18,7,16,23,-5,-0.45
Southeastern La. (Southland),11,7-4,9,10,19,12,12,24,-5,-0.45
Morgan St. (MEAC),11,3-8,10,8,18,11,12,23,-5,-0.45
McNeese (Southland),11,6-5,6,8,14,12,7,19,-5,-0.45
Northwestern St. (Southland),11,1-10,6,5,11,5,11,16,-5,-0.45
Elon (CAA),11,2-9,3,11,14,9,10,19,-5,-0.45
Prairie View (SWAC),11,7-4,9,11,20,7,18,25,-5,-0.45
Towson (CAA),11,4-7,7,9,16,8,14,22,-6,-0.55
Ark.-Pine Bluff (SWAC),11,1-10,6,3,9,7,8,15,-6,-0.55
Howard (MEAC),11,2-9,6,7,13,8,11,19,-6,-0.55
Western Caro. (SoCon),11,2-9,9,6,15,12,9,21,-6,-0.55
Portland St. (Big Sky),11,3-8,7,7,14,9,11,20,-6,-0.55
Jackson St. (SWAC),11,3-8,7,8,15,9,12,21,-6,-0.55
Bryant (NEC),11,5-6,6,10,16,8,14,22,-6,-0.55
N.C. Central (MEAC),12,9-3,11,9,20,12,15,27,-7,-0.58
Montana St. (Big Sky),11,4-7,8,10,18,11,14,25,-7,-0.64
Indiana St. (MVFC),11,4-7,11,5,16,11,12,23,-7,-0.64
Idaho St. (Big Sky),11,2-9,5,10,15,11,11,22,-7,-0.64
Holy Cross (Patriot),11,4-7,8,8,16,10,13,23,-7,-0.64
Central Conn. St. (NEC),11,2-9,9,7,16,14,9,23,-7,-0.64
Alcorn (SWAC),11,5-6,8,10,18,15,11,26,-8,-0.73
Texas Southern (SWAC),11,4-7,4,9,13,10,11,21,-8,-0.73
Eastern Ill. (OVC),11,6-5,11,7,18,13,13,26,-8,-0.73
Eastern Ky. (OVC),11,3-8,13,10,23,11,20,31,-8,-0.73
Furman (SoCon),11,3-8,7,7,14,9,13,22,-8,-0.73
Yale (Ivy League),10,3-7,6,7,13,8,13,21,-8,-0.80
Butler (Pioneer),11,4-7,6,8,14,10,13,23,-9,-0.82
Weber St. (Big Sky),12,7-5,7,5,12,8,14,22,-10,-0.83
Morehead St. (Pioneer),11,4-7,8,7,15,14,11,25,-10,-0.91
Missouri St. (MVFC),11,4-7,8,10,18,11,17,28,-10,-0.91
Stony Brook (CAA),11,5-6,8,10,18,11,17,28,-10,-0.91
Mississippi Val. (SWAC),11,1-10,9,11,20,12,19,31,-11,-1.00
Austin Peay (OVC),11,0-11,8,5,13,15,9,24,-11,-1.00
Columbia (Ivy League),10,3-7,3,7,10,12,10,22,-12,-1.20
Hampton (MEAC),11,5-6,9,5,14,10,19,29,-15,-1.36
Rhode Island (CAA),11,2-9,6,6,12,8,20,28,-16,-1.45
Delaware St. (MEAC),11,0-11,5,2,7,11,17,28,-21,-1.91
UIW (Southland),11,3-8,14,1,15,7,8,15,0,0.00
Abilene Christian (Southland),11,2-9,7,6,13,10,8,18,-5,-0.45
