Team,Games,Win-Loss,Opp 3rd Conversion,Opp 3rd Attempt,Opponent 3rd Percent
UC Davis (Big Sky),11,3-8,70,154,0.455
Penn (Ivy League),10,7-3,67,146,0.459
Austin Peay (OVC),11,0-11,62,135,0.459
Idaho St. (Big Sky),11,2-9,80,173,0.462
Rhode Island (CAA),11,2-9,80,173,0.462
Northern Colo. (Big Sky),11,6-5,84,179,0.469
Mississippi Val. (SWAC),11,1-10,63,134,0.470
South Dakota St. (MVFC),13,9-4,92,194,0.474
Cornell (Ivy League),10,4-6,70,147,0.476
Monmouth (Big South),11,4-7,73,151,0.483
Towson (CAA),11,4-7,74,153,0.484
Cal Poly (Big Sky),12,7-5,75,155,0.484
Ark.-Pine Bluff (SWAC),11,1-10,68,138,0.493
Western Caro. (SoCon),11,2-9,89,164,0.543
UIW (Southland),11,3-8,64,157,0.408
Abilene Christian (Southland),11,2-9,71,162,0.438
