Team,Games,Win-Loss,Redzone Attempts,Redzone Rush TD,Redzone Pass TD,Redzone Field Goals Made,Redzone Scores,Redzone Points
Wofford (SoCon),14,10-4,51,28,4,9,41,0.804
Nicholls (Southland),11,5-6,45,20,7,9,36,0.800
Indiana St. (MVFC),11,4-7,40,11,11,10,32,0.800
Charleston So. (Big South),11,7-4,40,20,7,5,32,0.800
Elon (CAA),11,2-9,20,7,2,7,16,0.800
UNI (MVFC),11,5-6,54,19,10,14,43,0.796
Morehead St. (Pioneer),11,4-7,44,20,10,5,35,0.795
Texas Southern (SWAC),11,4-7,29,10,6,7,23,0.793
Portland St. (Big Sky),11,3-8,48,24,7,7,38,0.792
Towson (CAA),11,4-7,43,14,5,15,34,0.791
Bethune-Cookman (MEAC),10,4-6,33,13,8,5,26,0.788
Florida A&M (MEAC),11,4-7,33,9,7,10,26,0.788
Western Caro. (SoCon),11,2-9,37,11,11,7,29,0.784
Howard (MEAC),11,2-9,32,10,9,6,25,0.781
Youngstown St. (MVFC),16,12-4,68,25,11,17,53,0.779
Jackson St. (SWAC),11,3-8,27,6,7,8,21,0.778
UC Davis (Big Sky),11,3-8,45,13,14,8,35,0.778
Lafayette (Patriot),11,2-9,36,9,11,8,28,0.778
Villanova (CAA),13,9-4,45,19,12,4,35,0.778
Dartmouth (Ivy League),10,4-6,36,12,9,7,28,0.778
Austin Peay (OVC),11,0-11,31,10,10,4,24,0.774
Cornell (Ivy League),10,4-6,31,8,9,7,24,0.774
Lamar University (Southland),11,3-8,31,8,6,10,24,0.774
UT Martin (OVC),12,7-5,48,16,14,7,37,0.771
Central Ark. (Southland),13,10-3,65,28,12,10,50,0.769
Delaware St. (MEAC),11,0-11,26,7,9,4,20,0.769
Eastern Ill. (OVC),11,6-5,43,18,10,5,33,0.767
Missouri St. (MVFC),11,4-7,30,5,11,7,23,0.767
New Hampshire (CAA),13,8-5,51,17,16,6,39,0.765
Northwestern St. (Southland),11,1-10,34,14,5,7,26,0.765
Southeast Mo. St. (OVC),11,3-8,34,8,4,14,26,0.765
Delaware (CAA),11,4-7,34,17,3,6,26,0.765
William & Mary (CAA),11,5-6,38,14,10,5,29,0.763
Monmouth (Big South),11,4-7,42,21,5,6,32,0.762
Savannah St. (MEAC),10,3-7,21,7,5,4,16,0.762
Northern Ariz. (Big Sky),11,5-6,50,7,19,12,38,0.760
Rhode Island (CAA),11,2-9,25,9,5,5,19,0.760
Murray St. (OVC),11,4-7,44,6,14,13,33,0.750
The Citadel (SoCon),12,10-2,48,22,3,11,36,0.750
Kennesaw St. (Big South),11,8-3,55,32,6,3,41,0.745
VMI (SoCon),11,3-8,38,16,7,5,28,0.737
South Carolina St. (MEAC),11,5-6,34,12,7,6,25,0.735
Stetson (Pioneer),11,4-7,34,9,9,7,25,0.735
Alcorn (SWAC),11,5-6,41,19,7,4,30,0.732
Central Conn. St. (NEC),11,2-9,36,11,6,9,26,0.722
Bucknell (Patriot),11,4-7,42,19,8,3,30,0.714
Alabama St. (SWAC),11,4-7,42,22,4,4,30,0.714
Hampton (MEAC),11,5-6,31,10,7,5,22,0.710
Marist (Pioneer),11,5-6,37,8,10,8,26,0.703
Eastern Ky. (OVC),11,3-8,43,15,6,9,30,0.698
Campbell (Pioneer),10,5-5,33,14,5,4,23,0.697
Stony Brook (CAA),11,5-6,23,12,1,3,16,0.696
UAlbany (CAA),11,7-4,39,13,4,10,27,0.692
Houston Christian (Southland),11,4-7,31,8,2,11,21,0.677
Brown (Ivy League),10,4-6,32,7,9,5,21,0.656
Mississippi Val. (SWAC),11,1-10,27,4,10,3,17,0.630
Davidson (Pioneer),11,2-9,32,7,6,7,20,0.625
Morgan St. (MEAC),11,3-8,36,9,8,5,22,0.611
Robert Morris (NEC),11,2-9,17,3,3,4,10,0.588
Presbyterian (Big South),11,2-9,25,4,3,7,14,0.560
Ark.-Pine Bluff (SWAC),11,1-10,31,7,6,4,17,0.548
Maine (CAA),11,6-5,31,7,9,1,17,0.548
Abilene Christian (Southland),11,2-9,34,11,12,7,30,0.882
UIW (Southland),11,3-8,31,12,9,4,25,0.806
