Team,Games,Win-Loss,Kickoffs Returned,Kickoff Return Yards,Kickoff Return Touchdowns,Avg Yard per Kickoff Return
N.C. Central (MEAC),12,9-3,44,832,0,18.91
Campbell (Pioneer),10,5-5,42,795,0,18.93
Gardner-Webb (Big South),11,5-6,24,455,0,18.96
Dartmouth (Ivy League),10,4-6,30,570,0,19.00
Youngstown St. (MVFC),16,12-4,58,1106,0,19.07
James Madison (CAA),15,14-1,92,1759,1,19.12
Indiana St. (MVFC),11,4-7,41,784,0,19.12
William & Mary (CAA),11,5-6,32,612,1,19.13
Central Ark. (Southland),13,10-3,52,997,0,19.17
Nicholls (Southland),11,5-6,47,902,1,19.19
Alcorn (SWAC),11,5-6,41,793,0,19.34
Liberty (Big South),11,6-5,32,621,0,19.41
South Dakota St. (MVFC),13,9-4,54,1050,2,19.44
Valparaiso (Pioneer),11,4-7,48,936,0,19.50
Kennesaw St. (Big South),11,8-3,51,995,1,19.51
McNeese (Southland),11,6-5,54,1054,0,19.52
Southern Ill. (MVFC),11,4-7,43,840,0,19.53
Florida A&M (MEAC),11,4-7,37,723,0,19.54
Stetson (Pioneer),11,4-7,32,629,0,19.66
Samford (SoCon),12,7-5,46,905,0,19.67
Northern Colo. (Big Sky),11,6-5,35,690,0,19.71
Southern Utah (Big Sky),11,6-5,18,355,0,19.72
Sam Houston (Southland),13,12-1,66,1304,1,19.76
N.C. A&T (MEAC),12,9-3,51,1013,0,19.86
Mercer (SoCon),11,6-5,48,956,1,19.92
Western Ill. (MVFC),11,6-5,26,518,0,19.92
Southeast Mo. St. (OVC),11,3-8,28,562,0,20.07
Holy Cross (Patriot),11,4-7,42,844,1,20.10
Drake (Pioneer),11,7-4,44,886,0,20.14
Prairie View (SWAC),11,7-4,47,959,1,20.40
Southern U. (SWAC),11,8-3,66,1350,3,20.45
Jacksonville St. (OVC),12,10-2,54,1112,0,20.59
Presbyterian (Big South),11,2-9,15,309,0,20.60
Chattanooga (SoCon),13,9-4,64,1322,1,20.66
Lehigh (Patriot),12,9-3,51,1062,0,20.82
SFA (Southland),11,5-6,57,1187,1,20.82
Mississippi Val. (SWAC),11,1-10,24,500,0,20.83
Ark.-Pine Bluff (SWAC),11,1-10,25,522,0,20.88
Missouri St. (MVFC),11,4-7,31,652,0,21.03
Lamar University (Southland),11,3-8,42,884,0,21.05
Cal Poly (Big Sky),12,7-5,55,1161,1,21.11
Colgate (Patriot),10,5-5,54,1147,1,21.24
Furman (SoCon),11,3-8,33,701,0,21.24
South Dakota (MVFC),11,4-7,37,786,0,21.24
South Carolina St. (MEAC),11,5-6,36,766,0,21.28
Bethune-Cookman (MEAC),10,4-6,37,788,0,21.30
Delaware St. (MEAC),11,0-11,27,577,0,21.37
Wagner (NEC),11,6-5,41,878,2,21.41
VMI (SoCon),11,3-8,24,515,0,21.46
Illinois St. (MVFC),12,6-6,41,882,0,21.51
Howard (MEAC),11,2-9,30,646,1,21.53
Delaware (CAA),11,4-7,33,725,0,21.97
Rhode Island (CAA),11,2-9,29,638,0,22.00
Tennessee Tech (OVC),11,5-6,38,837,1,22.03
Morgan St. (MEAC),11,3-8,26,573,0,22.04
Wofford (SoCon),14,10-4,35,777,0,22.20
Weber St. (Big Sky),12,7-5,31,696,2,22.45
Montana (Big Sky),11,6-5,55,1236,1,22.47
Villanova (CAA),13,9-4,51,1147,2,22.49
Stony Brook (CAA),11,5-6,38,862,0,22.68
Hampton (MEAC),11,5-6,31,705,1,22.74
UNI (MVFC),11,5-6,42,956,1,22.76
North Dakota (Big Sky),12,9-3,47,1070,1,22.77
Savannah St. (MEAC),10,3-7,27,623,1,23.07
Richmond (CAA),14,10-4,68,1570,1,23.09
Sacramento St. (Big Sky),11,2-9,31,717,0,23.13
Morehead St. (Pioneer),11,4-7,50,1160,1,23.20
Houston Christian (Southland),11,4-7,25,584,0,23.36
Elon (CAA),11,2-9,32,748,1,23.38
Saint Francis (PA) (NEC),12,7-5,35,822,1,23.49
Bucknell (Patriot),11,4-7,35,827,0,23.63
Eastern Ky. (OVC),11,3-8,34,810,1,23.82
Austin Peay (OVC),11,0-11,37,884,3,23.89
Lafayette (Patriot),11,2-9,23,554,0,24.09
Robert Morris (NEC),11,2-9,16,394,0,24.63
Western Caro. (SoCon),11,2-9,40,994,1,24.85
The Citadel (SoCon),12,10-2,39,970,1,24.87
UC Davis (Big Sky),11,3-8,47,1178,0,25.06
Central Conn. St. (NEC),11,2-9,35,884,1,25.26
Murray St. (OVC),11,4-7,40,1059,1,26.48
Marist (Pioneer),11,5-6,27,718,1,26.59
Northern Ariz. (Big Sky),11,5-6,37,988,0,26.70
Cornell (Ivy League),10,4-6,21,573,0,27.29
Abilene Christian (Southland),11,2-9,43,942,1,21.91
UIW (Southland),11,3-8,30,865,2,28.83
