Team,Games,Win-Loss,Opp Rush Attempts,Opp Rush Yards Alloweed,Yds/Rush Allowed,Opp Rush Touchdowns Allowed,Rush Yards Per Game Allowed
Tennessee Tech (OVC),11,5-6,401,1710,4.26,18,155.5
Georgetown (Patriot),11,3-8,452,1714,3.79,16,155.8
Stetson (Pioneer),11,4-7,407,1725,4.24,15,156.8
Dartmouth (Ivy League),10,4-6,402,1578,3.93,13,157.8
Eastern Ill. (OVC),11,6-5,440,1745,3.97,20,158.6
Hampton (MEAC),11,5-6,414,1749,4.22,16,159.0
Jackson St. (SWAC),11,3-8,430,1770,4.12,20,160.9
Texas Southern (SWAC),11,4-7,376,1771,4.71,22,161.0
Alcorn (SWAC),11,5-6,415,1779,4.29,14,161.7
Towson (CAA),11,4-7,444,1780,4.01,17,161.8
N.C. Central (MEAC),12,9-3,511,1973,3.86,17,164.4
Southern Ill. (MVFC),11,4-7,435,1825,4.20,12,165.9
Delaware (CAA),11,4-7,399,1850,4.64,18,168.2
Holy Cross (Patriot),11,4-7,431,1854,4.30,26,168.5
Maine (CAA),11,6-5,410,1867,4.55,18,169.7
Sam Houston (Southland),13,12-1,533,2230,4.18,20,171.5
Norfolk St. (MEAC),11,4-7,420,1905,4.54,19,173.2
Bethune-Cookman (MEAC),10,4-6,380,1742,4.58,18,174.2
South Dakota St. (MVFC),13,9-4,503,2274,4.52,23,174.9
Davidson (Pioneer),11,2-9,458,1929,4.21,23,175.4
Drake (Pioneer),11,7-4,429,1933,4.51,18,175.7
Prairie View (SWAC),11,7-4,432,1939,4.49,25,176.3
Tennessee St. (OVC),11,7-4,390,1956,5.02,18,177.8
UAlbany (CAA),11,7-4,462,1990,4.31,13,180.9
Missouri St. (MVFC),11,4-7,413,2016,4.88,31,183.3
Southeastern La. (Southland),11,7-4,450,2029,4.51,20,184.5
Indiana St. (MVFC),11,4-7,456,2040,4.47,26,185.5
Fordham (Patriot),11,8-3,433,2051,4.74,33,186.5
VMI (SoCon),11,3-8,445,2055,4.62,13,186.8
Jacksonville (Pioneer),10,5-5,374,1899,5.08,19,189.9
Morgan St. (MEAC),11,3-8,451,2096,4.65,20,190.5
Furman (SoCon),11,3-8,462,2115,4.58,21,192.3
Houston Christian (Southland),11,4-7,442,2117,4.79,23,192.5
Northwestern St. (Southland),11,1-10,450,2130,4.73,15,193.6
Eastern Wash. (Big Sky),14,12-2,591,2711,4.59,26,193.6
Cornell (Ivy League),10,4-6,432,1942,4.50,22,194.2
Southern U. (SWAC),11,8-3,386,2138,5.54,23,194.4
Weber St. (Big Sky),12,7-5,484,2342,4.84,21,195.2
Gardner-Webb (Big South),11,5-6,470,2162,4.60,17,196.5
Mississippi Val. (SWAC),11,1-10,425,2169,5.10,29,197.2
ETSU (SoCon),11,5-6,466,2175,4.67,26,197.7
UC Davis (Big Sky),11,3-8,466,2194,4.71,30,199.5
Eastern Ky. (OVC),11,3-8,522,2204,4.22,23,200.4
Savannah St. (MEAC),10,3-7,451,2008,4.45,22,200.8
Valparaiso (Pioneer),11,4-7,452,2233,4.94,23,203.0
Murray St. (OVC),11,4-7,468,2242,4.79,21,203.8
Ark.-Pine Bluff (SWAC),11,1-10,458,2264,4.94,26,205.8
Lehigh (Patriot),12,9-3,483,2470,5.11,31,205.8
Marist (Pioneer),11,5-6,499,2277,4.56,24,207.0
William & Mary (CAA),11,5-6,446,2281,5.11,23,207.4
Samford (SoCon),12,7-5,609,2537,4.17,25,211.4
Rhode Island (CAA),11,2-9,473,2334,4.93,23,212.2
Florida A&M (MEAC),11,4-7,442,2401,5.43,32,218.3
Liberty (Big South),11,6-5,464,2414,5.20,21,219.5
Howard (MEAC),11,2-9,425,2416,5.68,29,219.6
Idaho St. (Big Sky),11,2-9,489,2516,5.15,31,228.7
Elon (CAA),11,2-9,486,2528,5.20,17,229.8
Lamar University (Southland),11,3-8,509,2530,4.97,29,230.0
Morehead St. (Pioneer),11,4-7,480,2535,5.28,25,230.5
Northern Colo. (Big Sky),11,6-5,530,2619,4.94,30,238.1
Alabama A&M (SWAC),11,4-7,420,2634,6.27,28,239.5
Presbyterian (Big South),11,2-9,452,2674,5.92,28,243.1
Portland St. (Big Sky),11,3-8,451,2740,6.08,31,249.1
South Dakota (MVFC),11,4-7,513,2758,5.38,25,250.7
Lafayette (Patriot),11,2-9,458,2762,6.03,31,251.1
Monmouth (Big South),11,4-7,487,2806,5.76,31,255.1
Austin Peay (OVC),11,0-11,442,2836,6.42,38,257.8
Delaware St. (MEAC),11,0-11,490,2897,5.91,31,263.4
Sacramento St. (Big Sky),11,2-9,473,3203,6.77,32,291.2
Western Caro. (SoCon),11,2-9,576,3400,5.90,30,309.1
UIW (Southland),11,3-8,456,1971,4.32,22,179.2
Abilene Christian (Southland),11,2-9,472,2279,4.83,26,207.2
