Team,Games,Win-Loss,Punt Returns,Net Punt Return Yards,Punt Return Touchdowns,Avg Yards Per Punt Return
Army West Point (FBS Independent),12,6-6,11,68,0,6.18
Rutgers (Big Ten),12,6-6,4,25,0,6.25
Purdue (Big Ten),12,4-8,15,94,0,6.27
Iowa St. (Big 12),12,7-5,20,127,0,6.35
Maryland (Big Ten),12,7-5,14,89,0,6.36
Toledo (MAC),13,11-2,8,51,0,6.38
Boston College (ACC),12,6-6,9,58,0,6.44
Buffalo (MAC),12,3-9,17,110,1,6.47
Bowling Green (MAC),12,7-5,12,79,0,6.58
Texas A&M (SEC),12,7-5,10,67,1,6.70
Kentucky (SEC),12,7-5,9,61,0,6.78
Missouri (SEC),12,10-2,9,61,0,6.78
Eastern Mich. (MAC),12,6-6,16,110,0,6.88
Mississippi St. (SEC),12,5-7,9,63,0,7.00
Indiana (Big Ten),12,3-9,21,149,1,7.10
Louisville (ACC),13,10-3,8,57,0,7.12
Colorado St. (Mountain West),12,5-7,13,93,0,7.15
Illinois (Big Ten),12,5-7,14,101,0,7.21
East Carolina (AAC),12,2-10,16,117,0,7.31
Texas St. (Sun Belt),12,7-5,10,74,0,7.40
UTSA (AAC),12,8-4,7,52,0,7.43
Tulsa (AAC),12,4-8,20,150,0,7.50
Colorado (Pac-12),12,4-8,18,136,0,7.56
NC State (ACC),12,9-3,16,121,0,7.56
Nebraska (Big Ten),12,5-7,19,144,0,7.58
Western Ky. (CUSA),12,7-5,19,144,0,7.58
Texas Tech (Big 12),12,6-6,11,84,0,7.64
Tulane (AAC),13,11-2,10,77,0,7.70
TCU (Big 12),12,5-7,10,79,0,7.90
Virginia Tech (ACC),12,6-6,11,89,0,8.09
Central Mich. (MAC),12,5-7,18,146,0,8.11
Memphis (AAC),12,9-3,9,73,0,8.11
Michigan (Big Ten),13,13-0,9,73,0,8.11
Washington St. (Pac-12),12,5-7,8,65,0,8.12
Miami (FL) (ACC),12,7-5,10,82,0,8.20
Florida (SEC),12,5-7,11,92,0,8.36
Utah (Pac-12),12,8-4,14,119,1,8.50
Southern Miss. (Sun Belt),12,3-9,13,111,0,8.54
Hawaii (Mountain West),13,5-8,16,139,0,8.69
Iowa (Big Ten),13,10-3,26,229,0,8.81
Charlotte (AAC),12,3-9,28,247,0,8.82
Middle Tenn. (CUSA),12,4-8,21,189,1,9.00
South Fla. (AAC),12,6-6,9,82,1,9.11
Wyoming (Mountain West),12,8-4,11,101,0,9.18
UAB (AAC),12,4-8,16,148,0,9.25
Stanford (Pac-12),12,3-9,16,150,1,9.38
San Jose St. (Mountain West),12,7-5,8,77,0,9.62
Georgia Tech (ACC),12,6-6,11,106,0,9.64
Kent St. (MAC),12,1-11,22,217,0,9.86
SMU (AAC),13,11-2,16,158,1,9.88
Ole Miss (SEC),12,10-2,15,149,0,9.93
Boise St. (Mountain West),13,8-5,17,170,0,10.00
Vanderbilt (SEC),12,2-10,16,160,1,10.00
Notre Dame (FBS Independent),12,9-3,22,221,0,10.05
UConn (FBS Independent),12,3-9,23,235,0,10.22
Rice (AAC),12,6-6,16,166,1,10.38
Arkansas St. (Sun Belt),12,6-6,14,150,1,10.71
Michigan St. (Big Ten),12,4-8,18,195,1,10.83
Western Mich. (MAC),12,4-8,26,282,1,10.85
UNLV (Mountain West),13,9-4,11,121,0,11.00
Alabama (SEC),13,12-1,10,111,0,11.10
Arizona St. (Pac-12),12,3-9,13,148,1,11.38
Pittsburgh (ACC),12,3-9,21,246,2,11.71
Old Dominion (Sun Belt),12,6-6,19,223,1,11.74
Virginia (ACC),12,3-9,19,224,2,11.79
Fresno St. (Mountain West),12,8-4,8,95,0,11.88
Georgia St. (Sun Belt),12,6-6,25,300,1,12.00
Coastal Carolina (Sun Belt),12,7-5,7,85,1,12.14
Fla. Atlantic (AAC),12,4-8,16,195,0,12.19
Marshall (Sun Belt),12,6-6,28,353,2,12.61
UTEP (CUSA),12,3-9,15,193,1,12.87
Ga. Southern (Sun Belt),12,6-6,7,91,0,13.00
Ball St. (MAC),12,4-8,20,263,1,13.15
Baylor (Big 12),12,3-9,13,171,0,13.15
Ohio St. (Big Ten),12,11-1,10,135,0,13.50
BYU (Big 12),12,5-7,25,343,2,13.72
UCF (Big 12),12,6-6,11,151,1,13.73
California (Pac-12),12,6-6,18,250,1,13.89
Arizona (Pac-12),12,9-3,10,147,0,14.70
Utah St. (Mountain West),12,6-6,15,223,1,14.87
Temple (AAC),12,3-9,8,121,1,15.12
Louisiana Tech (CUSA),12,3-9,13,198,1,15.23
Oregon (Pac-12),13,11-2,6,92,0,15.33
Ohio (MAC),12,9-3,11,169,0,15.36
Syracuse (ACC),12,6-6,18,284,0,15.78
Kansas St. (Big 12),12,8-4,9,171,0,19.00
Arkansas (SEC),12,4-8,18,345,2,19.17
Massachusetts (FBS Independent),12,3-9,18,351,2,19.50
New Mexico (Mountain West),12,4-8,17,360,1,21.18
Jacksonville St. (CUSA),12,8-4,16,72,1,4.50
James Madison (Sun Belt),12,11-1,16,84,0,5.25
Sam Houston (CUSA),12,3-9,25,143,0,5.72
