Team,Games,Win-Loss,Kickoffs Returned,Kickoff Return Yards,Kickoff Return Touchdowns,Avg Yard per Kickoff Return
FIU (CUSA),12,4-8,27,575,0,21.30
UConn (FBS Independent),12,3-9,22,469,0,21.32
Colorado St. (Mountain West),12,5-7,15,320,0,21.33
Tulsa (AAC),12,4-8,41,877,2,21.39
Buffalo (MAC),12,3-9,17,364,1,21.41
Fresno St. (Mountain West),12,8-4,29,621,1,21.41
Miami (FL) (ACC),12,7-5,16,344,0,21.50
Fla. Atlantic (AAC),12,4-8,12,259,0,21.58
Vanderbilt (SEC),12,2-10,25,544,0,21.76
UCLA (Pac-12),12,7-5,22,479,1,21.77
San Diego St. (Mountain West),12,4-8,27,590,0,21.85
Coastal Carolina (Sun Belt),12,7-5,10,220,0,22.00
Mississippi St. (SEC),12,5-7,19,418,1,22.00
Purdue (Big Ten),12,4-8,30,660,1,22.00
Auburn (SEC),12,6-6,16,354,0,22.12
Indiana (Big Ten),12,3-9,19,421,0,22.16
Old Dominion (Sun Belt),12,6-6,34,762,0,22.41
Kentucky (SEC),12,7-5,20,450,0,22.50
Michigan St. (Big Ten),12,4-8,8,180,0,22.50
Minnesota (Big Ten),12,5-7,8,180,0,22.50
Florida St. (ACC),13,13-0,27,610,1,22.59
UCF (Big 12),12,6-6,25,567,0,22.68
Southern California (Pac-12),12,7-5,35,794,1,22.69
Houston (Big 12),12,4-8,24,546,1,22.75
Virginia (ACC),12,3-9,31,706,2,22.77
Utah (Pac-12),12,8-4,31,708,0,22.84
Hawaii (Mountain West),13,5-8,12,275,1,22.92
Texas A&M (SEC),12,7-5,36,833,2,23.14
Arkansas (SEC),12,4-8,9,209,0,23.22
Texas St. (Sun Belt),12,7-5,46,1086,1,23.61
TCU (Big 12),12,5-7,19,449,1,23.63
Colorado (Pac-12),12,4-8,25,597,1,23.88
Louisville (ACC),13,10-3,24,575,1,23.96
Maryland (Big Ten),12,7-5,20,480,0,24.00
NC State (ACC),12,9-3,17,415,0,24.41
Southern Miss. (Sun Belt),12,3-9,35,858,2,24.51
Ball St. (MAC),12,4-8,32,790,1,24.69
Boise St. (Mountain West),13,8-5,31,781,1,25.19
Massachusetts (FBS Independent),12,3-9,34,857,1,25.21
North Carolina (ACC),12,8-4,19,485,1,25.53
West Virginia (Big 12),12,8-4,37,953,3,25.76
Virginia Tech (ACC),12,6-6,12,311,1,25.92
Georgia Tech (ACC),12,6-6,23,599,0,26.04
Washington St. (Pac-12),12,5-7,16,421,1,26.31
Clemson (ACC),12,8-4,6,167,0,27.83
Jacksonville St. (CUSA),12,8-4,21,404,0,19.24
Sam Houston (CUSA),12,3-9,27,609,0,22.56
James Madison (Sun Belt),12,11-1,25,578,1,23.12
