Team,Games,Win-Loss,Opp 4th Conversion,Opp 4th Attempt,Opponent 4th Percent
Georgia St. (Sun Belt),12,6-6,11,23,0.478
Texas Tech (Big 12),12,6-6,11,23,0.478
Pittsburgh (ACC),12,3-9,12,25,0.480
Oregon (Pac-12),13,11-2,18,37,0.486
Arkansas (SEC),12,4-8,6,12,0.500
Baylor (Big 12),12,3-9,11,22,0.500
Central Mich. (MAC),12,5-7,12,24,0.500
Fla. Atlantic (AAC),12,4-8,19,38,0.500
New Mexico (Mountain West),12,4-8,9,18,0.500
Old Dominion (Sun Belt),12,6-6,13,26,0.500
Southern Miss. (Sun Belt),12,3-9,9,18,0.500
UConn (FBS Independent),12,3-9,9,18,0.500
UTEP (CUSA),12,3-9,9,18,0.500
Virginia Tech (ACC),12,6-6,7,14,0.500
North Carolina (ACC),12,8-4,16,31,0.516
Akron (MAC),12,2-10,12,23,0.522
Air Force (Mountain West),12,8-4,11,21,0.524
UNLV (Mountain West),13,9-4,11,21,0.524
Indiana (Big Ten),12,3-9,10,19,0.526
Oklahoma (Big 12),12,10-2,18,34,0.529
San Diego St. (Mountain West),12,4-8,9,17,0.529
Illinois (Big Ten),12,5-7,8,15,0.533
Kent St. (MAC),12,1-11,8,15,0.533
South Fla. (AAC),12,6-6,16,30,0.533
Auburn (SEC),12,6-6,14,26,0.538
Rutgers (Big Ten),12,6-6,14,26,0.538
SMU (AAC),13,11-2,20,37,0.541
Northwestern (Big Ten),12,7-5,13,24,0.542
West Virginia (Big 12),12,8-4,13,24,0.542
Iowa (Big Ten),13,10-3,12,22,0.545
FIU (CUSA),12,4-8,11,20,0.550
Charlotte (AAC),12,3-9,9,16,0.562
Colorado St. (Mountain West),12,5-7,9,16,0.562
Kentucky (SEC),12,7-5,9,16,0.562
Middle Tenn. (CUSA),12,4-8,9,16,0.562
Georgia Tech (ACC),12,6-6,13,23,0.565
UCF (Big 12),12,6-6,13,23,0.565
New Mexico St. (CUSA),14,10-4,17,30,0.567
Arizona St. (Pac-12),12,3-9,12,21,0.571
Georgia (SEC),13,12-1,16,28,0.571
Mississippi St. (SEC),12,5-7,16,28,0.571
Oregon St. (Pac-12),12,8-4,12,21,0.571
ULM (Sun Belt),12,2-10,8,14,0.571
Wyoming (Mountain West),12,8-4,12,21,0.571
Virginia (ACC),12,3-9,11,19,0.579
Iowa St. (Big 12),12,7-5,18,31,0.581
California (Pac-12),12,6-6,21,36,0.583
North Texas (AAC),12,5-7,16,27,0.593
UAB (AAC),12,4-8,16,27,0.593
Ball St. (MAC),12,4-8,12,20,0.600
Navy (AAC),12,5-7,15,25,0.600
Southern California (Pac-12),12,7-5,15,25,0.600
South Carolina (SEC),12,5-7,14,23,0.609
Buffalo (MAC),12,3-9,11,18,0.611
Kansas (Big 12),12,8-4,11,18,0.611
Nevada (Mountain West),12,2-10,11,18,0.611
Temple (AAC),12,3-9,11,18,0.611
Stanford (Pac-12),12,3-9,13,21,0.619
UTSA (AAC),12,8-4,18,29,0.621
Colorado (Pac-12),12,4-8,10,16,0.625
Tulsa (AAC),12,4-8,15,24,0.625
Wake Forest (ACC),12,4-8,12,19,0.632
Washington St. (Pac-12),12,5-7,12,19,0.632
Houston (Big 12),12,4-8,14,22,0.636
Louisiana Tech (CUSA),12,3-9,14,22,0.636
NIU (MAC),12,6-6,7,11,0.636
Missouri (SEC),12,10-2,11,17,0.647
Fresno St. (Mountain West),12,8-4,17,26,0.654
Maryland (Big Ten),12,7-5,19,29,0.655
Western Ky. (CUSA),12,7-5,27,40,0.675
San Jose St. (Mountain West),12,7-5,19,28,0.679
Cincinnati (Big 12),12,3-9,12,17,0.706
Michigan St. (Big Ten),12,4-8,10,14,0.714
Vanderbilt (SEC),12,2-10,10,14,0.714
Louisiana (Sun Belt),12,6-6,18,25,0.720
Arkansas St. (Sun Belt),12,6-6,17,23,0.739
Boston College (ACC),12,6-6,11,14,0.786
Minnesota (Big Ten),12,5-7,6,7,0.857
James Madison (Sun Belt),12,11-1,12,31,0.387
Jacksonville St. (CUSA),12,8-4,12,29,0.414
Sam Houston (CUSA),12,3-9,10,18,0.556
