Team,Games,Win-Loss,Opp Redzone Attempts,Opp Redzone Rush TD Allowed,Opp Redzone Pass Touchdowns Allowed,Opp Redzone Field Goals Made,Opp Redzone Scores,Redzone Points Allowed
Arkansas (SEC),12,4-8,47,11,16,15,42,0.894
Colorado St. (Mountain West),12,5-7,48,16,12,15,43,0.896
San Diego St. (Mountain West),12,4-8,39,18,7,10,35,0.897
Georgia Tech (ACC),12,6-6,50,23,12,10,45,0.900
Penn St. (Big Ten),12,10-2,20,6,4,8,18,0.900
Buffalo (MAC),12,3-9,42,12,12,14,38,0.905
LSU (SEC),12,9-3,42,17,14,7,38,0.905
Washington St. (Pac-12),12,5-7,42,20,8,10,38,0.905
Kentucky (SEC),12,7-5,43,14,12,13,39,0.907
UTEP (CUSA),12,3-9,45,22,12,7,41,0.911
Georgia (SEC),13,12-1,35,12,9,11,32,0.914
Mississippi St. (SEC),12,5-7,36,13,11,9,33,0.917
New Mexico (Mountain West),12,4-8,49,22,9,14,45,0.918
Southern California (Pac-12),12,7-5,50,17,17,12,46,0.920
Akron (MAC),12,2-10,39,17,12,7,36,0.923
Vanderbilt (SEC),12,2-10,53,16,14,19,49,0.925
Central Mich. (MAC),12,5-7,40,22,8,7,37,0.925
Boston College (ACC),12,6-6,41,22,11,5,38,0.927
Louisiana Tech (CUSA),12,3-9,43,24,8,8,40,0.930
Virginia Tech (ACC),12,6-6,30,11,11,6,28,0.933
Minnesota (Big Ten),12,5-7,40,15,13,10,38,0.950
San Jose St. (Mountain West),12,7-5,36,22,7,6,35,0.972
Kansas (Big 12),12,8-4,47,20,12,14,46,0.979
James Madison (Sun Belt),12,11-1,30,7,8,8,23,0.767
Jacksonville St. (CUSA),12,8-4,31,11,6,9,26,0.839
Sam Houston (CUSA),12,3-9,36,21,2,9,32,0.889
