Team,Games,Win-Loss,Time of Possession,Average Time of Possession per Game
Arizona (Pac-12),12,9-3,366:13,30:31
South Alabama (Sun Belt),12,6-6,366:06,30:30
Purdue (Big Ten),12,4-8,365:11,30:26
Kansas (Big 12),12,8-4,364:24,30:22
Nevada (Mountain West),12,2-10,363:59,30:20
Arizona St. (Pac-12),12,3-9,363:19,30:17
Buffalo (MAC),12,3-9,362:58,30:15
Central Mich. (MAC),12,5-7,362:31,30:13
SMU (AAC),13,11-2,392:22,30:11
UTSA (AAC),12,8-4,361:50,30:09
Missouri (SEC),12,10-2,361:37,30:08
Western Mich. (MAC),12,4-8,360:00,30:00
Miami (OH) (MAC),13,11-2,389:14,29:56
Notre Dame (FBS Independent),12,9-3,357:56,29:50
Florida St. (ACC),13,13-0,387:07,29:47
Louisiana Tech (CUSA),12,3-9,357:03,29:45
Ohio St. (Big Ten),12,11-1,356:23,29:42
Tulsa (AAC),12,4-8,356:01,29:40
Washington St. (Pac-12),12,5-7,356:00,29:40
Hawaii (Mountain West),13,5-8,385:15,29:38
Washington (Pac-12),13,13-0,384:56,29:37
Massachusetts (FBS Independent),12,3-9,354:31,29:33
Akron (MAC),12,2-10,354:31,29:33
Wyoming (Mountain West),12,8-4,354:00,29:30
Oklahoma St. (Big 12),13,9-4,383:29,29:30
Iowa St. (Big 12),12,7-5,353:27,29:27
Indiana (Big Ten),12,3-9,353:07,29:26
Marshall (Sun Belt),12,6-6,352:41,29:23
Fresno St. (Mountain West),12,8-4,352:15,29:21
Louisiana (Sun Belt),12,6-6,351:18,29:17
North Texas (AAC),12,5-7,350:24,29:12
UAB (AAC),12,4-8,350:04,29:10
Wisconsin (Big Ten),12,7-5,349:37,29:08
Oklahoma (Big 12),12,10-2,349:12,29:06
Texas St. (Sun Belt),12,7-5,349:08,29:06
Wake Forest (ACC),12,4-8,349:04,29:05
UCF (Big 12),12,6-6,348:55,29:05
UCLA (Pac-12),12,7-5,348:48,29:04
Georgia St. (Sun Belt),12,6-6,348:29,29:02
Eastern Mich. (MAC),12,6-6,348:14,29:01
Auburn (SEC),12,6-6,346:53,28:54
California (Pac-12),12,6-6,346:24,28:52
Northwestern (Big Ten),12,7-5,346:23,28:52
LSU (SEC),12,9-3,346:09,28:51
Kent St. (MAC),12,1-11,345:41,28:48
Duke (ACC),12,7-5,344:51,28:44
Mississippi St. (SEC),12,5-7,344:47,28:44
Vanderbilt (SEC),12,2-10,344:46,28:44
East Carolina (AAC),12,2-10,344:10,28:41
Middle Tenn. (CUSA),12,4-8,342:28,28:32
Iowa (Big Ten),13,10-3,370:51,28:32
South Fla. (AAC),12,6-6,341:33,28:28
Illinois (Big Ten),12,5-7,340:56,28:25
Temple (AAC),12,3-9,340:21,28:22
Texas Tech (Big 12),12,6-6,340:16,28:21
BYU (Big 12),12,5-7,339:53,28:19
Western Ky. (CUSA),12,7-5,339:43,28:19
South Carolina (SEC),12,5-7,339:39,28:18
UNLV (Mountain West),13,9-4,367:52,28:18
Georgia Tech (ACC),12,6-6,338:47,28:14
Maryland (Big Ten),12,7-5,338:30,28:13
Syracuse (ACC),12,6-6,337:42,28:08
Michigan St. (Big Ten),12,4-8,337:35,28:08
Toledo (MAC),13,11-2,365:35,28:07
North Carolina (ACC),12,8-4,337:18,28:07
Southern California (Pac-12),12,7-5,336:12,28:01
Houston (Big 12),12,4-8,335:47,27:59
Kentucky (SEC),12,7-5,334:05,27:50
Pittsburgh (ACC),12,3-9,331:25,27:37
Colorado (Pac-12),12,4-8,330:41,27:33
TCU (Big 12),12,5-7,328:03,27:20
Ole Miss (SEC),12,10-2,326:54,27:14
ULM (Sun Belt),12,2-10,326:33,27:13
Utah St. (Mountain West),12,6-6,325:19,27:07
Fla. Atlantic (AAC),12,4-8,325:03,27:05
FIU (CUSA),12,4-8,324:57,27:05
Arkansas St. (Sun Belt),12,6-6,322:03,26:50
Colorado St. (Mountain West),12,5-7,319:07,26:36
Old Dominion (Sun Belt),12,6-6,303:18,25:16
Tennessee (SEC),12,8-4,288:24,24:02
James Madison (Sun Belt),12,11-1,383:37,31:58
Sam Houston (CUSA),12,3-9,356:22,29:42
Jacksonville St. (CUSA),12,8-4,314:19,26:12
