Team,Games,Win-Loss,Opp First Down Runs,Opp First Down Passes,Opp First Down Penalties,Opp First Downs
Georgia St. (Sun Belt),12,6-6,89,142,23,254
Michigan St. (Big Ten),12,4-8,105,122,27,254
Middle Tenn. (CUSA),12,4-8,97,134,23,254
South Carolina (SEC),12,5-7,112,126,17,255
Fresno St. (Mountain West),12,8-4,112,126,18,256
Liberty (CUSA),13,13-0,97,130,29,256
Syracuse (ACC),12,6-6,113,114,30,257
UConn (FBS Independent),12,3-9,94,140,25,259
UNLV (Mountain West),13,9-4,105,126,28,259
Virginia (ACC),12,3-9,119,119,21,259
BYU (Big 12),12,5-7,109,134,17,260
Eastern Mich. (MAC),12,6-6,115,114,31,260
Oklahoma St. (Big 12),13,9-4,115,132,13,260
Hawaii (Mountain West),13,5-8,118,115,28,261
Old Dominion (Sun Belt),12,6-6,99,136,26,261
Arkansas St. (Sun Belt),12,6-6,110,123,29,262
UCF (Big 12),12,6-6,122,122,18,262
Massachusetts (FBS Independent),12,3-9,127,100,36,263
Western Ky. (CUSA),12,7-5,125,124,15,264
Fla. Atlantic (AAC),12,4-8,109,140,16,265
South Fla. (AAC),12,6-6,100,137,28,265
App State (Sun Belt),13,8-5,124,125,19,268
Georgia Tech (ACC),12,6-6,141,108,19,268
Illinois (Big Ten),12,5-7,104,131,33,268
Vanderbilt (SEC),12,2-10,102,151,16,269
Texas St. (Sun Belt),12,7-5,106,132,33,271
FIU (CUSA),12,4-8,117,137,19,273
Southern California (Pac-12),12,7-5,112,130,31,273
Houston (Big 12),12,4-8,119,143,12,274
North Carolina (ACC),12,8-4,106,143,26,275
Colorado St. (Mountain West),12,5-7,115,136,26,277
Temple (AAC),12,3-9,130,128,19,277
North Texas (AAC),12,5-7,151,117,13,281
Utah St. (Mountain West),12,6-6,138,111,32,281
UAB (AAC),12,4-8,130,127,25,282
New Mexico St. (CUSA),14,10-4,119,143,27,289
Washington (Pac-12),13,13-0,106,149,38,293
Colorado (Pac-12),12,4-8,111,159,25,295
ULM (Sun Belt),12,2-10,121,153,24,298
Stanford (Pac-12),12,3-9,126,158,19,303
James Madison (Sun Belt),12,11-1,47,140,15,202
Sam Houston (CUSA),12,3-9,104,109,10,223
Jacksonville St. (CUSA),12,8-4,73,130,25,228
