Team,Games,Win-Loss,Solo Tackle For Loss,Assist Tackle For Loss,Tackle for Loss Yards,Total Tackle For Loss,Tackle For Loss Per Game
Air Force (Mountain West),12,8-4,45,28,258,59,4.9
Baylor (Big 12),12,3-9,51,16,246,59,4.9
Florida (SEC),12,5-7,40,36,236,58,4.8
Northwestern (Big Ten),12,7-5,44,28,210,58,4.8
Wyoming (Mountain West),12,8-4,45,26,250,58,4.8
Central Mich. (MAC),12,5-7,44,26,205,57,4.8
Eastern Mich. (MAC),12,6-6,39,36,220,57,4.8
Illinois (Big Ten),12,5-7,48,18,256,57,4.8
Southern Miss. (Sun Belt),12,3-9,38,38,211,57,4.8
Texas Tech (Big 12),12,6-6,41,32,240,57,4.8
UTEP (CUSA),12,3-9,45,24,240,57,4.8
Virginia (ACC),12,3-9,40,34,140,57,4.8
Georgia Tech (ACC),12,6-6,44,24,171,56,4.7
NIU (MAC),12,6-6,41,28,206,55,4.6
Coastal Carolina (Sun Belt),12,7-5,36,36,207,54,4.5
Massachusetts (FBS Independent),12,3-9,39,30,201,54,4.5
South Carolina (SEC),12,5-7,49,10,204,54,4.5
Stanford (Pac-12),12,3-9,41,24,241,53,4.4
Washington (Pac-12),13,13-0,45,24,208,57,4.4
Army West Point (FBS Independent),12,6-6,38,28,216,52,4.3
Kent St. (MAC),12,1-11,39,26,198,52,4.3
Nevada (Mountain West),12,2-10,42,20,177,52,4.3
Western Ky. (CUSA),12,7-5,38,28,203,52,4.3
BYU (Big 12),12,5-7,28,46,171,51,4.2
North Texas (AAC),12,5-7,40,22,155,51,4.2
California (Pac-12),12,6-6,37,24,224,49,4.1
UAB (AAC),12,4-8,39,20,207,49,4.1
Minnesota (Big Ten),12,5-7,37,22,204,48,4.0
Rutgers (Big Ten),12,6-6,38,20,182,48,4.0
San Diego St. (Mountain West),12,4-8,38,20,180,48,4.0
New Mexico (Mountain West),12,4-8,31,30,197,46,3.8
Boston College (ACC),12,6-6,31,14,101,38,3.2
James Madison (Sun Belt),12,11-1,77,64,474,109,9.1
Jacksonville St. (CUSA),12,8-4,69,34,375,86,7.2
Sam Houston (CUSA),12,3-9,45,20,180,55,4.6
