Team,Games,Win-Loss,Rush Attempts,Rush Yds,Yards/Rush,Rushing TD,Rushing Yards per Game
Louisiana (Sun Belt),12,6-6,434,2192,5.05,24,182.7
Notre Dame (FBS Independent),12,9-3,409,2178,5.33,26,181.5
California (Pac-12),12,6-6,465,2173,4.67,25,181.1
Oregon St. (Pac-12),12,8-4,429,2170,5.06,26,180.8
Tulsa (AAC),12,4-8,527,2169,4.12,13,180.8
Oklahoma (Big 12),12,10-2,487,2167,4.45,31,180.6
SMU (AAC),13,11-2,524,2345,4.48,28,180.4
Clemson (ACC),12,8-4,485,2163,4.46,20,180.2
UNLV (Mountain West),13,9-4,514,2334,4.54,37,179.5
NIU (MAC),12,6-6,425,2146,5.05,22,178.8
Ole Miss (SEC),12,10-2,488,2146,4.40,28,178.8
Georgia (SEC),13,12-1,454,2305,5.08,35,177.3
Nebraska (Big Ten),12,5-7,478,2122,4.44,16,176.8
Miami (FL) (ACC),12,7-5,408,2121,5.20,22,176.8
Virginia Tech (ACC),12,6-6,448,2105,4.70,17,175.4
Louisville (ACC),13,10-3,488,2279,4.67,27,175.3
UTSA (AAC),12,8-4,475,2098,4.42,24,174.8
Alabama (SEC),13,12-1,518,2245,4.33,30,172.7
App State (Sun Belt),13,8-5,493,2231,4.53,22,171.6
Georgia St. (Sun Belt),12,6-6,464,2059,4.44,22,171.6
Ball St. (MAC),12,4-8,473,2058,4.35,15,171.5
Missouri (SEC),12,10-2,443,2033,4.59,24,169.4
Purdue (Big Ten),12,4-8,462,2029,4.39,20,169.1
Duke (ACC),12,7-5,410,2027,4.94,25,168.9
Texas Tech (Big 12),12,6-6,437,1990,4.55,16,165.8
Rutgers (Big Ten),12,6-6,472,1985,4.21,21,165.4
Wisconsin (Big Ten),12,7-5,420,1965,4.68,21,163.8
Southern Miss. (Sun Belt),12,3-9,485,1953,4.03,16,162.8
Michigan (Big Ten),13,13-0,493,2103,4.27,35,161.8
UAB (AAC),12,4-8,426,1933,4.54,24,161.1
South Alabama (Sun Belt),12,6-6,432,1916,4.44,24,159.7
Central Mich. (MAC),12,5-7,455,1913,4.20,21,159.4
Troy (Sun Belt),13,11-2,460,2059,4.48,18,158.4
Wyoming (Mountain West),12,8-4,427,1890,4.43,18,157.5
Oklahoma St. (Big 12),13,9-4,420,2040,4.86,27,156.9
Florida St. (ACC),13,13-0,437,2039,4.67,32,156.8
Tulane (AAC),13,11-2,494,2038,4.13,15,156.8
Miami (OH) (MAC),13,11-2,461,2030,4.40,22,156.2
Coastal Carolina (Sun Belt),12,7-5,425,1873,4.41,17,156.1
TCU (Big 12),12,5-7,406,1854,4.57,19,154.5
San Diego St. (Mountain West),12,4-8,454,1851,4.08,16,154.2
Western Mich. (MAC),12,4-8,479,1846,3.85,21,153.8
Arkansas St. (Sun Belt),12,6-6,432,1818,4.21,20,151.5
Memphis (AAC),12,9-3,397,1810,4.56,30,150.8
NC State (ACC),12,9-3,445,1799,4.04,17,149.9
Florida (SEC),12,5-7,421,1798,4.27,21,149.8
Old Dominion (Sun Belt),12,6-6,443,1798,4.06,12,149.8
Minnesota (Big Ten),12,5-7,461,1793,3.89,11,149.4
Arizona (Pac-12),12,9-3,372,1787,4.80,16,148.9
Mississippi St. (SEC),12,5-7,401,1761,4.39,12,146.8
ULM (Sun Belt),12,2-10,415,1753,4.22,7,146.1
Charlotte (AAC),12,3-9,464,1740,3.75,16,145.0
UTEP (CUSA),12,3-9,447,1732,3.87,16,144.3
Ohio St. (Big Ten),12,11-1,398,1708,4.29,20,142.3
Bowling Green (MAC),12,7-5,408,1706,4.18,20,142.2
Massachusetts (FBS Independent),12,3-9,390,1706,4.37,19,142.2
Texas A&M (SEC),12,7-5,431,1697,3.94,21,141.4
Southern California (Pac-12),12,7-5,343,1679,4.90,33,139.9
Arkansas (SEC),12,4-8,472,1668,3.53,9,139.0
Ohio (MAC),12,9-3,439,1645,3.75,14,137.1
UConn (FBS Independent),12,3-9,395,1639,4.15,15,136.6
Marshall (Sun Belt),12,6-6,418,1611,3.85,19,134.2
Buffalo (MAC),12,3-9,435,1603,3.69,15,133.6
Kentucky (SEC),12,7-5,316,1570,4.97,16,130.8
Wake Forest (ACC),12,4-8,468,1565,3.34,13,130.4
Iowa St. (Big 12),12,7-5,362,1559,4.31,16,129.9
Illinois (Big Ten),12,5-7,396,1517,3.83,12,126.4
Washington (Pac-12),13,13-0,360,1628,4.52,26,125.2
Middle Tenn. (CUSA),12,4-8,384,1501,3.91,13,125.1
Nevada (Mountain West),12,2-10,443,1498,3.38,14,124.8
Ga. Southern (Sun Belt),12,6-6,356,1491,4.19,15,124.2
Louisiana Tech (CUSA),12,3-9,381,1485,3.90,20,123.8
Indiana (Big Ten),12,3-9,433,1441,3.33,13,120.1
Houston (Big 12),12,4-8,359,1424,3.97,10,118.7
Stanford (Pac-12),12,3-9,413,1423,3.45,15,118.6
Virginia (ACC),12,3-9,454,1415,3.12,12,117.9
Iowa (Big Ten),13,10-3,450,1504,3.34,11,115.7
Fla. Atlantic (AAC),12,4-8,369,1383,3.75,16,115.2
Baylor (Big 12),12,3-9,413,1378,3.34,13,114.8
Eastern Mich. (MAC),12,6-6,397,1363,3.43,17,113.6
East Carolina (AAC),12,2-10,385,1360,3.53,12,113.3
Rice (AAC),12,6-6,356,1351,3.79,19,112.6
Arizona St. (Pac-12),12,3-9,374,1343,3.59,17,111.9
Maryland (Big Ten),12,7-5,349,1307,3.74,19,108.9
Western Ky. (CUSA),12,7-5,322,1297,4.03,12,108.1
Kent St. (MAC),12,1-11,441,1271,2.88,8,105.9
Northwestern (Big Ten),12,7-5,427,1260,2.95,14,105.0
BYU (Big 12),12,5-7,360,1252,3.48,15,104.3
Fresno St. (Mountain West),12,8-4,341,1252,3.67,15,104.3
Pittsburgh (ACC),12,3-9,356,1223,3.44,10,101.9
Temple (AAC),12,3-9,331,1148,3.47,9,95.7
Vanderbilt (SEC),12,2-10,349,1143,3.28,10,95.2
Colorado St. (Mountain West),12,5-7,332,1106,3.33,10,92.2
FIU (CUSA),12,4-8,380,1083,2.85,17,90.2
Michigan St. (Big Ten),12,4-8,370,1074,2.90,7,89.5
South Carolina (SEC),12,5-7,369,1021,2.77,17,85.1
Washington St. (Pac-12),12,5-7,342,1018,2.98,17,84.8
Akron (MAC),12,2-10,346,972,2.81,12,81.0
Hawaii (Mountain West),13,5-8,325,989,3.04,6,76.1
Colorado (Pac-12),12,4-8,358,827,2.31,12,68.9
Jacksonville St. (CUSA),12,8-4,573,2787,4.86,32,232.2
James Madison (Sun Belt),12,11-1,427,1718,4.02,17,143.2
Sam Houston (CUSA),12,3-9,368,1067,2.90,13,88.9
