Team,Games,Win-Loss,Fumbles Recovered,Opponents Intercepted,Turnovers Gain,Fumbles Lost,Interceptions Thrown,Turnovers Lost,Turnover Margin,Avg Turnover Margin per Game
Purdue (Big Ten),12,4-8,8,10,18,8,10,18,0,0.00
South Alabama (Sun Belt),12,6-6,8,11,19,9,10,19,0,0.00
South Fla. (AAC),12,6-6,8,12,20,9,11,20,0,0.00
Virginia Tech (ACC),12,6-6,6,7,13,8,5,13,0,0.00
West Virginia (Big 12),12,8-4,4,9,13,6,7,13,0,0.00
Wisconsin (Big Ten),12,7-5,4,12,16,11,5,16,0,0.00
Georgia (SEC),13,12-1,1,12,13,7,7,14,-1,-0.08
Arkansas (SEC),12,4-8,5,12,17,10,8,18,-1,-0.08
Houston (Big 12),12,4-8,5,9,14,2,13,15,-1,-0.08
Massachusetts (FBS Independent),12,3-9,8,8,16,6,11,17,-1,-0.08
Ohio St. (Big Ten),12,11-1,4,7,11,5,7,12,-1,-0.08
Old Dominion (Sun Belt),12,6-6,7,9,16,7,10,17,-1,-0.08
UCF (Big 12),12,6-6,4,11,15,6,10,16,-1,-0.08
Boise St. (Mountain West),13,8-5,8,11,19,9,12,21,-2,-0.15
Toledo (MAC),13,11-2,7,11,18,11,9,20,-2,-0.15
Boston College (ACC),12,6-6,8,8,16,5,13,18,-2,-0.17
Mississippi St. (SEC),12,5-7,5,7,12,4,10,14,-2,-0.17
NIU (MAC),12,6-6,5,9,14,9,7,16,-2,-0.17
Southern California (Pac-12),12,7-5,7,7,14,11,5,16,-2,-0.17
Texas A&M (SEC),12,7-5,4,7,11,4,9,13,-2,-0.17
New Mexico St. (CUSA),14,10-4,5,6,11,5,9,14,-3,-0.21
Army West Point (FBS Independent),12,6-6,10,9,19,11,11,22,-3,-0.25
Kent St. (MAC),12,1-11,3,6,9,6,6,12,-3,-0.25
Louisiana (Sun Belt),12,6-6,8,10,18,12,9,21,-3,-0.25
Miami (FL) (ACC),12,7-5,6,12,18,8,13,21,-3,-0.25
Tulsa (AAC),12,4-8,11,10,21,5,19,24,-3,-0.25
UTSA (AAC),12,8-4,7,9,16,7,12,19,-3,-0.25
Vanderbilt (SEC),12,2-10,4,12,16,7,12,19,-3,-0.25
Iowa (Big Ten),13,10-3,5,10,15,10,9,19,-4,-0.31
Air Force (Mountain West),12,8-4,4,9,13,11,6,17,-4,-0.33
Cincinnati (Big 12),12,3-9,5,8,13,6,11,17,-4,-0.33
Nevada (Mountain West),12,2-10,7,9,16,8,12,20,-4,-0.33
Stanford (Pac-12),12,3-9,3,8,11,5,10,15,-4,-0.33
UConn (FBS Independent),12,3-9,7,6,13,10,7,17,-4,-0.33
Ball St. (MAC),12,4-8,6,5,11,7,9,16,-5,-0.42
Charlotte (AAC),12,3-9,6,11,17,6,16,22,-5,-0.42
Colorado St. (Mountain West),12,5-7,11,9,20,7,18,25,-5,-0.42
East Carolina (AAC),12,2-10,10,6,16,7,14,21,-5,-0.42
Florida (SEC),12,5-7,4,3,7,7,5,12,-5,-0.42
Ga. Southern (Sun Belt),12,6-6,8,13,21,9,17,26,-5,-0.42
Indiana (Big Ten),12,3-9,3,10,13,8,10,18,-5,-0.42
Middle Tenn. (CUSA),12,4-8,8,8,16,8,13,21,-5,-0.42
North Texas (AAC),12,5-7,4,10,14,10,9,19,-5,-0.42
Pittsburgh (ACC),12,3-9,6,10,16,9,12,21,-5,-0.42
Utah St. (Mountain West),12,6-6,9,10,19,6,18,24,-5,-0.42
Michigan St. (Big Ten),12,4-8,7,9,16,9,13,22,-6,-0.50
UTEP (CUSA),12,3-9,6,6,12,6,12,18,-6,-0.50
Virginia (ACC),12,3-9,6,8,14,6,14,20,-6,-0.50
Wake Forest (ACC),12,4-8,8,8,16,11,11,22,-6,-0.50
Washington St. (Pac-12),12,5-7,7,8,15,12,9,21,-6,-0.50
New Mexico (Mountain West),12,4-8,4,4,8,5,10,15,-7,-0.58
Rice (AAC),12,6-6,7,5,12,8,11,19,-7,-0.58
TCU (Big 12),12,5-7,4,8,12,4,15,19,-7,-0.58
Central Mich. (MAC),12,5-7,3,5,8,5,11,16,-8,-0.67
Illinois (Big Ten),12,5-7,8,7,15,10,13,23,-8,-0.67
Texas St. (Sun Belt),12,7-5,9,6,15,14,9,23,-8,-0.67
Texas Tech (Big 12),12,6-6,3,10,13,4,17,21,-8,-0.67
Akron (MAC),12,2-10,6,6,12,6,15,21,-9,-0.75
FIU (CUSA),12,4-8,6,6,12,9,12,21,-9,-0.75
Louisiana Tech (CUSA),12,3-9,4,5,9,7,11,18,-9,-0.75
Hawaii (Mountain West),13,5-8,6,7,13,8,15,23,-10,-0.77
Arizona St. (Pac-12),12,3-9,4,5,9,6,14,20,-11,-0.92
Marshall (Sun Belt),12,6-6,4,11,15,11,17,28,-13,-1.08
Nebraska (Big Ten),12,5-7,5,9,14,15,16,31,-17,-1.42
Temple (AAC),12,3-9,2,3,5,9,16,25,-20,-1.67
Jacksonville St. (CUSA),12,8-4,9,16,25,7,9,16,9,0.75
James Madison (Sun Belt),12,11-1,8,13,21,4,10,14,7,0.58
Sam Houston (CUSA),12,3-9,7,13,20,4,12,16,4,0.33
