Team,Games,Win-Loss,Off Plays,Off Yards,Off Yards/Play,Off TDs,Off Yards per Game
Penn St. (Big Ten),12,10-2,860,4692,5.46,53,391.0
Texas Tech (Big 12),12,6-6,863,4643,5.38,37,386.9
Virginia Tech (ACC),12,6-6,784,4636,5.91,38,386.3
Tulsa (AAC),12,4-8,861,4625,5.37,33,385.4
Louisiana Tech (CUSA),12,3-9,804,4616,5.74,36,384.7
Boston College (ACC),12,6-6,849,4592,5.41,37,382.7
Michigan (Big Ten),13,13-0,808,4947,6.12,56,380.5
Purdue (Big Ten),12,4-8,854,4563,5.34,35,380.2
Tulane (AAC),13,11-2,841,4929,5.86,40,379.2
Fresno St. (Mountain West),12,8-4,819,4541,5.54,41,378.4
Baylor (Big 12),12,3-9,855,4534,5.30,28,377.8
Rice (AAC),12,6-6,761,4521,5.94,47,376.8
Arkansas St. (Sun Belt),12,6-6,772,4506,5.84,35,375.5
Georgia St. (Sun Belt),12,6-6,809,4470,5.53,39,372.5
Temple (AAC),12,3-9,839,4468,5.33,32,372.3
Wisconsin (Big Ten),12,7-5,849,4449,5.24,32,370.8
Virginia (ACC),12,3-9,850,4425,5.21,31,368.8
NIU (MAC),12,6-6,761,4381,5.76,35,365.1
Western Mich. (MAC),12,4-8,872,4380,5.02,34,365.0
Air Force (Mountain West),12,8-4,758,4369,5.76,39,364.1
Colorado (Pac-12),12,4-8,832,4363,5.24,41,363.6
South Carolina (SEC),12,5-7,781,4357,5.58,38,363.1
UTEP (CUSA),12,3-9,777,4344,5.59,29,362.0
Houston (Big 12),12,4-8,767,4322,5.63,34,360.2
Utah (Pac-12),12,8-4,825,4318,5.23,33,359.8
Syracuse (ACC),12,6-6,780,4304,5.52,37,358.7
Iowa St. (Big 12),12,7-5,703,4298,6.11,36,358.2
Marshall (Sun Belt),12,6-6,810,4293,5.30,31,357.8
Massachusetts (FBS Independent),12,3-9,738,4275,5.79,33,356.2
Auburn (SEC),12,6-6,753,4266,5.67,38,355.5
Southern Miss. (Sun Belt),12,3-9,848,4241,5.00,31,353.4
Hawaii (Mountain West),13,5-8,862,4582,5.32,33,352.5
Stanford (Pac-12),12,3-9,838,4219,5.03,26,351.6
Old Dominion (Sun Belt),12,6-6,782,4207,5.38,31,350.6
Duke (ACC),12,7-5,738,4195,5.68,39,349.6
Ohio (MAC),12,9-3,806,4172,5.18,29,347.7
NC State (ACC),12,9-3,795,4156,5.23,36,346.3
Central Mich. (MAC),12,5-7,780,4129,5.29,36,344.1
Kentucky (SEC),12,7-5,663,4015,6.06,39,334.6
Indiana (Big Ten),12,3-9,800,3994,4.99,31,332.8
Miami (OH) (MAC),13,11-2,744,4302,5.78,38,330.9
Fla. Atlantic (AAC),12,4-8,781,3969,5.08,35,330.8
Mississippi St. (SEC),12,5-7,749,3943,5.26,27,328.6
Bowling Green (MAC),12,7-5,728,3934,5.40,36,327.8
Wake Forest (ACC),12,4-8,789,3933,4.98,27,327.8
UConn (FBS Independent),12,3-9,776,3923,5.06,27,326.9
Arkansas (SEC),12,4-8,795,3918,4.93,31,326.5
San Diego St. (Mountain West),12,4-8,773,3912,5.06,26,326.0
Wyoming (Mountain West),12,8-4,704,3897,5.54,38,324.8
Arizona St. (Pac-12),12,3-9,814,3867,4.75,25,322.2
ULM (Sun Belt),12,2-10,760,3851,5.07,22,320.9
FIU (CUSA),12,4-8,763,3835,5.03,29,319.6
Vanderbilt (SEC),12,2-10,739,3827,5.18,33,318.9
Buffalo (MAC),12,3-9,829,3825,4.61,29,318.8
Pittsburgh (ACC),12,3-9,716,3815,5.33,27,317.9
Charlotte (AAC),12,3-9,792,3753,4.74,23,312.8
Nebraska (Big Ten),12,5-7,739,3753,5.08,26,312.8
Army West Point (FBS Independent),12,6-6,738,3730,5.05,26,310.8
BYU (Big 12),12,5-7,756,3717,4.92,32,309.8
Ball St. (MAC),12,4-8,777,3697,4.76,24,308.1
Rutgers (Big Ten),12,6-6,751,3689,4.91,31,307.4
Northwestern (Big Ten),12,7-5,777,3661,4.71,32,305.1
Minnesota (Big Ten),12,5-7,757,3631,4.80,25,302.6
Navy (AAC),12,5-7,747,3603,4.82,26,300.2
Nevada (Mountain West),12,2-10,788,3600,4.57,20,300.0
Michigan St. (Big Ten),12,4-8,749,3472,4.64,21,289.3
Akron (MAC),12,2-10,771,3343,4.34,22,278.6
East Carolina (AAC),12,2-10,773,3327,4.30,19,277.2
Eastern Mich. (MAC),12,6-6,725,3266,4.50,27,272.2
Kent St. (MAC),12,1-11,746,3245,4.35,19,270.4
Iowa (Big Ten),13,10-3,773,3105,4.02,20,238.8
James Madison (Sun Belt),12,11-1,822,5163,6.28,50,430.2
Jacksonville St. (CUSA),12,8-4,888,4774,5.38,43,397.8
Sam Houston (CUSA),12,3-9,816,3737,4.58,28,311.4
