Team,Games,Win-Loss,Touchdowns,PAT,2 Point Conversions,Defensive Points,Feild Goals,Safety,Total Points,Points Per Game
Boise St. (Mountain West),13,8-5,52,47,3,0,21,0,428,32.9
Ohio St. (Big Ten),12,11-1,50,49,0,0,15,0,394,32.8
UCF (Big 12),12,6-6,51,46,0,1,12,0,388,32.5
Louisiana (Sun Belt),12,6-6,50,48,0,0,13,0,387,32.2
Miami (FL) (ACC),12,7-5,46,42,2,0,21,0,385,32.1
UTSA (AAC),12,8-4,48,46,1,0,14,1,380,31.7
Washington St. (Pac-12),12,5-7,50,44,3,0,10,0,380,31.7
California (Pac-12),12,6-6,50,38,4,0,11,0,379,31.6
West Virginia (Big 12),12,8-4,48,45,2,0,14,0,379,31.6
Tennessee (SEC),12,8-4,46,45,0,0,19,0,378,31.5
TCU (Big 12),12,5-7,48,44,1,0,14,0,376,31.3
Georgia Tech (ACC),12,6-6,48,42,1,0,14,0,374,31.2
Troy (Sun Belt),13,11-2,50,49,1,0,18,0,405,31.2
Louisville (ACC),13,10-3,50,46,1,0,18,0,402,30.9
Ga. Southern (Sun Belt),12,6-6,43,42,1,0,23,0,371,30.9
South Alabama (Sun Belt),12,6-6,48,38,3,0,13,0,371,30.9
South Fla. (AAC),12,6-6,48,46,2,1,10,0,368,30.8
Rice (AAC),12,6-6,48,45,3,0,8,0,363,30.2
Fresno St. (Mountain West),12,8-4,42,36,4,0,21,0,359,29.9
UAB (AAC),12,4-8,47,38,3,0,11,0,359,29.9
Western Ky. (CUSA),12,7-5,48,42,2,0,8,0,358,29.8
Maryland (Big Ten),12,7-5,45,42,2,0,13,0,355,29.6
Oklahoma St. (Big 12),13,9-4,44,39,1,0,26,0,383,29.5
Clemson (ACC),12,8-4,45,44,0,0,12,0,350,29.2
New Mexico St. (CUSA),14,10-4,50,48,0,0,18,0,402,28.7
Kentucky (SEC),12,7-5,45,43,0,0,10,0,343,28.6
Virginia Tech (ACC),12,6-6,40,39,0,0,20,2,343,28.6
Florida (SEC),12,5-7,41,33,2,0,18,2,341,28.4
Colorado (Pac-12),12,4-8,42,36,3,1,14,0,336,28.2
Coastal Carolina (Sun Belt),12,7-5,41,40,1,0,16,0,336,28.0
Arkansas St. (Sun Belt),12,6-6,41,40,1,0,15,0,333,27.8
Duke (ACC),12,7-5,41,38,2,0,15,0,333,27.8
Air Force (Mountain West),12,8-4,41,38,1,0,15,0,331,27.6
Auburn (SEC),12,6-6,41,40,1,0,13,0,327,27.2
New Mexico (Mountain West),12,4-8,43,37,1,0,10,0,327,27.2
Miami (OH) (MAC),13,11-2,39,38,0,0,26,0,350,26.9
Tulane (AAC),13,11-2,42,40,0,0,19,0,349,26.8
Texas Tech (Big 12),12,6-6,40,36,2,0,14,0,322,26.8
NC State (ACC),12,9-3,39,38,0,0,16,0,320,26.7
Arkansas (SEC),12,4-8,37,33,2,0,20,0,319,26.6
Bowling Green (MAC),12,7-5,39,40,0,0,12,0,316,26.3
Iowa St. (Big 12),12,7-5,37,34,1,0,19,0,315,26.2
Colorado St. (Mountain West),12,5-7,38,34,2,0,15,1,313,26.1
Wyoming (Mountain West),12,8-4,39,37,2,1,10,0,311,26.1
South Carolina (SEC),12,5-7,40,34,0,0,12,1,312,26.0
Louisiana Tech (CUSA),12,3-9,39,31,2,0,14,0,311,25.9
Georgia St. (Sun Belt),12,6-6,41,39,0,0,8,0,309,25.8
UCLA (Pac-12),12,7-5,41,39,0,0,8,0,309,25.8
Syracuse (ACC),12,6-6,40,36,0,0,10,0,306,25.5
NIU (MAC),12,6-6,38,30,3,0,13,0,303,25.2
Boston College (ACC),12,6-6,39,34,1,0,10,0,300,25.0
Illinois (Big Ten),12,5-7,37,24,3,0,14,0,294,24.5
Utah (Pac-12),12,8-4,35,34,1,0,16,0,294,24.5
Middle Tenn. (CUSA),12,4-8,37,35,0,0,10,2,291,24.2
Cincinnati (Big 12),12,3-9,35,30,2,0,15,0,289,24.1
Purdue (Big Ten),12,4-8,38,31,2,0,8,0,287,23.9
Fla. Atlantic (AAC),12,4-8,38,37,1,0,6,0,285,23.8
Houston (Big 12),12,4-8,37,34,1,0,8,1,284,23.7
Western Mich. (MAC),12,4-8,36,35,1,0,9,2,284,23.7
Tulsa (AAC),12,4-8,33,30,0,0,17,1,281,23.4
Marshall (Sun Belt),12,6-6,35,34,0,0,11,1,279,23.2
Virginia (ACC),12,3-9,32,31,1,0,18,0,279,23.2
Central Mich. (MAC),12,5-7,37,31,1,1,7,0,276,23.2
Massachusetts (FBS Independent),12,3-9,35,27,4,0,11,0,278,23.2
Southern Miss. (Sun Belt),12,3-9,33,29,0,0,17,0,278,23.2
BYU (Big 12),12,5-7,35,32,1,0,11,0,277,23.1
Baylor (Big 12),12,3-9,32,21,4,0,18,1,277,23.1
Ohio (MAC),12,9-3,32,30,1,0,17,0,275,22.9
Old Dominion (Sun Belt),12,6-6,33,31,1,0,14,1,275,22.9
Vanderbilt (SEC),12,2-10,36,29,3,0,7,1,274,22.8
Wisconsin (Big Ten),12,7-5,33,30,2,0,14,0,274,22.8
Northwestern (Big Ten),12,7-5,33,31,0,0,14,1,273,22.8
Rutgers (Big Ten),12,6-6,33,29,1,0,14,0,271,22.6
Indiana (Big Ten),12,3-9,33,31,2,0,11,0,266,22.2
Mississippi St. (SEC),12,5-7,30,29,1,0,17,0,262,21.8
Hawaii (Mountain West),13,5-8,34,30,1,0,14,0,278,21.4
Temple (AAC),12,3-9,33,24,5,0,7,0,253,21.1
Buffalo (MAC),12,3-9,31,26,2,1,11,0,249,20.9
Stanford (Pac-12),12,3-9,26,22,0,0,23,0,247,20.6
Army West Point (FBS Independent),12,6-6,30,28,1,0,12,0,246,20.5
San Diego St. (Mountain West),12,4-8,27,25,0,0,19,1,246,20.5
Eastern Mich. (MAC),12,6-6,30,24,1,0,12,1,244,20.3
Wake Forest (ACC),12,4-8,29,22,1,0,15,0,243,20.2
Minnesota (Big Ten),12,5-7,25,24,0,0,22,1,242,20.2
Pittsburgh (ACC),12,3-9,30,29,0,0,11,0,242,20.2
FIU (CUSA),12,4-8,31,26,1,0,9,0,241,20.1
UTEP (CUSA),12,3-9,30,29,0,0,10,0,239,19.9
UConn (FBS Independent),12,3-9,29,23,1,0,10,0,229,19.1
Ball St. (MAC),12,4-8,25,24,0,0,15,0,219,18.2
Nebraska (Big Ten),12,5-7,26,27,0,0,9,0,216,18.0
Arizona St. (Pac-12),12,3-9,25,20,5,0,11,0,213,17.8
Navy (AAC),12,5-7,27,22,1,0,8,1,212,17.7
Charlotte (AAC),12,3-9,25,21,2,0,11,1,210,17.5
East Carolina (AAC),12,2-10,22,20,1,0,18,0,208,17.3
Nevada (Mountain West),12,2-10,23,19,2,0,15,1,208,17.3
ULM (Sun Belt),12,2-10,25,21,2,0,11,0,208,17.3
Iowa (Big Ten),13,10-3,22,19,1,0,19,3,216,16.6
Akron (MAC),12,2-10,24,24,0,0,9,0,195,16.2
Michigan St. (Big Ten),12,4-8,22,20,0,0,13,0,191,15.9
Kent St. (MAC),12,1-11,19,17,0,0,15,0,176,14.7
James Madison (Sun Belt),12,11-1,53,50,1,0,16,2,422,35.2
Jacksonville St. (CUSA),12,8-4,45,42,2,0,14,0,358,29.8
Sam Houston (CUSA),12,3-9,30,27,0,0,11,0,240,20.0
