Team,Games,Win-Loss,Touchdowns Allowed,Opponent Extra Points,2 Point Conversions Allowed,Opp Deflected Extra Points,Opp Feild Goals Made,Opp Safety,Points Allowed,Avg Points per Game Allowed
Ball St. (MAC),12,4-8,35,35,0,0,16,0,293,24.4
Fresno St. (Mountain West),12,8-4,36,33,1,0,14,1,295,24.6
Coastal Carolina (Sun Belt),12,7-5,36,35,0,0,15,0,296,24.7
UTSA (AAC),12,8-4,35,31,2,0,17,0,296,24.7
Kentucky (SEC),12,7-5,35,33,2,0,17,0,298,24.8
UCF (Big 12),12,6-6,37,31,2,0,16,0,305,25.4
Fla. Atlantic (AAC),12,4-8,37,34,0,0,16,1,306,25.5
Kansas (Big 12),12,8-4,37,27,4,2,16,0,309,25.8
San Jose St. (Mountain West),12,7-5,41,40,1,0,7,0,309,25.8
Old Dominion (Sun Belt),12,6-6,38,36,1,0,15,2,315,26.2
South Carolina (SEC),12,5-7,37,35,1,0,19,0,316,26.3
Mississippi St. (SEC),12,5-7,39,37,0,0,16,0,319,26.6
Rice (AAC),12,6-6,38,32,3,0,18,0,320,26.7
San Diego St. (Mountain West),12,4-8,38,34,3,0,17,1,321,26.8
Minnesota (Big Ten),12,5-7,41,38,0,0,13,0,323,26.9
Texas Tech (Big 12),12,6-6,37,33,3,0,21,0,324,27.0
UNLV (Mountain West),13,9-4,43,42,0,0,17,0,351,27.0
Wake Forest (ACC),12,4-8,40,39,0,0,15,0,324,27.0
North Carolina (ACC),12,8-4,40,36,2,0,15,0,325,27.1
Pittsburgh (ACC),12,3-9,41,40,0,0,14,0,328,27.3
Buffalo (MAC),12,3-9,40,38,0,0,17,0,329,27.4
West Virginia (Big 12),12,8-4,43,42,0,0,10,0,330,27.5
Florida (SEC),12,5-7,40,36,0,0,17,2,331,27.6
LSU (SEC),12,9-3,43,37,4,0,10,0,333,27.8
TCU (Big 12),12,5-7,39,36,2,0,20,0,334,27.8
Arkansas (SEC),12,4-8,40,38,0,0,19,0,335,27.9
App State (Sun Belt),13,8-5,46,40,3,0,13,1,363,27.9
Akron (MAC),12,2-10,43,36,3,0,12,0,336,28.0
Middle Tenn. (CUSA),12,4-8,43,38,1,0,13,0,337,28.1
Washington St. (Pac-12),12,5-7,43,40,0,0,13,0,337,28.1
Louisiana (Sun Belt),12,6-6,44,36,1,0,12,0,338,28.2
Marshall (Sun Belt),12,6-6,40,39,1,0,19,0,338,28.2
Western Ky. (CUSA),12,7-5,44,42,1,0,10,0,338,28.2
Michigan St. (Big Ten),12,4-8,42,39,2,0,15,0,340,28.3
UTEP (CUSA),12,3-9,45,45,0,0,9,0,342,28.5
Charlotte (AAC),12,3-9,40,36,2,0,21,0,343,28.6
Memphis (AAC),12,9-3,45,38,5,0,10,0,348,29.0
Oklahoma St. (Big 12),13,9-4,50,41,2,0,10,1,377,29.0
Illinois (Big Ten),12,5-7,43,35,2,0,18,1,353,29.4
Boston College (ACC),12,6-6,47,45,0,0,9,0,354,29.5
Colorado St. (Mountain West),12,5-7,41,33,2,0,24,0,355,29.6
Ga. Southern (Sun Belt),12,6-6,46,42,2,0,11,0,355,29.6
BYU (Big 12),12,5-7,45,41,1,0,15,0,358,29.8
UConn (FBS Independent),12,3-9,46,43,0,0,13,0,358,29.8
Indiana (Big Ten),12,3-9,45,39,0,0,16,1,359,29.9
Purdue (Big Ten),12,4-8,44,40,2,0,17,0,359,29.9
Cincinnati (Big 12),12,3-9,46,45,0,0,13,0,360,30.0
Georgia Tech (ACC),12,6-6,47,42,0,0,14,0,366,30.5
Georgia St. (Sun Belt),12,6-6,48,45,2,0,10,1,369,30.8
Central Mich. (MAC),12,5-7,47,42,2,0,15,0,373,31.1
Arkansas St. (Sun Belt),12,6-6,46,43,2,0,17,0,374,31.2
Houston (Big 12),12,4-8,50,44,2,0,10,0,378,31.5
Western Mich. (MAC),12,4-8,48,45,2,0,14,1,381,31.8
Arizona St. (Pac-12),12,3-9,46,44,1,0,20,0,382,31.8
FIU (CUSA),12,4-8,46,41,0,0,21,1,382,31.8
Hawaii (Mountain West),13,5-8,53,49,2,0,16,0,419,32.2
California (Pac-12),12,6-6,51,46,2,0,12,0,392,32.7
Baylor (Big 12),12,3-9,52,49,3,0,11,0,400,33.3
Louisiana Tech (CUSA),12,3-9,53,53,0,0,10,0,401,33.4
Nevada (Mountain West),12,2-10,50,48,1,0,17,0,401,33.4
Virginia (ACC),12,3-9,51,48,0,0,17,0,405,33.8
Texas St. (Sun Belt),12,7-5,53,43,3,0,13,0,406,33.8
Tulsa (AAC),12,4-8,52,48,4,0,12,1,406,33.8
Utah St. (Mountain West),12,6-6,53,48,2,0,12,0,406,33.8
Kent St. (MAC),12,1-11,55,53,1,0,10,0,415,34.6
Colorado (Pac-12),12,4-8,56,50,1,0,10,0,418,34.8
South Fla. (AAC),12,6-6,57,54,1,0,7,0,419,34.9
Southern California (Pac-12),12,7-5,55,47,3,0,12,0,419,34.9
ULM (Sun Belt),12,2-10,52,50,0,0,19,0,419,34.9
New Mexico (Mountain West),12,4-8,51,47,3,1,20,0,421,35.1
Temple (AAC),12,3-9,54,52,1,0,16,1,428,35.7
Southern Miss. (Sun Belt),12,3-9,56,53,2,0,12,0,429,35.8
Vanderbilt (SEC),12,2-10,54,50,0,0,20,0,434,36.2
UAB (AAC),12,4-8,57,55,2,0,14,0,443,36.9
North Texas (AAC),12,5-7,60,52,3,0,9,0,445,37.1
Stanford (Pac-12),12,3-9,62,58,2,0,4,0,446,37.2
Massachusetts (FBS Independent),12,3-9,61,55,0,0,11,0,454,37.8
James Madison (Sun Belt),12,11-1,27,25,0,0,11,1,222,18.5
Jacksonville St. (CUSA),12,8-4,30,28,0,0,12,0,244,20.3
Sam Houston (CUSA),12,3-9,39,36,1,0,14,0,314,26.2
