Team,Games,Win-Loss,Opp Completions Allowed,Opp Pass Attempts,Opp Pass Yds Allowed,Opp Pass TDs Allowed,Yards/Attempt Allowed,Yards/Completion Allowed,Pass Yards Per Game Allowed
Massachusetts (FBS Independent),12,3-9,162,286,2474,24,8.65,15.27,206.2
Maryland (Big Ten),12,7-5,215,372,2488,16,6.69,11.57,207.3
Duke (ACC),12,7-5,238,379,2499,11,6.59,10.50,208.2
South Alabama (Sun Belt),12,6-6,196,324,2521,19,7.78,12.86,210.1
Kansas (Big 12),12,8-4,229,347,2526,13,7.28,11.03,210.5
Nebraska (Big Ten),12,5-7,245,412,2527,14,6.13,10.31,210.6
Pittsburgh (ACC),12,3-9,197,317,2537,16,8.00,12.88,211.4
Coastal Carolina (Sun Belt),12,7-5,207,361,2538,20,7.03,12.26,211.5
App State (Sun Belt),13,8-5,252,412,2760,15,6.70,10.95,212.3
Georgia Tech (ACC),12,6-6,208,335,2550,16,7.61,12.26,212.5
Charlotte (AAC),12,3-9,214,340,2552,20,7.51,11.93,212.7
Louisiana (Sun Belt),12,6-6,218,352,2559,21,7.27,11.74,213.2
Hawaii (Mountain West),13,5-8,204,331,2787,24,8.42,13.66,214.4
Kent St. (MAC),12,1-11,184,315,2574,21,8.17,13.99,214.5
Wyoming (Mountain West),12,8-4,239,399,2588,18,6.49,10.83,215.7
Utah St. (Mountain West),12,6-6,230,403,2598,24,6.45,11.30,216.5
Rice (AAC),12,6-6,205,349,2599,17,7.45,12.68,216.6
Fresno St. (Mountain West),12,8-4,212,377,2603,19,6.90,12.28,216.9
Iowa St. (Big 12),12,7-5,226,414,2612,17,6.31,11.56,217.7
Marshall (Sun Belt),12,6-6,227,392,2622,21,6.69,11.55,218.5
NC State (ACC),12,9-3,224,390,2625,18,6.73,11.72,218.8
East Carolina (AAC),12,2-10,210,345,2630,19,7.62,12.52,219.2
Minnesota (Big Ten),12,5-7,223,353,2630,22,7.45,11.79,219.2
Ole Miss (SEC),12,10-2,232,374,2640,14,7.06,11.38,220.0
North Texas (AAC),12,5-7,191,328,2655,22,8.09,13.90,221.2
Missouri (SEC),12,10-2,240,382,2666,22,6.98,11.11,222.2
Oregon (Pac-12),13,11-2,281,468,2896,15,6.19,10.31,222.8
Utah (Pac-12),12,8-4,222,382,2692,15,7.05,12.13,224.3
Virginia (ACC),12,3-9,232,378,2697,19,7.13,11.62,224.8
Navy (AAC),12,5-7,225,345,2698,18,7.82,11.99,224.8
Cincinnati (Big 12),12,3-9,186,328,2710,20,8.26,14.57,225.8
Texas Tech (Big 12),12,6-6,245,410,2718,15,6.63,11.09,226.5
Florida (SEC),12,5-7,195,326,2720,18,8.34,13.95,226.7
Miami (FL) (ACC),12,7-5,218,381,2724,16,7.15,12.50,227.0
Illinois (Big Ten),12,5-7,241,399,2737,22,6.86,11.36,228.1
UCLA (Pac-12),12,7-5,261,429,2753,16,6.42,10.55,229.4
Arizona (Pac-12),12,9-3,232,388,2755,13,7.10,11.88,229.6
Kansas St. (Big 12),12,8-4,233,409,2762,16,6.75,11.85,230.2
Syracuse (ACC),12,6-6,247,394,2775,18,7.04,11.23,231.2
UTSA (AAC),12,8-4,239,418,2779,19,6.65,11.63,231.6
Wake Forest (ACC),12,4-8,218,354,2788,24,7.88,12.79,232.3
Western Mich. (MAC),12,4-8,220,361,2815,23,7.80,12.80,234.6
Tennessee (SEC),12,8-4,261,389,2819,15,7.25,10.80,234.9
New Mexico (Mountain West),12,4-8,195,319,2832,24,8.88,14.52,236.0
Oregon St. (Pac-12),12,8-4,249,407,2834,20,6.96,11.38,236.2
Baylor (Big 12),12,3-9,213,328,2837,22,8.65,13.32,236.4
Indiana (Big Ten),12,3-9,222,365,2854,25,7.82,12.86,237.8
Michigan St. (Big Ten),12,4-8,226,366,2854,24,7.80,12.63,237.8
UAB (AAC),12,4-8,241,389,2855,24,7.34,11.85,237.9
Old Dominion (Sun Belt),12,6-6,251,392,2859,23,7.29,11.39,238.2
Kentucky (SEC),12,7-5,261,389,2862,20,7.36,10.97,238.5
Washington St. (Pac-12),12,5-7,241,399,2863,14,7.18,11.88,238.6
Western Ky. (CUSA),12,7-5,238,408,2863,19,7.02,12.03,238.6
UNLV (Mountain West),13,9-4,226,371,3103,20,8.36,13.73,238.7
Tulane (AAC),13,11-2,296,452,3109,16,6.88,10.50,239.2
New Mexico St. (CUSA),14,10-4,274,437,3350,16,7.67,12.23,239.3
West Virginia (Big 12),12,8-4,233,390,2879,25,7.38,12.36,239.9
BYU (Big 12),12,5-7,250,408,2880,21,7.06,11.52,240.0
Texas (Big 12),13,12-1,278,464,3131,19,6.75,11.26,240.8
San Diego St. (Mountain West),12,4-8,222,392,2894,16,7.38,13.04,241.2
Purdue (Big Ten),12,4-8,201,370,2898,21,7.83,14.42,241.5
Southern Miss. (Sun Belt),12,3-9,189,325,2904,23,8.94,15.37,242.0
Oklahoma (Big 12),12,10-2,245,436,2906,16,6.67,11.86,242.2
North Carolina (ACC),12,8-4,256,408,2908,19,7.13,11.36,242.3
Temple (AAC),12,3-9,211,328,2919,27,8.90,13.83,243.2
Ga. Southern (Sun Belt),12,6-6,238,380,2929,19,7.71,12.31,244.1
Liberty (CUSA),13,13-0,266,465,3182,26,6.84,11.96,244.8
LSU (SEC),12,9-3,241,380,2945,20,7.75,12.22,245.4
FIU (CUSA),12,4-8,241,389,2950,26,7.58,12.24,245.8
South Carolina (SEC),12,5-7,245,401,2955,16,7.37,12.06,246.2
Central Mich. (MAC),12,5-7,223,360,2967,20,8.24,13.30,247.2
Fla. Atlantic (AAC),12,4-8,263,412,2977,23,7.23,11.32,248.1
Middle Tenn. (CUSA),12,4-8,268,429,2994,19,6.98,11.17,249.5
Colorado St. (Mountain West),12,5-7,278,389,2996,20,7.70,10.78,249.7
Boise St. (Mountain West),13,8-5,248,413,3275,16,7.93,13.21,251.9
Memphis (AAC),12,9-3,239,393,3038,22,7.73,12.71,253.2
TCU (Big 12),12,5-7,239,400,3044,16,7.61,12.74,253.7
Nevada (Mountain West),12,2-10,225,346,3049,24,8.81,13.55,254.1
Southern California (Pac-12),12,7-5,246,392,3062,31,7.81,12.45,255.2
Houston (Big 12),12,4-8,263,384,3064,21,7.98,11.65,255.3
Texas St. (Sun Belt),12,7-5,258,391,3090,23,7.90,11.98,257.5
UConn (FBS Independent),12,3-9,256,378,3106,19,8.22,12.13,258.8
Arkansas St. (Sun Belt),12,6-6,277,401,3140,23,7.83,11.34,261.7
Washington (Pac-12),13,13-0,311,521,3421,22,6.57,11.00,263.2
Arizona St. (Pac-12),12,3-9,271,419,3160,28,7.54,11.66,263.3
Oklahoma St. (Big 12),13,9-4,248,408,3478,27,8.52,14.02,267.5
ULM (Sun Belt),12,2-10,257,397,3299,28,8.31,12.84,274.9
Colorado (Pac-12),12,4-8,269,417,3323,28,7.97,12.35,276.9
Vanderbilt (SEC),12,2-10,290,421,3355,26,7.97,11.57,279.6
Tulsa (AAC),12,4-8,250,388,3358,24,8.65,13.43,279.8
California (Pac-12),12,6-6,279,442,3390,27,7.67,12.15,282.5
Georgia St. (Sun Belt),12,6-6,265,405,3445,28,8.51,13.00,287.1
Stanford (Pac-12),12,3-9,280,423,3576,32,8.45,12.77,298.0
South Fla. (AAC),12,6-6,269,442,3615,29,8.18,13.44,301.2
Sam Houston (CUSA),12,3-9,235,364,2778,14,7.63,11.82,231.5
Jacksonville St. (CUSA),12,8-4,239,404,2981,15,7.38,12.47,248.4
James Madison (Sun Belt),12,11-1,275,454,3205,16,7.06,11.65,267.1
