Team,Games,Win-Loss,Opp Completions Allowed,Opp Pass Attempts,Opp Pass Yds Allowed,Opp Pass TDs Allowed,Yards/Attempt Allowed,Yards/Completion Allowed,Pass Yards Per Game Allowed
San Diego (Pioneer),12,9-3,183,334,2518,16,7.54,13.76,209.8
Central Conn. St. (NEC),13,11-2,242,438,2728,28,6.23,11.27,209.8
Maine (CAA),12,6-6,193,368,2520,17,6.85,13.06,210.0
Alcorn (SWAC),13,9-4,222,388,2743,21,7.07,12.36,211.0
Dartmouth (Ivy League),10,9-1,215,352,2114,8,6.01,9.83,211.4
Delaware St. (MEAC),12,2-10,213,360,2540,29,7.06,11.92,211.7
Butler (Pioneer),12,3-9,187,309,2555,27,8.27,13.66,212.9
Morgan St. (MEAC),12,3-9,175,325,2559,27,7.87,14.62,213.2
Gardner-Webb (Big South),12,3-9,223,362,2563,17,7.08,11.49,213.6
Cornell (Ivy League),10,4-6,186,298,2137,15,7.17,11.49,213.7
UAlbany (CAA),14,9-5,253,414,2992,24,7.23,11.83,213.7
New Hampshire (CAA),11,6-5,190,321,2352,8,7.33,12.38,213.8
The Citadel (SoCon),12,6-6,173,324,2575,18,7.95,14.88,214.6
Lehigh (Patriot),11,4-7,223,361,2374,15,6.58,10.65,215.8
Stetson (Pioneer),11,7-4,166,336,2380,17,7.08,14.34,216.4
Missouri St. (MVFC),11,1-10,164,256,2390,21,9.34,14.57,217.3
Grambling (SWAC),11,6-5,210,370,2394,15,6.47,11.40,217.6
Lafayette (Patriot),12,4-8,209,335,2615,22,7.81,12.51,217.9
Alabama A&M (SWAC),12,7-5,206,367,2642,30,7.20,12.83,220.2
Elon (CAA),11,5-6,187,305,2430,19,7.97,12.99,220.9
Samford (SoCon),12,5-7,212,344,2655,19,7.72,12.52,221.2
UT Martin (OVC),12,7-5,219,389,2659,13,6.84,12.14,221.6
Southern Utah (Big Sky),12,3-9,221,350,2674,22,7.64,12.10,222.8
Jacksonville St. (OVC),12,6-6,216,399,2701,19,6.77,12.50,225.1
Holy Cross (Patriot),13,7-6,240,418,2927,18,7.00,12.20,225.2
Weber St. (Big Sky),15,11-4,287,475,3378,24,7.11,11.77,225.2
Sacramento St. (Big Sky),13,9-4,239,415,2929,17,7.06,12.26,225.3
Southeast Mo. St. (OVC),13,9-4,233,431,2937,15,6.81,12.61,225.9
Towson (CAA),12,7-5,204,363,2756,18,7.59,13.51,229.7
Ark.-Pine Bluff (SWAC),11,6-5,220,375,2528,16,6.74,11.49,229.8
Princeton (Ivy League),10,8-2,206,336,2323,13,6.91,11.28,232.3
Florida A&M (MEAC),11,9-2,215,384,2556,17,6.66,11.89,232.4
Sacred Heart (NEC),12,7-5,201,368,2809,16,7.63,13.98,234.1
Monmouth (Big South),14,11-3,264,437,3287,34,7.52,12.45,234.8
Hampton (Big South),12,5-7,152,314,2824,27,8.99,18.58,235.3
Howard (MEAC),12,2-10,174,301,2845,31,9.45,16.35,237.1
Montana St. (Big Sky),15,11-4,333,534,3557,21,6.66,10.68,237.1
Murray St. (OVC),12,4-8,243,401,2849,21,7.10,11.72,237.4
Dayton (Pioneer),11,8-3,194,331,2625,20,7.93,13.53,238.6
Columbia (Ivy League),10,3-7,162,290,2388,12,8.23,14.74,238.8
Stony Brook (CAA),12,5-7,232,367,2889,19,7.87,12.45,240.8
Cal Poly (Big Sky),11,3-8,206,325,2670,22,8.22,12.96,242.7
Delaware (CAA),12,5-7,215,335,2920,23,8.72,13.58,243.3
Idaho (Big Sky),12,5-7,219,404,2923,20,7.24,13.35,243.6
Tennessee St. (OVC),12,3-9,234,400,2938,25,7.34,12.56,244.8
VMI (SoCon),12,5-7,210,355,2953,26,8.32,14.06,246.1
William & Mary (CAA),12,5-7,268,435,2984,23,6.86,11.13,248.7
Western Ill. (MVFC),12,1-11,224,359,2988,26,8.32,13.34,249.0
Penn (Ivy League),10,5-5,201,309,2509,16,8.12,12.48,250.9
Mississippi Val. (SWAC),11,2-9,218,366,2761,21,7.54,12.67,251.0
Yale (Ivy League),10,9-1,180,330,2525,22,7.65,14.03,252.5
UC Davis (Big Sky),12,5-7,261,431,3032,22,7.03,11.62,252.7
Northwestern St. (Southland),12,3-9,242,376,3071,23,8.17,12.69,255.9
Harvard (Ivy League),10,4-6,190,330,2565,17,7.77,13.50,256.5
Central Ark. (Southland),13,9-4,279,453,3342,20,7.38,11.98,257.1
Lamar University (Southland),12,4-8,226,380,3092,29,8.14,13.68,257.7
Tennessee Tech (OVC),12,6-6,242,397,3095,28,7.80,12.79,257.9
Southern U. (SWAC),13,8-5,257,416,3370,20,8.10,13.11,259.2
Northern Colo. (Big Sky),12,2-10,238,381,3111,31,8.17,13.07,259.2
Sam Houston (Southland),12,7-5,272,517,3121,14,6.04,11.47,260.1
SFA (Southland),12,3-9,288,466,3149,24,6.76,10.93,262.4
Nicholls (Southland),14,9-5,313,500,3679,25,7.36,11.75,262.8
Villanova (CAA),13,9-4,293,496,3420,22,6.90,11.67,263.1
Bucknell (Patriot),11,3-8,248,378,2902,29,7.68,11.70,263.8
Abilene Christian (Southland),12,5-7,283,462,3178,23,6.88,11.23,264.8
Eastern Wash. (Big Sky),12,7-5,276,467,3196,27,6.84,11.58,266.3
Portland St. (Big Sky),12,5-7,228,404,3252,30,8.05,14.26,271.0
Fordham (Patriot),12,4-8,235,386,3303,24,8.56,14.06,275.2
Montana (Big Sky),14,10-4,326,549,3901,30,7.11,11.97,278.6
Idaho St. (Big Sky),12,3-9,251,402,3393,28,8.44,13.52,282.8
UIW (Southland),12,5-7,316,468,3451,29,7.37,10.92,287.6
Southeastern La. (Southland),13,8-5,294,498,3787,29,7.60,12.88,291.3
McNeese (Southland),12,7-5,270,472,3501,31,7.42,12.97,291.8
Texas Southern (SWAC),11,0-11,230,373,3242,34,8.69,14.10,294.7
South Dakota (MVFC),12,5-7,279,426,3573,31,8.39,12.81,297.8
Northern Ariz. (Big Sky),12,4-8,279,427,3745,27,8.77,13.42,312.1
Houston Christian (Southland),12,5-7,296,451,3799,27,8.42,12.83,316.6
Brown (Ivy League),10,2-8,239,370,3418,32,9.24,14.30,341.8
Merrimack (NEC),11,6-5,158,308,2139,16,6.94,13.54,194.5
North Ala. (FCS Independent),11,4-7,209,341,2406,24,7.06,11.51,218.7
