Team,Games,Win-Loss,Kickoffs Returned,Kickoff Return Yards,Kickoff Return Touchdowns,Avg Yard per Kickoff Return
Ark.-Pine Bluff (SWAC),11,6-5,43,870,1,20.23
Villanova (CAA),13,9-4,68,1376,0,20.24
Abilene Christian (Southland),12,5-7,37,749,1,20.24
Florida A&M (MEAC),11,9-2,48,975,0,20.31
Western Ill. (MVFC),12,1-11,15,306,0,20.40
William & Mary (CAA),12,5-7,32,653,1,20.41
Bryant (NEC),12,4-8,34,696,0,20.47
Lafayette (Patriot),12,4-8,34,696,1,20.47
Monmouth (Big South),14,11-3,50,1025,1,20.50
Morehead St. (Pioneer),12,5-7,49,1009,0,20.59
N.C. Central (MEAC),12,4-8,38,785,1,20.66
Butler (Pioneer),12,3-9,35,724,0,20.69
Wagner (NEC),12,1-11,27,560,0,20.74
Delaware St. (MEAC),12,2-10,43,895,2,20.81
Towson (CAA),12,7-5,32,667,0,20.84
Tennessee St. (OVC),12,3-9,32,669,1,20.91
Samford (SoCon),12,5-7,32,672,0,21.00
Duquesne (NEC),11,6-5,36,758,1,21.06
Indiana St. (MVFC),12,5-7,30,634,0,21.13
North Dakota (FCS Independent),12,7-5,47,994,0,21.15
Furman (SoCon),13,8-5,32,678,0,21.19
Northern Ariz. (Big Sky),12,4-8,19,403,0,21.21
Hampton (Big South),12,5-7,40,851,1,21.28
Idaho (Big Sky),12,5-7,13,277,0,21.31
Chattanooga (SoCon),12,6-6,33,704,1,21.33
Bucknell (Patriot),11,3-8,34,729,1,21.44
UNI (MVFC),15,10-5,47,1008,0,21.45
Valparaiso (Pioneer),12,1-11,28,601,0,21.46
Southeastern La. (Southland),13,8-5,67,1449,2,21.63
Saint Francis (PA) (NEC),12,6-6,46,998,0,21.70
Jackson St. (SWAC),12,4-8,45,982,2,21.82
Southeast Mo. St. (OVC),13,9-4,47,1039,0,22.11
Idaho St. (Big Sky),12,3-9,34,754,0,22.18
UAlbany (CAA),14,9-5,64,1422,1,22.22
Northwestern St. (Southland),12,3-9,40,891,1,22.28
Murray St. (OVC),12,4-8,20,447,0,22.35
Grambling (SWAC),11,6-5,27,607,0,22.48
SFA (Southland),12,3-9,20,451,0,22.55
Northern Colo. (Big Sky),12,2-10,18,410,0,22.78
Delaware (CAA),12,5-7,28,639,2,22.82
Dayton (Pioneer),11,8-3,33,755,1,22.88
Campbell (Big South),11,6-5,38,870,1,22.89
South Dakota (MVFC),12,5-7,41,940,0,22.93
Weber St. (Big Sky),15,11-4,36,826,2,22.94
Gardner-Webb (Big South),12,3-9,35,804,0,22.97
Maine (CAA),12,6-6,59,1365,1,23.14
Presbyterian (Big South),12,2-10,29,680,0,23.45
Nicholls (Southland),14,9-5,58,1365,2,23.53
Wofford (SoCon),12,8-4,55,1303,0,23.69
Western Caro. (SoCon),12,3-9,34,813,0,23.91
Brown (Ivy League),10,2-8,24,574,0,23.92
Cal Poly (Big Sky),11,3-8,25,603,0,24.12
Eastern Ill. (OVC),12,1-11,26,633,0,24.35
Stony Brook (CAA),12,5-7,49,1200,1,24.49
LIU (NEC),10,0-10,22,543,1,24.68
Richmond (CAA),12,5-7,40,988,2,24.70
Youngstown St. (MVFC),12,6-6,37,917,1,24.78
Missouri St. (MVFC),11,1-10,15,378,0,25.20
Texas Southern (SWAC),11,0-11,31,788,0,25.42
The Citadel (SoCon),12,6-6,19,562,0,29.58
Colgate (Patriot),12,4-8,21,654,3,31.14
North Ala. (FCS Independent),11,4-7,34,682,0,20.06
Merrimack (NEC),11,6-5,48,1002,0,20.88
