Team,Games,Win-Loss,4th Attempts,4th Conversions,4th Percent
Delaware St. (MEAC),12,2-10,11,24,0.458
Presbyterian (Big South),12,2-10,11,24,0.458
Stony Brook (CAA),12,5-7,11,24,0.458
Valparaiso (Pioneer),12,1-11,16,35,0.457
Butler (Pioneer),12,3-9,15,33,0.455
Jackson St. (SWAC),12,4-8,10,22,0.455
Lafayette (Patriot),12,4-8,14,31,0.452
Bryant (NEC),12,4-8,9,20,0.450
Illinois St. (MVFC),15,10-5,9,20,0.450
Nicholls (Southland),14,9-5,9,20,0.450
Sacred Heart (NEC),12,7-5,9,20,0.450
South Dakota (MVFC),12,5-7,9,20,0.450
Eastern Wash. (Big Sky),12,7-5,12,27,0.444
Gardner-Webb (Big South),12,3-9,12,27,0.444
Alabama St. (SWAC),11,5-6,8,18,0.444
Brown (Ivy League),10,2-8,18,41,0.439
William & Mary (CAA),12,5-7,13,30,0.433
Rhode Island (CAA),12,2-10,12,28,0.429
Southeast Mo. St. (OVC),13,9-4,6,14,0.429
Western Ill. (MVFC),12,1-11,11,26,0.423
Georgetown (Patriot),11,5-6,8,19,0.421
Idaho (Big Sky),12,5-7,8,19,0.421
Colgate (Patriot),12,4-8,13,31,0.419
Bucknell (Patriot),11,3-8,12,29,0.414
Mississippi Val. (SWAC),11,2-9,12,29,0.414
UIW (Southland),12,5-7,9,22,0.409
Morgan St. (MEAC),12,3-9,8,20,0.400
Florida A&M (MEAC),11,9-2,6,15,0.400
Holy Cross (Patriot),13,7-6,7,18,0.389
Missouri St. (MVFC),11,1-10,7,18,0.389
Northern Ariz. (Big Sky),12,4-8,8,21,0.381
SFA (Southland),12,3-9,8,21,0.381
Central Ark. (Southland),13,9-4,6,16,0.375
Marist (Pioneer),11,4-7,6,16,0.375
Eastern Ky. (OVC),12,7-5,10,27,0.370
Drake (Pioneer),11,6-5,7,19,0.368
Harvard (Ivy League),10,4-6,6,17,0.353
Northern Colo. (Big Sky),12,2-10,8,23,0.348
Howard (MEAC),12,2-10,11,32,0.344
Lehigh (Patriot),11,4-7,6,18,0.333
North Dakota (FCS Independent),12,7-5,6,18,0.333
LIU (NEC),10,0-10,5,15,0.333
South Dakota St. (MVFC),13,8-5,5,15,0.333
Youngstown St. (MVFC),12,6-6,5,15,0.333
UT Martin (OVC),12,7-5,4,12,0.333
UNI (MVFC),15,10-5,3,9,0.333
Murray St. (OVC),12,4-8,8,25,0.320
Idaho St. (Big Sky),12,3-9,6,19,0.316
Grambling (SWAC),11,6-5,4,13,0.308
Hampton (Big South),12,5-7,7,23,0.304
N.C. Central (MEAC),12,4-8,7,23,0.304
Richmond (CAA),12,5-7,3,10,0.300
Charleston So. (Big South),12,6-6,2,11,0.182
Saint Francis (PA) (NEC),12,6-6,3,18,0.167
North Ala. (FCS Independent),11,4-7,7,13,0.538
Merrimack (NEC),11,6-5,8,16,0.500
