Team,Games,Win-Loss,Redzone Attempts,Redzone Rush TD,Redzone Pass TD,Redzone Field Goals Made,Redzone Scores,Redzone Points
Wagner (NEC),12,1-11,27,8,9,6,23,0.852
UAlbany (CAA),14,9-5,53,11,26,8,45,0.849
Mercer (SoCon),12,4-8,45,10,17,11,38,0.844
Delaware St. (MEAC),12,2-10,32,11,7,9,27,0.844
North Dakota St. (MVFC),16,16-0,64,30,13,11,54,0.844
Kennesaw St. (Big South),14,11-3,63,43,3,7,53,0.841
Jacksonville St. (OVC),12,6-6,44,15,18,4,37,0.841
ETSU (SoCon),12,3-9,37,13,8,10,31,0.838
Norfolk St. (MEAC),12,5-7,43,16,13,7,36,0.837
Villanova (CAA),13,9-4,49,18,18,5,41,0.837
Bryant (NEC),12,4-8,24,10,2,8,20,0.833
Dartmouth (Ivy League),10,9-1,30,14,8,3,25,0.833
Gardner-Webb (Big South),12,3-9,36,9,15,5,30,0.833
Northern Ariz. (Big Sky),12,4-8,48,17,10,13,40,0.833
Alcorn (SWAC),13,9-4,52,16,16,11,43,0.827
Nicholls (Southland),14,9-5,52,29,7,7,43,0.827
South Dakota (MVFC),12,5-7,46,16,15,7,38,0.826
Montana (Big Sky),14,10-4,63,27,17,8,52,0.825
Tennessee Tech (OVC),12,6-6,51,16,14,12,42,0.824
Yale (Ivy League),10,9-1,56,15,17,14,46,0.821
Central Ark. (Southland),13,9-4,50,8,21,12,41,0.820
Southern U. (SWAC),13,8-5,55,30,9,6,45,0.818
Campbell (Big South),11,6-5,38,18,6,7,31,0.816
UC Davis (Big Sky),12,5-7,43,12,17,6,35,0.814
Florida A&M (MEAC),11,9-2,42,14,16,4,34,0.810
Mississippi Val. (SWAC),11,2-9,21,8,8,1,17,0.810
Sacred Heart (NEC),12,7-5,36,11,10,8,29,0.806
Princeton (Ivy League),10,8-2,45,22,9,5,36,0.800
Sacramento St. (Big Sky),13,9-4,60,24,17,7,48,0.800
Samford (SoCon),12,5-7,55,20,13,11,44,0.800
Monmouth (Big South),14,11-3,59,20,16,11,47,0.797
Saint Francis (PA) (NEC),12,6-6,49,9,18,12,39,0.796
Maine (CAA),12,6-6,44,11,15,9,35,0.795
South Carolina St. (MEAC),11,8-3,44,16,10,9,35,0.795
Houston Christian (Southland),12,5-7,63,10,28,12,50,0.794
Ark.-Pine Bluff (SWAC),11,6-5,43,19,11,4,34,0.791
The Citadel (SoCon),12,6-6,51,28,6,6,40,0.784
Rhode Island (CAA),12,2-10,46,9,16,11,36,0.783
Chattanooga (SoCon),12,6-6,50,20,9,10,39,0.780
Charleston So. (Big South),12,6-6,45,9,14,12,35,0.778
Morehead St. (Pioneer),12,5-7,36,17,8,3,28,0.778
Robert Morris (NEC),12,7-5,36,9,9,10,28,0.778
South Dakota St. (MVFC),13,8-5,49,21,10,7,38,0.776
Holy Cross (Patriot),13,7-6,40,14,8,9,31,0.775
Lehigh (Patriot),11,4-7,31,6,6,12,24,0.774
Delaware (CAA),12,5-7,35,5,11,11,27,0.771
Abilene Christian (Southland),12,5-7,52,17,14,9,40,0.769
Sam Houston (Southland),12,7-5,52,24,10,6,40,0.769
Brown (Ivy League),10,2-8,43,13,13,7,33,0.767
Presbyterian (Big South),12,2-10,30,11,5,7,23,0.767
Duquesne (NEC),11,6-5,47,13,12,11,36,0.766
Northern Colo. (Big Sky),12,2-10,34,11,8,7,26,0.765
Richmond (CAA),12,5-7,42,11,9,12,32,0.762
Drake (Pioneer),11,6-5,41,14,14,3,31,0.756
Georgetown (Patriot),11,5-6,40,17,9,4,30,0.750
Grambling (SWAC),11,6-5,40,14,8,8,30,0.750
Jackson St. (SWAC),12,4-8,44,10,14,9,33,0.750
Idaho (Big Sky),12,5-7,47,13,14,8,35,0.745
Columbia (Ivy League),10,3-7,27,8,6,6,20,0.741
Prairie View (SWAC),11,6-5,50,18,13,6,37,0.740
Tennessee St. (OVC),12,3-9,50,15,7,15,37,0.740
UIW (Southland),12,5-7,50,18,11,8,37,0.740
Harvard (Ivy League),10,4-6,38,13,8,7,28,0.737
Colgate (Patriot),12,4-8,34,13,6,6,25,0.735
Missouri St. (MVFC),11,1-10,26,2,10,7,19,0.731
Bethune-Cookman (MEAC),11,7-4,37,16,4,7,27,0.730
Central Conn. St. (NEC),13,11-2,48,24,7,4,35,0.729
Southern Ill. (MVFC),12,7-5,47,20,9,5,34,0.723
Stony Brook (CAA),12,5-7,47,16,10,8,34,0.723
Alabama St. (SWAC),11,5-6,36,9,13,4,26,0.722
Southern Utah (Big Sky),12,3-9,43,18,8,5,31,0.721
William & Mary (CAA),12,5-7,46,22,4,7,33,0.717
Alabama A&M (SWAC),12,7-5,49,18,13,4,35,0.714
Indiana St. (MVFC),12,5-7,42,12,7,11,30,0.714
Western Ill. (MVFC),12,1-11,28,7,8,5,20,0.714
Hampton (Big South),12,5-7,52,15,15,7,37,0.712
Penn (Ivy League),10,5-5,38,11,14,2,27,0.711
Cornell (Ivy League),10,4-6,31,11,5,6,22,0.710
Marist (Pioneer),11,4-7,31,10,4,8,22,0.710
Morgan St. (MEAC),12,3-9,31,7,4,11,22,0.710
New Hampshire (CAA),11,6-5,31,9,7,6,22,0.710
McNeese (Southland),12,7-5,44,8,11,12,31,0.705
LIU (NEC),10,0-10,20,6,3,5,14,0.700
Northwestern St. (Southland),12,3-9,50,11,17,7,35,0.700
Cal Poly (Big Sky),11,3-8,33,15,4,4,23,0.697
Texas Southern (SWAC),11,0-11,39,12,7,8,27,0.692
N.C. Central (MEAC),12,4-8,29,6,7,7,20,0.690
UT Martin (OVC),12,7-5,34,11,6,6,23,0.676
Howard (MEAC),12,2-10,45,13,14,3,30,0.667
Valparaiso (Pioneer),12,1-11,30,8,9,3,20,0.667
Western Caro. (SoCon),12,3-9,30,10,6,4,20,0.667
Eastern Ill. (OVC),12,1-11,35,9,9,5,23,0.657
Bucknell (Patriot),11,3-8,37,6,7,9,22,0.595
Murray St. (OVC),12,4-8,39,6,12,5,23,0.590
North Ala. (FCS Independent),11,4-7,38,11,11,10,32,0.842
Merrimack (NEC),11,6-5,46,14,10,9,33,0.717
