Team,Games,Win-Loss,Touchdowns Allowed,Opponent Extra Points,2 Point Conversions Allowed,Opp Deflected Extra Points,Opp Feild Goals Made,Opp Safety,Points Allowed,Avg Points per Game Allowed
Yale (Ivy League),10,9-1,35,31,0,0,7,0,385,26.2
Lafayette (Patriot),12,4-8,39,33,2,0,16,0,219,26.6
Wagner (NEC),12,1-11,43,40,0,0,7,0,163,26.6
Central Ark. (Southland),13,9-4,45,41,0,0,11,1,357,26.6
Youngstown St. (MVFC),12,6-6,44,41,2,0,4,0,365,26.8
Colgate (Patriot),12,4-8,43,39,0,0,9,0,178,27.0
Elon (CAA),11,5-6,38,34,1,0,11,0,274,27.0
Bryant (NEC),12,4-8,40,37,0,0,16,0,197,27.1
Monmouth (Big South),14,11-3,52,42,3,0,7,0,493,27.2
Nicholls (Southland),14,9-5,49,45,0,0,14,0,389,27.2
N.C. Central (MEAC),12,4-8,43,40,0,0,10,0,210,27.3
Stony Brook (CAA),12,5-7,42,40,0,0,12,0,292,27.3
Alabama St. (SWAC),11,5-6,41,38,1,0,5,0,245,27.4
Florida A&M (MEAC),11,9-2,39,34,2,0,9,1,348,27.4
Jacksonville St. (OVC),12,6-6,40,35,0,0,18,1,328,27.6
Ark.-Pine Bluff (SWAC),11,6-5,38,30,1,0,14,1,349,27.6
Richmond (CAA),12,5-7,45,38,2,0,7,0,273,27.8
Prairie View (SWAC),11,6-5,38,29,2,0,15,0,387,27.8
The Citadel (SoCon),12,6-6,42,35,3,0,15,0,340,28.2
William & Mary (CAA),12,5-7,40,36,0,0,20,1,297,28.2
North Dakota (FCS Independent),12,7-5,43,39,2,0,13,1,317,28.5
Abilene Christian (Southland),12,5-7,42,39,2,0,16,0,334,28.6
Columbia (Ivy League),10,3-7,39,37,0,0,5,0,193,28.6
Delaware (CAA),12,5-7,45,41,0,0,11,0,264,28.7
LIU (NEC),10,0-10,38,35,1,0,8,0,97,28.9
Murray St. (OVC),12,4-8,45,44,0,0,11,0,268,28.9
Mississippi Val. (SWAC),11,2-9,39,34,1,1,15,1,176,29.0
Norfolk St. (MEAC),12,5-7,45,40,0,0,13,0,343,29.1
UC Davis (Big Sky),12,5-7,43,41,1,0,17,0,342,29.3
Southeastern La. (Southland),13,8-5,49,44,0,0,14,1,476,29.4
Maine (CAA),12,6-6,45,41,0,0,14,0,348,29.4
Penn (Ivy League),10,5-5,40,30,2,0,8,0,243,29.8
Chattanooga (SoCon),12,6-6,47,44,1,0,10,1,311,30.0
Portland St. (Big Sky),12,5-7,47,41,2,0,11,0,412,30.0
Eastern Ill. (OVC),12,1-11,46,40,2,0,14,1,171,30.3
Delaware St. (MEAC),12,2-10,49,37,0,0,12,1,227,30.8
Charleston So. (Big South),12,6-6,48,39,3,0,12,1,267,30.9
Campbell (Big South),11,6-5,43,39,1,0,12,3,323,31.0
Hampton (Big South),12,5-7,49,42,0,1,11,1,361,31.1
Lamar University (Southland),12,4-8,49,41,3,0,13,0,265,31.7
Morgan St. (MEAC),12,3-9,50,43,1,0,11,1,221,31.7
Valparaiso (Pioneer),12,1-11,51,46,1,0,10,0,183,32.0
Fordham (Patriot),12,4-8,51,44,2,1,10,1,298,32.3
South Dakota (MVFC),12,5-7,54,51,1,0,4,0,361,32.4
Bucknell (Patriot),11,3-8,49,48,0,0,5,0,177,32.5
Alabama A&M (SWAC),12,7-5,53,42,1,0,12,0,403,33.2
Presbyterian (Big South),12,2-10,54,48,1,0,8,0,201,33.2
Idaho (Big Sky),12,5-7,52,49,0,0,15,0,306,33.8
Cal Poly (Big Sky),11,3-8,51,44,2,0,7,0,277,34.1
Eastern Wash. (Big Sky),12,7-5,56,52,1,0,7,2,479,34.6
Morehead St. (Pioneer),12,5-7,58,53,1,0,4,0,343,34.6
Tennessee St. (OVC),12,3-9,56,49,0,0,10,0,312,34.6
Marist (Pioneer),11,4-7,52,47,2,0,6,0,235,34.6
Dayton (Pioneer),11,8-3,53,50,1,0,4,0,466,34.7
UIW (Southland),12,5-7,55,49,1,0,12,0,354,34.8
Idaho St. (Big Sky),12,3-9,54,48,2,0,14,0,266,34.8
SFA (Southland),12,3-9,56,50,0,0,11,0,285,34.9
Tennessee Tech (OVC),12,6-6,55,48,1,0,14,0,340,35.2
Mercer (SoCon),12,4-8,54,53,0,0,16,0,323,35.4
Jacksonville (Pioneer),12,3-9,55,51,2,0,14,0,294,35.6
Butler (Pioneer),12,3-9,56,51,1,0,13,0,236,35.7
Jackson St. (SWAC),12,4-8,58,48,1,0,9,2,311,35.8
Missouri St. (MVFC),11,1-10,52,45,2,0,12,0,168,36.1
Gardner-Webb (Big South),12,3-9,57,54,1,0,12,0,285,36.2
Rhode Island (CAA),12,2-10,57,52,3,0,12,0,306,36.3
Houston Christian (Southland),12,5-7,58,52,1,0,13,0,425,36.8
Western Ill. (MVFC),12,1-11,57,53,0,0,16,0,224,36.9
Southern Utah (Big Sky),12,3-9,59,51,1,0,14,1,287,37.6
Northwestern St. (Southland),12,3-9,57,52,1,0,18,1,301,37.7
Northern Colo. (Big Sky),12,2-10,59,58,0,0,13,1,237,37.8
Samford (SoCon),12,5-7,58,52,3,0,15,1,385,37.8
VMI (SoCon),12,5-7,59,55,1,0,14,0,366,37.8
Western Caro. (SoCon),12,3-9,61,55,1,0,14,0,215,38.8
Brown (Ivy League),10,2-8,52,47,2,0,13,0,300,40.2
Northern Ariz. (Big Sky),12,4-8,62,56,3,0,20,1,442,41.3
Howard (MEAC),12,2-10,75,66,2,1,5,1,197,44.9
Texas Southern (SWAC),11,0-11,69,63,0,0,7,1,237,45.5
Merrimack (NEC),11,6-5,30,28,1,0,7,0,337,21.0
North Ala. (FCS Independent),11,4-7,48,39,1,1,12,1,280,33.5
