Team,Games,Win-Loss,Opp 4th Conversion,Opp 4th Attempt,Opponent 4th Percent
Bethune-Cookman (MEAC),11,7-4,12,27,0.444
Central Conn. St. (NEC),13,11-2,12,27,0.444
Idaho St. (Big Sky),12,3-9,8,18,0.444
South Carolina St. (MEAC),11,8-3,8,18,0.444
Nicholls (Southland),14,9-5,14,31,0.452
The Citadel (SoCon),12,6-6,10,22,0.455
Bucknell (Patriot),11,3-8,6,13,0.462
Montana (Big Sky),14,10-4,12,26,0.462
Valparaiso (Pioneer),12,1-11,12,26,0.462
Southern U. (SWAC),13,8-5,13,28,0.464
Western Ill. (MVFC),12,1-11,7,15,0.467
Montana St. (Big Sky),15,11-4,15,32,0.469
Columbia (Ivy League),10,3-7,9,19,0.474
Sacred Heart (NEC),12,7-5,10,21,0.476
Eastern Ill. (OVC),12,1-11,11,23,0.478
San Diego (Pioneer),12,9-3,13,27,0.481
Lehigh (Patriot),11,4-7,14,29,0.483
Sacramento St. (Big Sky),13,9-4,17,35,0.486
Central Ark. (Southland),13,9-4,13,26,0.500
Dayton (Pioneer),11,8-3,13,26,0.500
Delaware (CAA),12,5-7,7,14,0.500
Gardner-Webb (Big South),12,3-9,12,24,0.500
Georgetown (Patriot),11,5-6,11,22,0.500
Kennesaw St. (Big South),14,11-3,13,26,0.500
Lafayette (Patriot),12,4-8,12,24,0.500
Murray St. (OVC),12,4-8,11,22,0.500
Northwestern St. (Southland),12,3-9,5,10,0.500
UAlbany (CAA),14,9-5,17,33,0.515
Princeton (Ivy League),10,8-2,15,29,0.517
Weber St. (Big Sky),15,11-4,15,29,0.517
Monmouth (Big South),14,11-3,14,27,0.519
UT Martin (OVC),12,7-5,13,25,0.520
Bryant (NEC),12,4-8,12,23,0.522
Towson (CAA),12,7-5,12,23,0.522
UC Davis (Big Sky),12,5-7,11,21,0.524
Florida A&M (MEAC),11,9-2,10,19,0.526
New Hampshire (CAA),11,6-5,9,17,0.529
Presbyterian (Big South),12,2-10,14,26,0.538
Houston Christian (Southland),12,5-7,13,24,0.542
Saint Francis (PA) (NEC),12,6-6,13,24,0.542
Stetson (Pioneer),11,7-4,13,24,0.542
Tennessee St. (OVC),12,3-9,13,24,0.542
Stony Brook (CAA),12,5-7,6,11,0.545
William & Mary (CAA),12,5-7,11,20,0.550
Alabama A&M (SWAC),12,7-5,15,27,0.556
Colgate (Patriot),12,4-8,10,18,0.556
North Dakota (FCS Independent),12,7-5,15,27,0.556
SFA (Southland),12,3-9,10,18,0.556
Penn (Ivy League),10,5-5,14,25,0.560
Cal Poly (Big Sky),11,3-8,9,16,0.562
Wagner (NEC),12,1-11,9,16,0.562
Morgan St. (MEAC),12,3-9,13,23,0.565
Davidson (Pioneer),12,8-4,17,30,0.567
Butler (Pioneer),12,3-9,11,19,0.579
Maine (CAA),12,6-6,11,19,0.579
Chattanooga (SoCon),12,6-6,21,36,0.583
Jacksonville (Pioneer),12,3-9,14,24,0.583
Missouri St. (MVFC),11,1-10,7,12,0.583
Tennessee Tech (OVC),12,6-6,14,24,0.583
Richmond (CAA),12,5-7,13,22,0.591
Elon (CAA),11,5-6,9,15,0.600
Norfolk St. (MEAC),12,5-7,15,25,0.600
Furman (SoCon),13,8-5,11,18,0.611
Lamar University (Southland),12,4-8,8,13,0.615
Robert Morris (NEC),12,7-5,16,26,0.615
ETSU (SoCon),12,3-9,10,16,0.625
Charleston So. (Big South),12,6-6,17,27,0.630
McNeese (Southland),12,7-5,12,19,0.632
Mississippi Val. (SWAC),11,2-9,12,19,0.632
Idaho (Big Sky),12,5-7,19,30,0.633
Brown (Ivy League),10,2-8,7,11,0.636
Marist (Pioneer),11,4-7,23,36,0.639
Northern Colo. (Big Sky),12,2-10,9,14,0.643
Rhode Island (CAA),12,2-10,11,17,0.647
Northern Ariz. (Big Sky),12,4-8,18,27,0.667
Prairie View (SWAC),11,6-5,12,18,0.667
Samford (SoCon),12,5-7,22,33,0.667
South Dakota St. (MVFC),13,8-5,12,18,0.667
Abilene Christian (Southland),12,5-7,15,22,0.682
VMI (SoCon),12,5-7,15,22,0.682
Mercer (SoCon),12,4-8,13,19,0.684
UIW (Southland),12,5-7,21,30,0.700
Texas Southern (SWAC),11,0-11,10,14,0.714
Western Caro. (SoCon),12,3-9,17,23,0.739
Merrimack (NEC),11,6-5,4,10,0.400
North Ala. (FCS Independent),11,4-7,11,22,0.500
