Team,Games,Win-Loss,Time of Possession,Average Time of Possession per Game
Abilene Christian (Southland),12,5-7,361:56,30:10
Towson (CAA),12,7-5,361:39,30:08
ETSU (SoCon),12,3-9,360:56,30:05
Butler (Pioneer),12,3-9,360:35,30:03
South Dakota St. (MVFC),13,8-5,389:34,29:58
South Carolina St. (MEAC),11,8-3,329:31,29:57
Alabama A&M (SWAC),12,7-5,359:11,29:56
Chattanooga (SoCon),12,6-6,358:56,29:55
Missouri St. (MVFC),11,1-10,328:51,29:54
Florida A&M (MEAC),11,9-2,328:22,29:51
Tennessee St. (OVC),12,3-9,357:33,29:48
Mississippi Val. (SWAC),11,2-9,327:14,29:45
Valparaiso (Pioneer),12,1-11,356:07,29:41
Elon (CAA),11,5-6,326:09,29:39
Northwestern St. (Southland),12,3-9,355:27,29:37
Northern Colo. (Big Sky),12,2-10,355:21,29:37
Delaware St. (MEAC),12,2-10,354:12,29:31
Princeton (Ivy League),10,8-2,295:09,29:31
Jacksonville St. (OVC),12,6-6,354:03,29:30
Montana (Big Sky),14,10-4,412:52,29:29
Alcorn (SWAC),13,9-4,383:21,29:29
Campbell (Big South),11,6-5,324:02,29:27
Lehigh (Patriot),11,4-7,323:49,29:26
Southern Utah (Big Sky),12,3-9,353:02,29:25
Lafayette (Patriot),12,4-8,352:50,29:24
UAlbany (CAA),14,9-5,411:28,29:23
Georgetown (Patriot),11,5-6,323:14,29:23
Dartmouth (Ivy League),10,9-1,292:33,29:15
Brown (Ivy League),10,2-8,292:18,29:14
Charleston So. (Big South),12,6-6,349:42,29:09
Stony Brook (CAA),12,5-7,349:24,29:07
Ark.-Pine Bluff (SWAC),11,6-5,320:14,29:07
Drake (Pioneer),11,6-5,320:03,29:06
Southeast Mo. St. (OVC),13,9-4,377:06,29:00
Delaware (CAA),12,5-7,348:05,29:00
N.C. Central (MEAC),12,4-8,348:04,29:00
South Dakota (MVFC),12,5-7,347:26,28:57
LIU (NEC),10,0-10,289:22,28:56
Texas Southern (SWAC),11,0-11,317:51,28:54
Central Ark. (Southland),13,9-4,375:02,28:51
UNI (MVFC),15,10-5,432:36,28:50
Bucknell (Patriot),11,3-8,315:43,28:42
UT Martin (OVC),12,7-5,344:15,28:41
Grambling (SWAC),11,6-5,315:06,28:39
Gardner-Webb (Big South),12,3-9,343:19,28:37
UIW (Southland),12,5-7,342:16,28:31
North Dakota (FCS Independent),12,7-5,342:07,28:31
Prairie View (SWAC),11,6-5,311:44,28:20
Holy Cross (Patriot),13,7-6,366:47,28:13
Robert Morris (NEC),12,7-5,338:24,28:12
Bryant (NEC),12,4-8,338:21,28:12
Stetson (Pioneer),11,7-4,309:58,28:11
Morgan St. (MEAC),12,3-9,337:53,28:09
Morehead St. (Pioneer),12,5-7,335:07,27:56
Penn (Ivy League),10,5-5,278:25,27:51
Sacred Heart (NEC),12,7-5,334:03,27:50
Idaho St. (Big Sky),12,3-9,330:30,27:33
Marist (Pioneer),11,4-7,301:43,27:26
Eastern Wash. (Big Sky),12,7-5,326:00,27:10
Murray St. (OVC),12,4-8,324:03,27:00
VMI (SoCon),12,5-7,322:05,26:50
Mercer (SoCon),12,4-8,321:01,26:45
William & Mary (CAA),12,5-7,317:01,26:25
Bethune-Cookman (MEAC),11,7-4,290:15,26:23
Houston Christian (Southland),12,5-7,315:33,26:18
Northern Ariz. (Big Sky),12,4-8,312:32,26:03
Samford (SoCon),12,5-7,311:28,25:57
Western Ill. (MVFC),12,1-11,309:59,25:50
UC Davis (Big Sky),12,5-7,308:39,25:43
Merrimack (NEC),11,6-5,333:57,30:22
North Ala. (FCS Independent),11,4-7,291:21,26:29
