Team,Games,Win-Loss,Def Plays,Yards Allowed,Yards/Play Allowed,Off TDs Allowed,Total TDs Allowed,Yards Per Game Allowed
Charleston So. (Big South),12,6-6,818,4934,6.03,47,48,411.2
Lamar University (Southland),12,4-8,853,4937,5.79,49,49,411.4
Southeastern La. (Southland),13,8-5,942,5386,5.72,44,49,414.3
Jacksonville (Pioneer),12,3-9,762,5012,6.58,54,55,417.7
Campbell (Big South),11,6-5,748,4603,6.15,42,43,418.5
Idaho (Big Sky),12,5-7,883,5029,5.70,52,52,419.1
Northwestern St. (Southland),12,3-9,850,5045,5.94,50,57,420.4
Mississippi Val. (SWAC),11,2-9,798,4634,5.81,36,39,421.3
Norfolk St. (MEAC),12,5-7,833,5073,6.09,45,45,422.8
Penn (Ivy League),10,5-5,730,4233,5.80,37,40,423.3
Bucknell (Patriot),11,3-8,796,4661,5.86,47,49,423.7
Delaware (CAA),12,5-7,787,5089,6.47,41,45,424.1
Tennessee Tech (OVC),12,6-6,846,5101,6.03,53,55,425.1
Southern Utah (Big Sky),12,3-9,870,5149,5.92,57,59,429.1
Western Caro. (SoCon),12,3-9,792,5216,6.59,57,61,434.7
Alabama A&M (SWAC),12,7-5,877,5238,5.97,50,53,436.5
Morgan St. (MEAC),12,3-9,859,5265,6.13,47,50,438.8
Butler (Pioneer),12,3-9,797,5290,6.64,55,56,440.8
Missouri St. (MVFC),11,1-10,717,4866,6.79,49,52,442.4
Morehead St. (Pioneer),12,5-7,836,5310,6.35,55,58,442.5
UC Davis (Big Sky),12,5-7,962,5332,5.54,42,43,444.3
Eastern Wash. (Big Sky),12,7-5,967,5345,5.53,53,56,445.4
Fordham (Patriot),12,4-8,816,5347,6.55,46,51,445.6
Rhode Island (CAA),12,2-10,791,5425,6.86,55,57,452.1
Idaho St. (Big Sky),12,3-9,880,5429,6.17,47,54,452.4
SFA (Southland),12,3-9,930,5436,5.85,53,56,453.0
Cal Poly (Big Sky),11,3-8,721,4994,6.93,50,51,454.0
Tennessee St. (OVC),12,3-9,841,5471,6.51,54,56,455.9
Samford (SoCon),12,5-7,974,5481,5.63,57,58,456.8
Howard (MEAC),12,2-10,744,5494,7.38,73,75,457.8
Gardner-Webb (Big South),12,3-9,864,5502,6.37,54,57,458.5
South Dakota (MVFC),12,5-7,859,5525,6.43,52,54,460.4
UIW (Southland),12,5-7,940,5553,5.91,52,55,462.8
Western Ill. (MVFC),12,1-11,903,5640,6.25,56,57,470.0
Mercer (SoCon),12,4-8,895,5670,6.34,50,54,472.5
Dayton (Pioneer),11,8-3,760,5257,6.92,52,53,477.9
Brown (Ivy League),10,2-8,717,4887,6.82,50,52,488.7
VMI (SoCon),12,5-7,904,5938,6.57,57,59,494.8
Houston Christian (Southland),12,5-7,991,5952,6.01,54,58,496.0
Northern Colo. (Big Sky),12,2-10,893,6091,6.82,56,59,507.6
Northern Ariz. (Big Sky),12,4-8,937,6329,6.75,61,62,527.4
Texas Southern (SWAC),11,0-11,828,6089,7.35,64,69,553.5
Merrimack (NEC),11,6-5,701,3465,4.94,28,30,315.0
North Ala. (FCS Independent),11,4-7,823,4682,5.69,46,48,425.6
