Team,Games,Win-Loss,Opp First Down Runs,Opp First Down Passes,Opp First Down Penalties,Opp First Downs
Charleston So. (Big South),12,6-6,113,105,19,237
Delaware St. (MEAC),12,2-10,88,113,36,237
Howard (MEAC),12,2-10,119,105,13,237
Prairie View (SWAC),11,6-5,108,102,27,237
Bryant (NEC),12,4-8,117,99,22,238
Jacksonville St. (OVC),12,6-6,90,116,32,238
Robert Morris (NEC),12,7-5,119,99,21,239
Stony Brook (CAA),12,5-7,93,123,24,240
Illinois St. (MVFC),15,10-5,90,136,16,242
North Dakota (FCS Independent),12,7-5,122,107,13,242
Campbell (Big South),11,6-5,124,87,32,243
McNeese (Southland),12,7-5,78,132,33,243
Jackson St. (SWAC),12,4-8,117,101,26,244
Portland St. (Big Sky),12,5-7,85,133,26,244
Sacred Heart (NEC),12,7-5,98,118,28,244
Bucknell (Patriot),11,3-8,97,130,18,245
Cal Poly (Big Sky),11,3-8,116,107,22,245
Furman (SoCon),13,8-5,122,112,11,245
North Dakota St. (MVFC),16,16-0,120,104,21,245
UNI (MVFC),15,10-5,96,141,8,245
Southeast Mo. St. (OVC),13,9-4,94,122,31,247
Lamar University (Southland),12,4-8,104,122,23,249
Abilene Christian (Southland),12,5-7,97,137,16,250
Alabama A&M (SWAC),12,7-5,139,99,14,252
Jacksonville (Pioneer),12,3-9,155,86,12,253
Chattanooga (SoCon),12,6-6,129,107,18,254
Rhode Island (CAA),12,2-10,137,101,17,255
Holy Cross (Patriot),13,7-6,102,129,25,256
Southern U. (SWAC),13,8-5,96,139,21,256
Western Caro. (SoCon),12,3-9,170,72,14,256
Tennessee Tech (OVC),12,6-6,108,134,15,257
Villanova (CAA),13,9-4,79,155,23,257
Morehead St. (Pioneer),12,5-7,141,90,27,258
Delaware (CAA),12,5-7,116,129,16,261
Alcorn (SWAC),13,9-4,103,125,34,262
Morgan St. (MEAC),12,3-9,149,98,15,262
Butler (Pioneer),12,3-9,134,122,7,263
Dayton (Pioneer),11,8-3,130,117,16,263
Murray St. (OVC),12,4-8,111,130,22,263
Idaho St. (Big Sky),12,3-9,111,137,17,265
Monmouth (Big South),14,11-3,101,147,17,265
Mercer (SoCon),12,4-8,152,103,11,266
Northwestern St. (Southland),12,3-9,114,129,24,267
Weber St. (Big Sky),15,11-4,102,147,18,267
Gardner-Webb (Big South),12,3-9,132,123,14,269
Montana St. (Big Sky),15,11-4,99,155,16,270
Idaho (Big Sky),12,5-7,111,133,27,271
Southeastern La. (Southland),13,8-5,86,159,26,271
Austin Peay (OVC),15,11-4,86,138,48,272
Central Ark. (Southland),13,9-4,102,146,24,272
UAlbany (CAA),14,9-5,119,128,25,272
William & Mary (CAA),12,5-7,108,144,21,273
Norfolk St. (MEAC),12,5-7,143,116,16,275
Tennessee St. (OVC),12,3-9,119,135,21,275
Southern Utah (Big Sky),12,3-9,127,123,26,276
Western Ill. (MVFC),12,1-11,130,130,16,276
UIW (Southland),12,5-7,106,147,24,277
UC Davis (Big Sky),12,5-7,130,135,13,278
Texas Southern (SWAC),11,0-11,123,141,17,281
Eastern Wash. (Big Sky),12,7-5,119,142,22,283
South Dakota (MVFC),12,5-7,100,155,29,284
SFA (Southland),12,3-9,122,145,23,290
VMI (SoCon),12,5-7,145,127,20,292
Samford (SoCon),12,5-7,152,116,25,293
Montana (Big Sky),14,10-4,93,176,35,304
Northern Ariz. (Big Sky),12,4-8,126,157,22,305
Northern Colo. (Big Sky),12,2-10,140,145,22,307
Nicholls (Southland),14,9-5,120,162,27,309
Houston Christian (Southland),12,5-7,122,163,33,318
Merrimack (NEC),11,6-5,70,87,16,173
North Ala. (FCS Independent),11,4-7,129,109,17,255
