Team,Games,Win-Loss,Opp Redzone Attempts,Opp Redzone Rush TD Allowed,Opp Redzone Pass Touchdowns Allowed,Opp Redzone Field Goals Made,Opp Redzone Scores,Redzone Points Allowed
Missouri St. (MVFC),11,1-10,41,18,10,6,34,0.829
Wagner (NEC),12,1-11,41,17,11,6,34,0.829
Brown (Ivy League),10,2-8,53,15,17,12,44,0.830
Texas Southern (SWAC),11,0-11,53,21,18,5,44,0.830
Presbyterian (Big South),12,2-10,48,19,15,6,40,0.833
William & Mary (CAA),12,5-7,55,15,16,15,46,0.836
Chattanooga (SoCon),12,6-6,43,22,7,7,36,0.837
The Citadel (SoCon),12,6-6,43,17,8,11,36,0.837
Stony Brook (CAA),12,5-7,38,13,9,10,32,0.842
Northwestern St. (Southland),12,3-9,52,21,11,12,44,0.846
Cal Poly (Big Sky),11,3-8,46,22,11,6,39,0.848
Weber St. (Big Sky),15,11-4,40,7,12,15,34,0.850
Murray St. (OVC),12,4-8,47,20,12,8,40,0.851
Dayton (Pioneer),11,8-3,54,28,14,4,46,0.852
Rhode Island (CAA),12,2-10,54,21,14,11,46,0.852
Western Caro. (SoCon),12,3-9,54,27,10,9,46,0.852
New Hampshire (CAA),11,6-5,34,15,5,9,29,0.853
Hampton (Big South),12,5-7,41,15,9,11,35,0.854
Robert Morris (NEC),12,7-5,48,21,9,11,41,0.854
Mercer (SoCon),12,4-8,62,29,9,15,53,0.855
Florida A&M (MEAC),11,9-2,35,13,9,8,30,0.857
Valparaiso (Pioneer),12,1-11,43,17,13,7,37,0.860
Kennesaw St. (Big South),14,11-3,29,12,6,7,25,0.862
ETSU (SoCon),12,3-9,44,23,9,6,38,0.864
Monmouth (Big South),14,11-3,44,14,18,6,38,0.864
Colgate (Patriot),12,4-8,38,20,8,5,33,0.868
McNeese (Southland),12,7-5,38,7,15,11,33,0.868
Samford (SoCon),12,5-7,61,30,14,9,53,0.869
Western Ill. (MVFC),12,1-11,47,20,11,10,41,0.872
Howard (MEAC),12,2-10,55,29,15,4,48,0.873
SFA (Southland),12,3-9,55,23,16,9,48,0.873
Tennessee Tech (OVC),12,6-6,48,21,10,11,42,0.875
Bucknell (Patriot),11,3-8,41,15,17,4,36,0.878
Stetson (Pioneer),11,7-4,33,10,11,8,29,0.879
Indiana St. (MVFC),12,5-7,34,15,6,9,30,0.882
Lafayette (Patriot),12,4-8,51,15,17,13,45,0.882
Tennessee St. (OVC),12,3-9,51,21,15,9,45,0.882
UIW (Southland),12,5-7,51,19,15,11,45,0.882
Southeastern La. (Southland),13,8-5,43,12,14,12,38,0.884
Penn (Ivy League),10,5-5,35,19,7,5,31,0.886
Idaho (Big Sky),12,5-7,46,24,8,9,41,0.891
N.C. A&T (MEAC),12,9-3,29,15,5,6,26,0.897
Southern Utah (Big Sky),12,3-9,58,30,11,11,52,0.897
Davidson (Pioneer),12,8-4,30,9,12,6,27,0.900
Charleston So. (Big South),12,6-6,41,20,11,6,37,0.902
Northern Ariz. (Big Sky),12,4-8,57,25,12,16,53,0.930
Butler (Pioneer),12,3-9,46,21,13,9,43,0.935
Ark.-Pine Bluff (SWAC),11,6-5,35,16,6,11,33,0.943
North Ala. (FCS Independent),11,4-7,52,20,16,9,45,0.865
Merrimack (NEC),11,6-5,24,8,9,5,22,0.917
