Team,Games,Win-Loss,Fumbles Recovered,Opponents Intercepted,Turnovers Gain,Fumbles Lost,Interceptions Thrown,Turnovers Lost,Turnover Margin,Avg Turnover Margin per Game
Idaho (Big Sky),12,5-7,8,8,16,10,12,22,-6,-0.50
Indiana St. (MVFC),12,5-7,11,9,20,16,10,26,-6,-0.50
Morehead St. (Pioneer),12,5-7,11,11,22,12,16,28,-6,-0.50
Western Caro. (SoCon),12,3-9,10,4,14,9,11,20,-6,-0.50
Maine (CAA),12,6-6,9,3,12,8,11,19,-7,-0.58
Columbia (Ivy League),10,3-7,8,6,14,9,11,20,-6,-0.60
Cornell (Ivy League),10,4-6,5,8,13,6,13,19,-6,-0.60
Southern U. (SWAC),13,8-5,4,15,19,13,14,27,-8,-0.62
Lehigh (Patriot),11,4-7,7,7,14,10,11,21,-7,-0.64
Marist (Pioneer),11,4-7,7,8,15,7,15,22,-7,-0.64
North Dakota (FCS Independent),12,7-5,3,12,15,10,13,23,-8,-0.67
Presbyterian (Big South),12,2-10,7,10,17,10,15,25,-8,-0.67
Wagner (NEC),12,1-11,9,5,14,9,13,22,-8,-0.67
Alabama St. (SWAC),11,5-6,7,8,15,7,16,23,-8,-0.73
Duquesne (NEC),11,6-5,6,11,17,10,15,25,-8,-0.73
Jacksonville St. (OVC),12,6-6,6,7,13,10,12,22,-9,-0.75
Valparaiso (Pioneer),12,1-11,9,8,17,7,20,27,-10,-0.83
Idaho St. (Big Sky),12,3-9,4,7,11,4,18,22,-11,-0.92
Morgan St. (MEAC),12,3-9,7,9,16,9,18,27,-11,-0.92
Richmond (CAA),12,5-7,6,5,11,10,12,22,-11,-0.92
Mercer (SoCon),12,4-8,7,5,12,7,17,24,-12,-1.00
SFA (Southland),12,3-9,5,10,15,12,15,27,-12,-1.00
Tennessee St. (OVC),12,3-9,2,8,10,11,11,22,-12,-1.00
Howard (MEAC),12,2-10,2,6,8,8,13,21,-13,-1.08
Samford (SoCon),12,5-7,7,4,11,10,14,24,-13,-1.08
Brown (Ivy League),10,2-8,5,5,10,7,14,21,-11,-1.10
LIU (NEC),10,0-10,4,3,7,9,11,20,-13,-1.30
Texas Southern (SWAC),11,0-11,8,5,13,15,13,28,-15,-1.36
Western Ill. (MVFC),12,1-11,9,5,14,17,14,31,-17,-1.42
Merrimack (NEC),11,6-5,6,16,22,7,10,17,5,0.45
North Ala. (FCS Independent),11,4-7,6,9,15,9,8,17,-2,-0.18
