Team,Games,Win-Loss,3rd Attempts,3rd Conversions,3rd Percent
Ark.-Pine Bluff (SWAC),11,6-5,142,46,0.324
Robert Morris (NEC),12,7-5,152,49,0.322
Southeast Mo. St. (OVC),13,9-4,177,57,0.322
UNI (MVFC),15,10-5,205,66,0.322
Butler (Pioneer),12,3-9,162,52,0.321
Howard (MEAC),12,2-10,184,59,0.321
Lafayette (Patriot),12,4-8,173,55,0.318
Lehigh (Patriot),11,4-7,170,54,0.318
Bucknell (Patriot),11,3-8,174,55,0.316
Cornell (Ivy League),10,4-6,146,46,0.315
Bryant (NEC),12,4-8,174,54,0.310
Western Ill. (MVFC),12,1-11,187,58,0.310
Valparaiso (Pioneer),12,1-11,188,57,0.303
Delaware St. (MEAC),12,2-10,165,50,0.303
N.C. Central (MEAC),12,4-8,180,54,0.300
Lamar University (Southland),12,4-8,197,59,0.299
Wagner (NEC),12,1-11,158,46,0.291
Mississippi Val. (SWAC),11,2-9,186,54,0.290
Eastern Ill. (OVC),12,1-11,202,54,0.267
Missouri St. (MVFC),11,1-10,161,43,0.267
Merrimack (NEC),11,6-5,162,62,0.383
North Ala. (FCS Independent),11,4-7,142,41,0.289
