Team,Games,Win-Loss,Penalties,Penalty Yards,Penalty Yards Per Game
Stony Brook (CAA),13,10-3,81,723,55.62
Charleston So. (Big South),11,6-5,71,612,55.64
Delaware (CAA),11,7-4,65,614,55.82
Norfolk St. (MEAC),11,4-7,68,615,55.91
Eastern Ky. (OVC),11,4-7,70,622,56.55
Holy Cross (Patriot),11,4-7,72,623,56.64
Dayton (Pioneer),11,5-6,61,626,56.91
Chattanooga (SoCon),11,3-8,78,630,57.27
Southern U. (SWAC),11,7-4,73,634,57.64
Columbia (Ivy League),10,8-2,60,577,57.7
Houston Christian (Southland),11,1-10,76,635,57.73
Weber St. (Big Sky),14,11-3,91,813,58.07
Davidson (Pioneer),11,2-9,63,641,58.27
Bryant (NEC),11,6-5,73,643,58.45
Georgetown (Patriot),11,1-10,75,643,58.45
UAlbany (CAA),11,4-7,75,644,58.55
Montana St. (Big Sky),11,5-6,67,648,58.91
Drake (Pioneer),11,7-4,75,650,59.09
Campbell (Pioneer),11,6-5,80,652,59.27
UC Davis (Big Sky),11,5-6,76,652,59.27
Jackson St. (SWAC),11,3-8,74,653,59.36
Portland St. (Big Sky),11,0-11,71,659,59.91
Savannah St. (MEAC),11,3-8,73,660,60.0
Nicholls (Southland),12,8-4,77,728,60.67
Eastern Wash. (Big Sky),11,7-4,68,668,60.73
Saint Francis (PA) (NEC),11,5-6,74,668,60.73
Eastern Ill. (OVC),11,6-5,82,669,60.82
Western Caro. (SoCon),12,7-5,79,731,60.92
Texas Southern (SWAC),11,2-9,78,672,61.09
Alabama A&M (SWAC),11,4-7,83,673,61.18
Harvard (Ivy League),10,5-5,71,613,61.3
Jacksonville St. (OVC),12,10-2,82,739,61.58
Southern Ill. (MVFC),11,4-7,73,692,62.91
Central Conn. St. (NEC),12,8-4,84,760,63.33
Central Ark. (Southland),12,10-2,83,766,63.83
Northern Colo. (Big Sky),10,3-7,69,639,63.9
Sacred Heart (NEC),11,4-7,83,704,64.0
N.C. A&T (MEAC),12,12-0,89,784,65.33
SFA (Southland),11,4-7,79,720,65.45
Western Ill. (MVFC),12,8-4,90,787,65.58
Northwestern St. (Southland),11,4-7,80,725,65.91
Kennesaw St. (Big South),14,12-2,96,924,66.0
Brown (Ivy League),10,2-8,76,661,66.1
James Madison (CAA),15,14-1,100,995,66.33
Jacksonville (Pioneer),11,7-4,69,732,66.55
Yale (Ivy League),10,9-1,72,666,66.6
South Dakota (MVFC),13,8-5,94,871,67.0
Lamar University (Southland),11,2-9,79,747,67.91
Marist (Pioneer),11,4-7,86,748,68.0
Dartmouth (Ivy League),10,8-2,73,681,68.1
Stetson (Pioneer),11,2-9,77,750,68.18
Southeast Mo. St. (OVC),11,3-8,80,782,71.09
Wagner (NEC),11,4-7,86,784,71.27
UT Martin (OVC),11,6-5,88,793,72.09
Southeastern La. (Southland),11,6-5,83,795,72.27
Hampton (MEAC),11,6-5,95,814,74.0
Delaware St. (MEAC),11,2-9,110,820,74.55
Austin Peay (OVC),12,8-4,101,895,74.58
Grambling (SWAC),13,11-2,121,971,74.69
Duquesne (NEC),11,7-4,87,826,75.09
Sam Houston (Southland),14,12-2,105,1062,75.86
UIW (Southland),11,1-10,81,836,76.0
Ark.-Pine Bluff (SWAC),11,2-9,84,837,76.09
Robert Morris (NEC),11,2-9,89,849,77.18
McNeese (Southland),11,9-2,94,856,77.82
Morgan St. (MEAC),11,1-10,92,867,78.82
Mississippi Val. (SWAC),11,2-9,88,879,79.91
Northern Ariz. (Big Sky),12,7-5,92,975,81.25
Morehead St. (Pioneer),11,4-7,98,895,81.36
Rhode Island (CAA),11,3-8,95,903,82.09
Howard (MEAC),11,7-4,100,907,82.45
Tennessee St. (OVC),11,6-5,105,939,85.36
Maine (CAA),10,4-6,87,864,86.4
Florida A&M (MEAC),11,3-8,115,997,90.64
Bethune-Cookman (MEAC),11,7-4,117,1027,93.36
Alabama St. (SWAC),11,5-6,114,1034,94.0
South Carolina St. (MEAC),10,3-7,89,954,95.4
Prairie View (SWAC),11,6-5,125,1094,99.45
N.C. Central (MEAC),11,7-4,117,1110,100.91
Alcorn (SWAC),12,7-5,135,1288,107.33
