Team,Games,Win-Loss,Def Plays,Yards Allowed,Yards/Play Allowed,Off TDs Allowed,Total TDs Allowed,Yards Per Game Allowed
Nicholls (Southland),12,8-4,867,4226,4.87,36,37,352.2
Southern U. (SWAC),11,7-4,711,3880,5.46,35,38,352.7
Duquesne (NEC),11,7-4,745,3894,5.23,34,36,354.0
Butler (Pioneer),11,6-5,685,3898,5.69,34,35,354.4
The Citadel (SoCon),11,5-6,643,3901,6.07,39,39,354.6
Eastern Ill. (OVC),11,6-5,781,3902,5.0,31,33,354.7
Cornell (Ivy League),10,3-7,652,3551,5.45,29,30,355.1
San Diego (Pioneer),13,10-3,832,4618,5.55,30,30,355.2
Towson (CAA),11,5-6,744,3923,5.27,32,33,356.6
Wagner (NEC),11,4-7,724,3923,5.42,38,40,356.6
Alcorn (SWAC),12,7-5,797,4283,5.37,28,33,356.9
New Hampshire (CAA),14,9-5,966,5040,5.22,35,38,360.0
Morgan St. (MEAC),11,1-10,688,3963,5.76,47,54,360.3
UNI (MVFC),13,8-5,880,4692,5.33,35,39,360.9
Florida A&M (MEAC),11,3-8,718,4015,5.59,38,42,365.0
Richmond (CAA),11,6-5,764,4038,5.29,32,33,367.1
Holy Cross (Patriot),11,4-7,762,4047,5.31,34,37,367.9
Rhode Island (CAA),11,3-8,773,4100,5.3,37,39,372.7
Southeastern La. (Southland),11,6-5,793,4120,5.2,31,35,374.5
Lafayette (Patriot),11,3-8,787,4132,5.25,31,39,375.6
Marist (Pioneer),11,4-7,825,4140,5.02,36,40,376.4
Furman (SoCon),13,8-5,899,4901,5.45,40,41,377.0
Bethune-Cookman (MEAC),11,7-4,726,4148,5.71,31,33,377.1
Georgetown (Patriot),11,1-10,857,4156,4.85,34,37,377.8
Southern Ill. (MVFC),11,4-7,808,4164,5.15,34,39,378.5
South Dakota St. (MVFC),14,11-3,936,5322,5.69,41,44,380.1
Elon (CAA),12,8-4,836,4573,5.47,34,37,381.1
Mercer (SoCon),11,5-6,766,4203,5.49,33,34,382.1
Northern Ariz. (Big Sky),12,7-5,846,4586,5.42,40,44,382.2
Samford (SoCon),12,8-4,870,4632,5.32,33,36,386.0
Western Caro. (SoCon),12,7-5,864,4644,5.38,40,42,387.0
Murray St. (OVC),11,3-8,797,4288,5.38,41,42,389.8
Monmouth (Big South),12,9-3,830,4701,5.66,46,46,391.8
Abilene Christian (Southland),11,2-9,773,4316,5.58,35,38,392.4
Jacksonville (Pioneer),11,7-4,750,4320,5.76,51,52,392.7
Stetson (Pioneer),11,2-9,761,4349,5.71,39,45,395.4
Gardner-Webb (Big South),11,1-10,666,4380,6.58,40,42,398.2
Dayton (Pioneer),11,5-6,778,4388,5.64,27,27,398.9
Central Conn. St. (NEC),12,8-4,840,4824,5.74,38,40,402.0
Texas Southern (SWAC),11,2-9,730,4441,6.08,39,41,403.7
Savannah St. (MEAC),11,3-8,725,4468,6.16,43,46,406.2
Montana St. (Big Sky),11,5-6,821,4476,5.45,31,32,406.9
Princeton (Ivy League),10,5-5,713,4072,5.71,32,34,407.2
Sacramento St. (Big Sky),11,7-4,844,4488,5.32,40,43,408.0
Penn (Ivy League),10,6-4,716,4085,5.71,34,35,408.5
Southern Utah (Big Sky),12,9-3,876,4972,5.68,39,43,414.3
Tennessee Tech (OVC),11,1-10,716,4559,6.37,41,42,414.5
South Dakota (MVFC),13,8-5,912,5391,5.91,41,43,414.7
Presbyterian (Big South),11,4-7,767,4605,6.0,43,45,418.6
Valparaiso (Pioneer),11,6-5,770,4610,5.99,39,40,419.1
Brown (Ivy League),10,2-8,733,4203,5.73,36,39,420.3
Montana (Big Sky),11,7-4,848,4643,5.48,36,41,422.1
Norfolk St. (MEAC),11,4-7,792,4656,5.88,42,43,423.3
VMI (SoCon),11,0-11,803,4666,5.81,51,54,424.2
Houston Christian (Southland),11,1-10,809,4676,5.78,34,37,425.1
Mississippi Val. (SWAC),11,2-9,710,4680,6.59,53,58,425.5
Ark.-Pine Bluff (SWAC),11,2-9,802,4698,5.86,48,51,427.1
Fordham (Patriot),11,4-7,760,4747,6.25,48,52,431.5
Cal Poly (Big Sky),11,1-10,706,4755,6.74,41,46,432.3
SFA (Southland),11,4-7,823,4782,5.81,39,41,434.7
Delaware St. (MEAC),11,2-9,731,4789,6.55,52,57,435.4
Northwestern St. (Southland),11,4-7,787,4844,6.16,41,46,440.4
Howard (MEAC),11,7-4,774,4866,6.29,38,39,442.4
North Dakota (Big Sky),11,3-8,811,4984,6.15,48,50,453.1
Sam Houston (Southland),14,12-2,1075,6346,5.9,55,57,453.3
Davidson (Pioneer),11,2-9,781,4993,6.39,49,53,453.9
Lamar University (Southland),11,2-9,829,5041,6.08,50,53,458.3
UC Davis (Big Sky),11,5-6,824,5053,6.13,45,47,459.4
Bryant (NEC),11,6-5,851,5056,5.94,45,51,459.6
Eastern Wash. (Big Sky),11,7-4,892,5114,5.73,49,50,464.9
Morehead St. (Pioneer),11,4-7,788,5130,6.51,57,61,466.4
Missouri St. (MVFC),11,3-8,754,5201,6.9,53,55,472.8
Northern Colo. (Big Sky),10,3-7,806,4747,5.89,41,44,474.7
Lehigh (Patriot),12,5-7,780,5732,7.35,66,67,477.7
Indiana St. (MVFC),11,0-11,810,5320,6.57,63,67,483.6
Idaho St. (Big Sky),11,4-7,817,5344,6.54,48,51,485.8
Portland St. (Big Sky),11,0-11,798,5426,6.8,54,63,493.3
UIW (Southland),11,1-10,796,5453,6.85,62,70,495.7
