Team,Games,Win-Loss,Rush Attempts,Rush Yds,Yards/Rush,Rushing TD,Rushing Yards per Game
Northwestern St. (Southland),11,4-7,425,1594,3.75,13,144.9
Butler (Pioneer),11,6-5,399,1579,3.96,23,143.5
Mercer (SoCon),11,5-6,440,1577,3.58,21,143.4
Holy Cross (Patriot),11,4-7,387,1577,4.07,14,143.4
Alabama St. (SWAC),11,5-6,412,1570,3.81,7,142.7
William & Mary (CAA),11,2-9,396,1568,3.96,11,142.5
Tennessee St. (OVC),11,6-5,416,1540,3.7,7,140.0
Grambling (SWAC),13,11-2,444,1814,4.09,20,139.5
N.C. Central (MEAC),11,7-4,395,1514,3.83,13,137.6
Villanova (CAA),11,5-6,417,1510,3.62,11,137.3
Florida A&M (MEAC),11,3-8,352,1508,4.28,13,137.1
UT Martin (OVC),11,6-5,421,1504,3.57,9,136.7
Cornell (Ivy League),10,3-7,400,1365,3.41,14,136.5
UC Davis (Big Sky),11,5-6,383,1501,3.92,18,136.5
Valparaiso (Pioneer),11,6-5,403,1499,3.72,20,136.3
Southeast Mo. St. (OVC),11,3-8,373,1490,3.99,12,135.5
Fordham (Patriot),11,4-7,420,1461,3.48,12,132.8
Princeton (Ivy League),10,5-5,330,1316,3.99,20,131.6
Ark.-Pine Bluff (SWAC),11,2-9,382,1446,3.79,15,131.5
Northern Ariz. (Big Sky),12,7-5,417,1558,3.74,18,129.8
South Carolina St. (MEAC),10,3-7,346,1289,3.73,12,128.9
Eastern Ill. (OVC),11,6-5,439,1408,3.21,12,128.0
Bethune-Cookman (MEAC),11,7-4,372,1385,3.72,14,125.9
Texas Southern (SWAC),11,2-9,380,1370,3.61,13,124.5
UNI (MVFC),13,8-5,495,1548,3.13,14,119.1
Columbia (Ivy League),10,8-2,404,1185,2.93,13,118.5
Drake (Pioneer),11,7-4,420,1301,3.1,15,118.3
Bryant (NEC),11,6-5,362,1293,3.57,14,117.5
Savannah St. (MEAC),11,3-8,435,1276,2.93,11,116.0
SFA (Southland),11,4-7,396,1270,3.21,12,115.5
Richmond (CAA),11,6-5,327,1229,3.76,16,111.7
Indiana St. (MVFC),11,0-11,370,1185,3.2,7,107.7
Marist (Pioneer),11,4-7,325,1179,3.63,14,107.2
Alabama A&M (SWAC),11,4-7,378,1175,3.11,11,106.8
Morehead St. (Pioneer),11,4-7,357,1172,3.28,14,106.5
Northern Colo. (Big Sky),10,3-7,307,1057,3.44,13,105.7
Eastern Ky. (OVC),11,4-7,347,1141,3.29,16,103.7
Jackson St. (SWAC),11,3-8,378,1129,2.99,9,102.6
Towson (CAA),11,5-6,337,1119,3.32,8,101.7
New Hampshire (CAA),14,9-5,520,1421,2.73,12,101.5
Saint Francis (PA) (NEC),11,5-6,370,1116,3.02,9,101.5
Rhode Island (CAA),11,3-8,350,1113,3.18,11,101.2
Tennessee Tech (OVC),11,1-10,362,1113,3.07,6,101.2
Houston Christian (Southland),11,1-10,407,1106,2.72,8,100.5
Bucknell (Patriot),11,5-6,385,1035,2.69,9,94.1
UIW (Southland),11,1-10,347,986,2.84,9,89.6
UAlbany (CAA),11,4-7,376,956,2.54,11,86.9
Abilene Christian (Southland),11,2-9,306,955,3.12,7,86.8
Brown (Ivy League),10,2-8,284,848,2.99,7,84.8
Norfolk St. (MEAC),11,4-7,310,908,2.93,7,82.5
VMI (SoCon),11,0-11,325,903,2.78,4,82.1
Samford (SoCon),12,8-4,336,954,2.84,8,79.5
Chattanooga (SoCon),11,3-8,330,859,2.6,8,78.1
ETSU (SoCon),11,4-7,378,781,2.07,8,71.0
Delaware St. (MEAC),11,2-9,327,743,2.27,3,67.5
Murray St. (OVC),11,3-8,319,720,2.26,6,65.5
Robert Morris (NEC),11,2-9,332,708,2.13,1,64.4
Georgetown (Patriot),11,1-10,258,658,2.55,7,59.8
Stetson (Pioneer),11,2-9,305,549,1.8,8,49.9
Lafayette (Patriot),11,3-8,257,430,1.67,4,39.1
Mississippi Val. (SWAC),11,2-9,273,-103,-0.38,3,-9.4
