Team,Games,Win-Loss,First Down Runs,First Down Passes,First Down Penalties,First Downs
Stony Brook (CAA),13,10-3,85,130,28,243
Montana (Big Sky),11,7-4,95,131,18,244
Missouri St. (MVFC),11,3-8,117,115,12,244
Sacramento St. (Big Sky),11,7-4,100,123,22,245
Weber St. (Big Sky),14,11-3,85,135,27,247
UIW (Southland),11,1-10,87,137,25,249
Southern Utah (Big Sky),12,9-3,99,134,18,251
Kennesaw St. (Big South),14,12-2,92,134,25,251
Northern Colo. (Big Sky),10,3-7,127,104,20,251
Portland St. (Big Sky),11,0-11,127,110,15,252
Grambling (SWAC),13,11-2,90,132,31,253
Central Conn. St. (NEC),12,8-4,99,133,21,253
Montana St. (Big Sky),11,5-6,111,127,17,255
Furman (SoCon),13,8-5,111,131,14,256
Bryant (NEC),11,6-5,90,147,20,257
Morehead St. (Pioneer),11,4-7,136,90,33,259
South Dakota (MVFC),13,8-5,94,146,21,261
North Dakota (Big Sky),11,3-8,111,130,20,261
Norfolk St. (MEAC),11,4-7,155,91,15,261
New Hampshire (CAA),14,9-5,100,145,19,264
Indiana St. (MVFC),11,0-11,106,141,17,264
Idaho St. (Big Sky),11,4-7,121,128,18,267
Eastern Wash. (Big Sky),11,7-4,114,133,21,268
South Dakota St. (MVFC),14,11-3,121,143,21,285
Sam Houston (Southland),14,12-2,137,132,36,305
