Team,Games,Win-Loss,Redzone Attempts,Redzone Rush TD,Redzone Pass TD,Redzone Field Goals Made,Redzone Scores,Redzone Points
Northwestern St. (Southland),11,4-7,32,9,9,6,24,0.75
Eastern Ill. (OVC),11,6-5,32,12,4,8,24,0.75
Cornell (Ivy League),10,3-7,32,12,4,8,24,0.75
McNeese (Southland),11,9-2,52,11,15,13,39,0.75
Northern Ariz. (Big Sky),12,7-5,55,14,17,10,41,0.745
Southern Ill. (MVFC),11,4-7,43,12,15,5,32,0.744
Sacred Heart (NEC),11,4-7,43,15,9,8,32,0.744
Delaware (CAA),11,7-4,39,12,9,8,29,0.744
Hampton (MEAC),11,6-5,35,13,8,5,26,0.743
South Carolina St. (MEAC),10,3-7,31,8,4,11,23,0.742
Rhode Island (CAA),11,3-8,31,9,7,7,23,0.742
Indiana St. (MVFC),11,0-11,19,6,3,5,14,0.737
SFA (Southland),11,4-7,41,11,7,12,30,0.732
Montana St. (Big Sky),11,5-6,37,15,7,5,27,0.73
Southeast Mo. St. (OVC),11,3-8,33,9,9,6,24,0.727
Bucknell (Patriot),11,5-6,33,7,4,13,24,0.727
Columbia (Ivy League),10,8-2,44,13,11,8,32,0.727
Dayton (Pioneer),11,5-6,51,14,8,15,37,0.725
Bryant (NEC),11,6-5,40,11,11,7,29,0.725
Samford (SoCon),12,8-4,47,7,18,9,34,0.723
Missouri St. (MVFC),11,3-8,36,14,3,9,26,0.722
Alabama A&M (SWAC),11,4-7,28,11,6,3,20,0.714
Prairie View (SWAC),11,6-5,42,11,12,7,30,0.714
N.C. Central (MEAC),11,7-4,28,10,4,6,20,0.714
Maine (CAA),10,4-6,35,7,9,9,25,0.714
Delaware St. (MEAC),11,2-9,24,3,7,7,17,0.708
Illinois St. (MVFC),11,6-5,41,15,6,8,29,0.707
Marist (Pioneer),11,4-7,41,13,9,7,29,0.707
William & Mary (CAA),11,2-9,27,9,5,5,19,0.704
Lamar University (Southland),11,2-9,36,15,8,2,25,0.694
New Hampshire (CAA),14,9-5,49,8,21,5,34,0.694
VMI (SoCon),11,0-11,13,2,3,4,9,0.692
Jackson St. (SWAC),11,3-8,29,7,4,8,20,0.69
UAlbany (CAA),11,4-7,32,8,5,9,22,0.688
Towson (CAA),11,5-6,35,8,7,9,24,0.686
Morehead St. (Pioneer),11,4-7,35,12,11,1,24,0.686
Lafayette (Patriot),11,3-8,25,4,9,4,17,0.68
Savannah St. (MEAC),11,3-8,31,9,5,7,21,0.677
UT Martin (OVC),11,6-5,40,8,9,10,27,0.675
Portland St. (Big Sky),11,0-11,33,13,7,2,22,0.667
Howard (MEAC),11,7-4,48,24,4,4,32,0.667
Norfolk St. (MEAC),11,4-7,26,4,7,6,17,0.654
Houston Christian (Southland),11,1-10,23,6,5,4,15,0.652
Gardner-Webb (Big South),11,1-10,22,4,2,8,14,0.636
Alabama St. (SWAC),11,5-6,26,6,5,5,16,0.615
The Citadel (SoCon),11,5-6,41,17,4,4,25,0.61
Presbyterian (Big South),11,4-7,30,10,4,4,18,0.6
Wagner (NEC),11,4-7,34,7,5,8,20,0.588
Mississippi Val. (SWAC),11,2-9,25,3,9,2,14,0.56
Morgan St. (MEAC),11,1-10,24,6,5,2,13,0.542
