Team,Games,Win-Loss,Solo Tackle For Loss,Assist Tackle For Loss,Tackle for Loss Yards,Total Tackle For Loss,Tackle For Loss Per Game
North Dakota (Big Sky),11,3-8,58,20,236,68,6.2
Colgate (Patriot),11,7-4,57,22,301,68,6.2
Tennessee Tech (OVC),11,1-10,44,47,233,68,6.1
Eastern Wash. (Big Sky),11,7-4,51,32,251,67,6.1
Southeastern La. (Southland),11,6-5,61,12,282,67,6.1
Murray St. (OVC),11,3-8,53,26,232,66,6.0
Cal Poly (Big Sky),11,1-10,54,24,246,66,6.0
UAlbany (CAA),11,4-7,50,32,291,66,6.0
Saint Francis (PA) (NEC),11,5-6,45,41,221,66,6.0
Villanova (CAA),11,5-6,50,30,242,65,5.9
Southern Ill. (MVFC),11,4-7,51,28,256,65,5.9
Sacred Heart (NEC),11,4-7,49,30,213,64,5.8
Lamar University (Southland),11,2-9,41,46,222,64,5.8
ETSU (SoCon),11,4-7,50,26,244,63,5.7
Delaware St. (MEAC),11,2-9,49,28,254,63,5.7
UC Davis (Big Sky),11,5-6,51,24,216,63,5.7
Texas Southern (SWAC),11,2-9,41,44,247,63,5.7
Stetson (Pioneer),11,2-9,50,25,193,63,5.7
Indiana St. (MVFC),11,0-11,46,32,232,62,5.6
Harvard (Ivy League),10,5-5,41,30,247,56,5.6
Central Conn. St. (NEC),12,8-4,56,20,228,66,5.5
Columbia (Ivy League),10,8-2,34,42,202,55,5.5
Cornell (Ivy League),10,3-7,44,22,237,55,5.5
UNI (MVFC),13,8-5,58,26,285,71,5.5
Missouri St. (MVFC),11,3-8,46,28,219,60,5.5
Butler (Pioneer),11,6-5,53,14,259,60,5.5
Abilene Christian (Southland),11,2-9,41,36,186,59,5.4
Florida A&M (MEAC),11,3-8,45,28,248,59,5.4
Houston Christian (Southland),11,1-10,50,18,200,59,5.4
Chattanooga (SoCon),11,3-8,37,42,194,58,5.3
Austin Peay (OVC),12,8-4,47,32,217,63,5.3
Elon (CAA),12,8-4,47,32,235,63,5.3
Northern Colo. (Big Sky),10,3-7,38,29,160,53,5.3
Howard (MEAC),11,7-4,49,16,170,57,5.2
Monmouth (Big South),12,9-3,50,24,229,62,5.2
Furman (SoCon),13,8-5,48,38,275,67,5.2
Kennesaw St. (Big South),14,12-2,64,16,296,72,5.1
Morehead St. (Pioneer),11,4-7,42,28,183,56,5.1
Idaho St. (Big Sky),11,4-7,39,34,215,56,5.1
Wofford (SoCon),13,10-3,44,44,218,66,5.1
Mississippi Val. (SWAC),11,2-9,37,37,181,56,5.0
Mercer (SoCon),11,5-6,42,26,210,55,5.0
Jacksonville (Pioneer),11,7-4,43,24,192,55,5.0
Bryant (NEC),11,6-5,40,30,236,55,5.0
Montana St. (Big Sky),11,5-6,44,22,205,55,5.0
Delaware (CAA),11,7-4,40,28,217,54,4.9
Lafayette (Patriot),11,3-8,37,34,171,54,4.9
Dartmouth (Ivy League),10,8-2,32,34,162,49,4.9
UIW (Southland),11,1-10,36,34,198,53,4.8
Western Caro. (SoCon),12,7-5,50,14,231,57,4.8
Princeton (Ivy League),10,5-5,35,24,177,47,4.7
Norfolk St. (MEAC),11,4-7,42,18,216,51,4.6
Fordham (Patriot),11,4-7,44,14,197,51,4.6
Penn (Ivy League),10,6-4,39,12,204,45,4.5
Georgetown (Patriot),11,1-10,39,20,192,49,4.5
Youngstown St. (MVFC),11,6-5,39,20,199,49,4.5
Gardner-Webb (Big South),11,1-10,40,16,192,48,4.4
South Dakota St. (MVFC),14,11-3,50,22,246,61,4.4
Lehigh (Patriot),12,5-7,42,14,140,49,4.1
Presbyterian (Big South),11,4-7,30,24,136,42,3.8
Portland St. (Big Sky),11,0-11,35,12,114,41,3.7
Dayton (Pioneer),11,5-6,22,28,100,36,3.3
Valparaiso (Pioneer),11,6-5,24,24,93,36,3.3
