Team,Games,Win-Loss,Off Plays,Off Yards,Off Yards/Play,Off TDs,Off Yards per Game
Lamar University (Southland),11,2-9,866,4116,4.75,31,374.2
Fordham (Patriot),11,4-7,804,4089,5.09,29,371.7
Grambling (SWAC),13,11-2,843,4823,5.72,45,371.0
Elon (CAA),12,8-4,838,4440,5.3,31,370.0
Jacksonville St. (OVC),12,10-2,766,4424,5.78,41,368.7
Northwestern St. (Southland),11,4-7,782,4006,5.12,30,364.2
Southern U. (SWAC),11,7-4,783,3993,5.1,36,363.0
Central Conn. St. (NEC),12,8-4,786,4344,5.53,40,362.0
Butler (Pioneer),11,6-5,772,3978,5.15,33,361.6
Missouri St. (MVFC),11,3-8,704,3971,5.64,31,361.0
New Hampshire (CAA),14,9-5,1025,5053,4.93,40,360.9
Morgan St. (MEAC),11,1-10,775,3967,5.12,26,360.6
Columbia (Ivy League),10,8-2,737,3593,4.88,30,359.3
Davidson (Pioneer),11,2-9,843,3918,4.65,25,356.2
UNI (MVFC),13,8-5,903,4611,5.11,42,354.7
Cal Poly (Big Sky),11,1-10,843,3873,4.59,26,352.1
Marist (Pioneer),11,4-7,756,3867,5.12,28,351.5
Stony Brook (CAA),13,10-3,881,4565,5.18,48,351.2
Cornell (Ivy League),10,3-7,733,3487,4.76,21,348.7
Wofford (SoCon),13,10-3,814,4519,5.55,43,347.6
Florida A&M (MEAC),11,3-8,676,3801,5.62,31,345.5
Dayton (Pioneer),11,5-6,728,3799,5.22,26,345.4
Colgate (Patriot),11,7-4,733,3754,5.12,38,341.3
Bethune-Cookman (MEAC),11,7-4,731,3753,5.13,28,341.2
Harvard (Ivy League),10,5-5,653,3392,5.19,23,339.2
Rhode Island (CAA),11,3-8,730,3686,5.05,27,335.1
Mercer (SoCon),11,5-6,735,3656,4.97,35,332.4
Abilene Christian (Southland),11,2-9,779,3646,4.68,24,331.5
SFA (Southland),11,4-7,826,3637,4.4,24,330.6
Tennessee St. (OVC),11,6-5,688,3587,5.21,25,326.1
Hampton (MEAC),11,6-5,709,3537,4.99,31,321.5
N.C. Central (MEAC),11,7-4,701,3533,5.04,27,321.2
Wagner (NEC),11,4-7,669,3522,5.26,27,320.2
Eastern Ky. (OVC),11,4-7,723,3518,4.87,28,319.8
Charleston So. (Big South),11,6-5,667,3517,5.27,30,319.7
Gardner-Webb (Big South),11,1-10,714,3495,4.89,20,317.7
Delaware (CAA),11,7-4,732,3487,4.76,26,317.0
Presbyterian (Big South),11,4-7,649,3458,5.33,23,314.4
South Carolina St. (MEAC),10,3-7,652,3081,4.73,20,308.1
Ark.-Pine Bluff (SWAC),11,2-9,692,3379,4.88,27,307.2
Towson (CAA),11,5-6,731,3320,4.54,20,301.8
Southeast Mo. St. (OVC),11,3-8,711,3308,4.65,27,300.7
Tennessee Tech (OVC),11,1-10,714,3296,4.62,20,299.6
UT Martin (OVC),11,6-5,678,3275,4.83,23,297.7
Eastern Ill. (OVC),11,6-5,768,3229,4.2,22,293.5
UIW (Southland),11,1-10,727,3225,4.44,26,293.2
Villanova (CAA),11,5-6,664,3192,4.81,24,290.2
Alabama A&M (SWAC),11,4-7,738,3174,4.3,22,288.5
Indiana St. (MVFC),11,0-11,662,3169,4.79,17,288.1
Saint Francis (PA) (NEC),11,5-6,675,3158,4.68,25,287.1
William & Mary (CAA),11,2-9,704,3135,4.45,19,285.0
Stetson (Pioneer),11,2-9,738,3109,4.21,17,282.6
Delaware St. (MEAC),11,2-9,678,3086,4.55,19,280.5
Brown (Ivy League),10,2-8,681,2788,4.09,17,278.8
UAlbany (CAA),11,4-7,696,3008,4.32,20,273.5
ETSU (SoCon),11,4-7,701,2997,4.28,22,272.5
Savannah St. (MEAC),11,3-8,684,2979,4.36,23,270.8
Mississippi Val. (SWAC),11,2-9,706,2976,4.22,21,270.5
Houston Christian (Southland),11,1-10,749,2975,3.97,16,270.5
Chattanooga (SoCon),11,3-8,702,2944,4.19,22,267.6
Murray St. (OVC),11,3-8,741,2905,3.92,24,264.1
Texas Southern (SWAC),11,2-9,651,2892,4.44,20,262.9
Bucknell (Patriot),11,5-6,731,2885,3.95,17,262.3
Norfolk St. (MEAC),11,4-7,653,2862,4.38,20,260.2
Georgetown (Patriot),11,1-10,630,2667,4.23,15,242.5
Alabama St. (SWAC),11,5-6,668,2633,3.94,14,239.4
Robert Morris (NEC),11,2-9,673,2573,3.82,11,233.9
Jackson St. (SWAC),11,3-8,664,2538,3.82,14,230.7
Lafayette (Patriot),11,3-8,663,2406,3.63,16,218.7
VMI (SoCon),11,0-11,654,2404,3.68,9,218.5
