Team,Games,Win-Loss,Opp Punt Returns,Opp Net Punt Return Yards,Opp Punt Return Touchdowns Allowed,Avg Yards Allowed per Punt Return
N.C. A&T (MEAC),12,12-0,16,114,0,7.13
Eastern Ill. (OVC),11,6-5,19,136,0,7.16
Saint Francis (PA) (NEC),11,5-6,14,102,1,7.29
Samford (SoCon),12,8-4,19,139,1,7.32
Kennesaw St. (Big South),14,12-2,20,147,0,7.35
Southeastern La. (Southland),11,6-5,16,121,0,7.56
Illinois St. (MVFC),11,6-5,23,174,1,7.57
Princeton (Ivy League),10,5-5,7,53,0,7.57
UNI (MVFC),13,8-5,25,191,0,7.64
Mississippi Val. (SWAC),11,2-9,23,176,1,7.65
Alabama St. (SWAC),11,5-6,16,127,0,7.94
Furman (SoCon),13,8-5,19,151,0,7.95
Davidson (Pioneer),11,2-9,26,210,1,8.08
Drake (Pioneer),11,7-4,31,253,0,8.16
Villanova (CAA),11,5-6,24,197,0,8.21
Tennessee Tech (OVC),11,1-10,9,75,0,8.33
Southern Utah (Big Sky),12,9-3,18,151,0,8.39
UAlbany (CAA),11,4-7,18,151,0,8.39
Lamar University (Southland),11,2-9,18,153,1,8.5
Yale (Ivy League),10,9-1,10,85,0,8.5
San Diego (Pioneer),13,10-3,14,119,0,8.5
Stetson (Pioneer),11,2-9,26,226,0,8.69
Prairie View (SWAC),11,6-5,14,122,0,8.71
Brown (Ivy League),10,2-8,20,175,1,8.75
Tennessee St. (OVC),11,6-5,18,159,1,8.83
Montana St. (Big Sky),11,5-6,16,142,0,8.88
Howard (MEAC),11,7-4,18,161,1,8.94
UIW (Southland),11,1-10,25,227,0,9.08
McNeese (Southland),11,9-2,23,210,1,9.13
Portland St. (Big Sky),11,0-11,18,166,2,9.22
Southeast Mo. St. (OVC),11,3-8,18,166,0,9.22
Stony Brook (CAA),13,10-3,18,167,0,9.28
Western Ill. (MVFC),12,8-4,25,232,1,9.28
South Dakota St. (MVFC),14,11-3,10,94,1,9.4
Jackson St. (SWAC),11,3-8,19,180,1,9.47
Central Ark. (Southland),12,10-2,12,114,1,9.5
Abilene Christian (Southland),11,2-9,19,181,2,9.53
Lafayette (Patriot),11,3-8,28,269,2,9.61
Wofford (SoCon),13,10-3,14,136,0,9.71
VMI (SoCon),11,0-11,35,342,0,9.77
Southern U. (SWAC),11,7-4,16,157,1,9.81
Georgetown (Patriot),11,1-10,39,386,1,9.9
Sacred Heart (NEC),11,4-7,16,160,1,10.0
Monmouth (Big South),12,9-3,23,231,0,10.04
Bucknell (Patriot),11,5-6,27,273,1,10.11
Savannah St. (MEAC),11,3-8,26,264,1,10.15
Texas Southern (SWAC),11,2-9,27,278,1,10.3
Presbyterian (Big South),11,4-7,23,237,1,10.3
ETSU (SoCon),11,4-7,25,263,2,10.52
Hampton (MEAC),11,6-5,30,322,0,10.73
Mercer (SoCon),11,5-6,20,218,0,10.9
Sam Houston (Southland),14,12-2,13,142,1,10.92
William & Mary (CAA),11,2-9,22,250,1,11.36
Holy Cross (Patriot),11,4-7,18,207,1,11.5
Robert Morris (NEC),11,2-9,22,254,1,11.55
Western Caro. (SoCon),12,7-5,23,266,0,11.57
Indiana St. (MVFC),11,0-11,26,307,1,11.81
Youngstown St. (MVFC),11,6-5,14,167,0,11.93
North Dakota St. (MVFC),15,14-1,16,195,0,12.19
Northwestern St. (Southland),11,4-7,14,177,2,12.64
Delaware St. (MEAC),11,2-9,32,413,1,12.91
Chattanooga (SoCon),11,3-8,12,156,1,13.0
Montana (Big Sky),11,7-4,10,132,1,13.2
Gardner-Webb (Big South),11,1-10,23,304,1,13.22
UC Davis (Big Sky),11,5-6,19,259,1,13.63
Northern Ariz. (Big Sky),12,7-5,16,237,2,14.81
Murray St. (OVC),11,3-8,28,448,1,16.0
Rhode Island (CAA),11,3-8,7,121,1,17.29
