Team,Games,Win-Loss,Opp Redzone Attempts,Opp Redzone Rush TD Allowed,Opp Redzone Pass Touchdowns Allowed,Opp Redzone Field Goals Made,Opp Redzone Scores,Redzone Points Allowed
Youngstown St. (MVFC),11,6-5,32,14,4,10,28,0.875
Jacksonville (Pioneer),11,7-4,49,22,14,7,43,0.878
UC Davis (Big Sky),11,5-6,41,16,13,7,36,0.878
Sacramento St. (Big Sky),11,7-4,41,19,12,5,36,0.878
Drake (Pioneer),11,7-4,41,17,12,7,36,0.878
Missouri St. (MVFC),11,3-8,44,20,8,11,39,0.886
Mississippi Val. (SWAC),11,2-9,42,21,11,6,38,0.905
Lamar University (Southland),11,2-9,46,27,9,6,42,0.913
Savannah St. (MEAC),11,3-8,36,14,11,8,33,0.917
Texas Southern (SWAC),11,2-9,40,18,8,11,37,0.925
Bucknell (Patriot),11,5-6,29,14,8,5,27,0.931
