Team,Games,Win-Loss,Time of Possession,Average Time of Possession per Game
Oklahoma (Big 12),13,11-2,399:01,30:41
Louisiana Tech (CUSA),13,9-4,397:51,30:36
Tennessee (SEC),13,9-4,397:00,30:32
Arkansas St. (Sun Belt),13,9-4,395:48,30:26
Memphis (AAC),13,9-4,394:33,30:21
Southern Miss. (CUSA),14,9-5,424:39,30:19
Colorado St. (Mountain West),13,7-6,393:40,30:16
Wyoming (Mountain West),12,2-10,362:45,30:13
Washington St. (Pac-12),13,9-4,392:58,30:13
FIU (CUSA),12,5-7,362:31,30:12
Western Ky. (CUSA),14,12-2,422:39,30:11
Louisiana (Sun Belt),12,4-8,361:27,30:07
Marshall (CUSA),13,10-3,391:13,30:05
Nevada (Mountain West),13,7-6,390:07,30:00
Washington (Pac-12),13,7-6,389:56,29:59
Boston College (ACC),12,3-9,359:03,29:55
Miami (FL) (ACC),13,8-5,388:57,29:55
Middle Tenn. (CUSA),13,7-6,388:44,29:54
Northwestern (Big Ten),13,10-3,387:25,29:48
Illinois (Big Ten),12,5-7,356:21,29:41
Notre Dame (FBS Independent),13,10-3,385:23,29:38
Toledo (MAC),12,10-2,354:31,29:32
Penn St. (Big Ten),13,7-6,383:29,29:29
Louisville (ACC),13,8-5,383:14,29:28
Oklahoma St. (Big 12),13,10-3,383:12,29:28
Florida St. (ACC),13,10-3,382:24,29:24
West Virginia (Big 12),13,8-5,381:58,29:22
Syracuse (ACC),12,4-8,351:34,29:17
Kentucky (SEC),12,5-7,351:21,29:16
Ohio St. (Big Ten),13,12-1,380:27,29:15
Southern California (Pac-12),14,8-6,409:14,29:13
Indiana (Big Ten),13,6-7,379:03,29:09
Georgia (SEC),13,10-3,378:50,29:08
California (Pac-12),13,8-5,377:54,29:04
Georgia St. (Sun Belt),13,6-7,377:25,29:01
Minnesota (Big Ten),13,6-7,377:00,29:00
Texas St. (Sun Belt),12,3-9,347:25,28:57
Fla. Atlantic (CUSA),12,3-9,347:08,28:55
Utah St. (Mountain West),13,6-7,374:31,28:48
BYU (FBS Independent),13,9-4,374:16,28:47
Miami (OH) (MAC),12,3-9,344:35,28:42
Duke (ACC),13,8-5,372:47,28:40
Ball St. (MAC),12,3-9,343:22,28:36
UTSA (CUSA),12,3-9,342:37,28:33
South Carolina (SEC),12,3-9,341:52,28:29
South Alabama (Sun Belt),12,5-7,340:36,28:23
Auburn (SEC),13,7-6,368:43,28:21
Kansas (Big 12),12,0-12,340:09,28:20
Tulane (AAC),12,3-9,339:56,28:19
South Fla. (AAC),13,8-5,366:58,28:13
Texas A&M (SEC),13,8-5,366:43,28:12
East Carolina (AAC),12,5-7,337:20,28:06
Kent St. (MAC),12,3-9,337:16,28:06
New Mexico St. (Sun Belt),12,3-9,336:48,28:04
Bowling Green (MAC),14,10-4,390:56,27:55
ULM (Sun Belt),13,2-11,362:50,27:54
Texas Tech (Big 12),13,7-6,362:41,27:53
Purdue (Big Ten),12,2-10,334:28,27:52
Baylor (Big 12),13,10-3,362:13,27:51
Old Dominion (CUSA),12,5-7,333:54,27:49
Tulsa (AAC),13,6-7,360:32,27:44
Maryland (Big Ten),12,3-9,331:16,27:36
UCF (AAC),12,0-12,331:09,27:35
Oregon (Pac-12),13,9-4,354:27,27:15
Fresno St. (Mountain West),12,3-9,326:28,27:12
Texas (Big 12),12,5-7,325:26,27:07
Eastern Mich. (MAC),12,1-11,324:49,27:04
Missouri (SEC),12,5-7,324:24,27:02
Massachusetts (MAC),12,3-9,323:49,26:59
North Texas (CUSA),12,1-11,319:15,26:36
Ole Miss (SEC),13,10-3,344:51,26:31
NIU (MAC),14,8-6,369:48,26:24
Arizona (Pac-12),13,7-6,342:31,26:20
Mississippi St. (SEC),13,9-4,341:40,26:16
Oregon St. (Pac-12),12,2-10,314:29,26:12
Troy (Sun Belt),12,4-8,314:28,26:12
UCLA (Pac-12),13,8-5,337:03,25:55
North Carolina (ACC),14,11-3,353:49,25:16
Hawaii (Mountain West),13,3-10,305:33,23:30
Charlotte (CUSA),12,2-10,340:11,28:20
