Team,Games,Win-Loss,Solo Tackle For Loss,Assist Tackle For Loss,Tackle for Loss Yards,Total Tackle For Loss,Tackle For Loss Per Game
Arkansas St. (Sun Belt),13,9-4,69,39,340,89,6.8
Southern Miss. (C-USA),14,9-5,76,38,372,95,6.8
Michigan St. (Big Ten),14,12-2,70,50,366,95,6.8
Michigan (Big Ten),13,10-3,71,34,376,88,6.8
Pittsburgh (ACC),13,8-5,67,42,413,88,6.8
Texas (Big 12),12,5-7,71,20,340,81,6.8
Toledo (MAC),12,10-2,60,42,273,81,6.8
Louisiana (Sun Belt),12,4-8,70,22,231,81,6.8
Air Force (Mountain West),14,8-6,72,44,344,94,6.7
Marshall (C-USA),13,10-3,53,68,324,87,6.7
Vanderbilt (SEC),12,4-8,67,26,301,80,6.7
Bowling Green (MAC),14,10-4,65,56,336,93,6.6
Utah St. (Mountain West),13,6-7,73,26,303,86,6.6
Akron (),13,8-5,63,44,382,85,6.5
Virginia Tech (ACC),13,7-6,66,38,336,85,6.5
Syracuse (ACC),12,4-8,67,22,318,78,6.5
TCU (Big 12),13,11-2,65,38,323,84,6.5
Duke (ACC),13,8-5,66,36,386,84,6.5
Notre Dame (FBS Independent),13,10-3,75,18,325,84,6.5
Tulsa (AAC),13,6-7,63,42,263,84,6.5
Hawaii (Mountain West),13,3-10,68,31,296,84,6.4
Ohio St. (Big Ten),13,12-1,61,44,330,83,6.4
Virginia (ACC),12,4-8,61,30,280,76,6.3
LSU (SEC),12,9-3,62,28,332,76,6.3
Indiana (Big Ten),13,6-7,69,26,289,82,6.3
Minnesota (Big Ten),13,6-7,63,36,272,81,6.2
Iowa St. (Big 12),12,3-9,61,26,292,74,6.2
Wake Forest (ACC),12,3-9,54,40,280,74,6.2
Purdue (Big Ten),12,2-10,59,28,256,73,6.1
Houston (AAC),14,13-1,73,24,388,85,6.1
Southern California (Pac-12),14,8-6,70,30,368,85,6.1
Eastern Mich. (MAC),12,1-11,59,26,239,72,6.0
Stanford (Pac-12),14,12-2,63,40,375,83,5.9
Western Ky. (C-USA),14,12-2,73,20,299,83,5.9
Georgia (SEC),13,10-3,57,38,248,76,5.8
Florida St. (ACC),13,10-3,61,30,297,76,5.8
Arizona (Pac-12),13,7-6,66,18,308,75,5.8
Tennessee (SEC),13,9-4,68,14,283,75,5.8
Georgia St. (Sun Belt),13,6-7,62,26,286,75,5.8
Rutgers (Big Ten),12,4-8,55,28,244,69,5.8
Wisconsin (Big Ten),13,10-3,53,42,333,74,5.7
FIU (C-USA),12,5-7,50,36,250,68,5.7
Western Mich. (MAC),13,8-5,56,34,241,73,5.6
Fla. Atlantic (C-USA),12,3-9,52,30,331,67,5.6
Massachusetts (MAC),12,3-9,43,48,220,67,5.6
Middle Tenn. (C-USA),13,7-6,63,18,279,72,5.5
Kansas St. (Big 12),13,6-7,63,18,317,72,5.5
Memphis (AAC),13,9-4,63,18,281,72,5.5
Nebraska (Big Ten),13,6-7,57,30,284,72,5.5
Fresno St. (Mountain West),12,3-9,53,26,268,66,5.5
UCF (AAC),12,0-12,47,38,214,66,5.5
Nevada (Mountain West),13,7-6,60,22,250,71,5.5
UCLA (Pac-12),13,8-5,56,30,324,71,5.5
North Texas (C-USA),12,1-11,54,22,220,65,5.4
UTEP (C-USA),12,5-7,47,36,240,65,5.4
South Carolina (SEC),12,3-9,51,26,228,64,5.3
Buffalo (MAC),12,5-7,51,26,266,64,5.3
Idaho (Sun Belt),12,4-8,60,8,230,64,5.3
Colorado (Pac-12),13,4-9,64,10,248,69,5.3
Texas Tech (Big 12),13,7-6,54,30,198,69,5.3
Arkansas (SEC),13,8-5,49,40,275,69,5.3
East Carolina (AAC),12,5-7,47,30,243,62,5.2
South Alabama (Sun Belt),12,5-7,52,20,204,62,5.2
California (Pac-12),13,8-5,52,30,265,67,5.2
UConn (AAC),13,6-7,56,22,209,67,5.2
Old Dominion (C-USA),12,5-7,40,42,243,61,5.1
Rice (C-USA),12,5-7,47,28,200,61,5.1
Miami (FL) (ACC),13,8-5,50,32,260,66,5.1
NIU (MAC),14,8-6,59,24,261,71,5.1
Ohio (MAC),13,8-5,50,28,245,64,4.9
Army West Point (FBS Independent),12,2-10,50,18,214,59,4.9
SMU (AAC),12,2-10,52,12,196,58,4.8
Kansas (Big 12),12,0-12,50,16,214,58,4.8
Central Mich. (MAC),13,7-6,51,20,183,61,4.7
New Mexico St. (Sun Belt),12,3-9,47,18,161,56,4.7
Texas St. (Sun Belt),12,3-9,46,18,206,55,4.6
North Carolina (ACC),14,11-3,54,20,248,64,4.6
Oregon St. (Pac-12),12,2-10,44,20,247,54,4.5
Cincinnati (AAC),13,7-6,47,22,172,58,4.5
Iowa (Big Ten),14,12-2,47,30,281,62,4.4
Kentucky (SEC),12,5-7,36,34,206,53,4.4
Navy (AAC),13,11-2,43,28,231,57,4.4
Ball St. (MAC),12,3-9,40,24,174,52,4.3
Wyoming (Mountain West),12,2-10,41,22,167,52,4.3
San Jose St. (Mountain West),13,6-7,41,30,188,56,4.3
UTSA (C-USA),12,3-9,36,30,172,51,4.3
UNLV (Mountain West),12,3-9,41,19,148,51,4.2
Auburn (SEC),13,7-6,40,28,205,54,4.2
Ga. Southern (Sun Belt),13,9-4,42,24,222,54,4.2
Georgia Tech (ACC),12,3-9,39,16,153,47,3.9
Charlotte (C-USA),12,2-10,71,28,292,85,7.1
