Team,Games,Win-Loss,Off Plays,Off Yards,Off Yards/Play,Off TDs,Off Yards per Game
Florida (SEC),14,10-4,915,4676,5.11,39,334.0
Kansas St. (Big 12),13,6-7,876,4338,4.95,43,333.7
Wake Forest (ACC),12,3-9,834,4001,4.80,25,333.4
Kansas (Big 12),12,0-12,897,3978,4.43,22,331.5
Northwestern (Big Ten),13,10-3,952,4252,4.47,24,327.1
Vanderbilt (SEC),12,4-8,871,3918,4.50,20,326.5
North Texas (C-USA),12,1-11,843,3841,4.56,19,320.1
Syracuse (ACC),12,4-8,751,3839,5.11,34,319.9
Tulane (AAC),12,3-9,800,3804,4.76,29,317.0
Hawaii (Mountain West),13,3-10,847,4112,4.85,27,316.3
Fresno St. (Mountain West),12,3-9,826,3782,4.58,34,315.2
ULM (Sun Belt),13,2-11,902,4041,4.48,32,310.8
UConn (AAC),13,6-7,819,4034,4.93,24,310.3
Missouri (SEC),12,5-7,770,3371,4.38,15,280.9
Boston College (ACC),12,3-9,751,3307,4.40,25,275.6
Kent St. (MAC),12,3-9,790,3250,4.11,15,270.8
UCF (AAC),12,0-12,781,3221,4.12,17,268.4
Charlotte (C-USA),12,2-10,937,4046,4.32,21,337.2
