Team,Games,Win-Loss,Opp Redzone Attempts,Opp Redzone Rush TD Allowed,Opp Redzone Pass Touchdowns Allowed,Opp Redzone Field Goals Made,Opp Redzone Scores,Redzone Points Allowed
Iowa (Big Ten),14,12-2,36,9,9,11,29,0.806
Ohio St. (Big Ten),13,12-1,31,9,10,6,25,0.806
Virginia (ACC),12,4-8,47,11,13,14,38,0.809
Western Mich. (MAC),13,8-5,43,15,11,9,35,0.814
Washington St. (Pac-12),13,9-4,54,21,10,13,44,0.815
Missouri (SEC),12,5-7,38,10,8,13,31,0.816
Air Force (Mountain West),14,8-6,38,12,8,11,31,0.816
Nebraska (Big Ten),13,6-7,49,13,15,12,40,0.816
Southern Miss. (C-USA),14,9-5,55,13,14,18,45,0.818
Troy (Sun Belt),12,4-8,45,17,11,9,37,0.822
Louisville (ACC),13,8-5,34,10,9,9,28,0.824
South Carolina (SEC),12,3-9,46,21,9,8,38,0.826
Utah (Pac-12),13,10-3,46,11,15,12,38,0.826
NIU (MAC),14,8-6,52,12,11,20,43,0.827
Miami (OH) (MAC),12,3-9,52,20,15,8,43,0.827
Florida St. (ACC),13,10-3,35,8,9,12,29,0.829
Texas A&M (SEC),13,8-5,47,13,8,18,39,0.830
Bowling Green (MAC),14,10-4,54,22,9,14,45,0.833
Indiana (Big Ten),13,6-7,48,16,14,10,40,0.833
Clemson (ACC),15,14-1,42,15,9,11,35,0.833
Georgia Tech (ACC),12,3-9,42,17,7,11,35,0.833
Alabama (SEC),15,14-1,30,6,8,11,25,0.833
UCLA (Pac-12),13,8-5,49,12,14,15,41,0.837
Georgia St. (Sun Belt),13,6-7,43,13,10,13,36,0.837
Ole Miss (SEC),13,10-3,50,9,16,17,42,0.840
East Carolina (AAC),12,5-7,44,19,9,9,37,0.841
Memphis (AAC),13,9-4,44,21,7,9,37,0.841
Tulane (AAC),12,3-9,51,26,10,7,43,0.843
Oklahoma St. (Big 12),13,10-3,45,19,11,8,38,0.844
Fresno St. (Mountain West),12,3-9,45,23,11,4,38,0.844
Ball St. (MAC),12,3-9,58,24,17,8,49,0.845
Kansas St. (Big 12),13,6-7,52,20,14,10,44,0.846
Duke (ACC),13,8-5,40,15,11,8,34,0.850
Michigan St. (Big Ten),14,12-2,41,15,11,9,35,0.854
UTEP (C-USA),12,5-7,41,13,10,12,35,0.854
Cincinnati (AAC),13,7-6,56,17,17,14,48,0.857
San Jose St. (Mountain West),13,6-7,42,20,8,8,36,0.857
Arkansas St. (Sun Belt),13,9-4,42,16,13,7,36,0.857
Oregon St. (Pac-12),12,2-10,64,26,18,11,55,0.859
Texas Tech (Big 12),13,7-6,64,38,12,5,55,0.859
Iowa St. (Big 12),12,3-9,43,16,13,8,37,0.860
LSU (SEC),12,9-3,36,11,14,6,31,0.861
Tulsa (AAC),13,6-7,66,29,13,15,57,0.864
South Fla. (AAC),13,8-5,37,13,5,14,32,0.865
NC State (ACC),13,7-6,30,7,10,9,26,0.867
Texas St. (Sun Belt),12,3-9,53,22,15,9,46,0.868
Arkansas (SEC),13,8-5,53,22,11,13,46,0.868
Colorado (Pac-12),13,4-9,46,13,13,14,40,0.870
Hawaii (Mountain West),13,3-10,62,31,10,13,54,0.871
Illinois (Big Ten),12,5-7,39,12,11,11,34,0.872
Stanford (Pac-12),14,12-2,47,13,8,20,41,0.872
North Texas (C-USA),12,1-11,63,33,13,9,55,0.873
Louisiana Tech (C-USA),13,9-4,48,11,17,14,42,0.875
Virginia Tech (ACC),13,7-6,40,14,10,11,35,0.875
Ohio (MAC),13,8-5,41,13,11,12,36,0.878
Rice (C-USA),12,5-7,42,17,13,7,37,0.881
Colorado St. (Mountain West),13,7-6,42,17,4,16,37,0.881
West Virginia (Big 12),13,8-5,43,7,14,17,38,0.884
Utah St. (Mountain West),13,6-7,43,22,8,8,38,0.884
Southern California (Pac-12),14,8-6,53,16,16,15,47,0.887
Minnesota (Big Ten),13,6-7,45,20,10,10,40,0.889
Massachusetts (MAC),12,3-9,55,16,15,18,49,0.891
Wyoming (Mountain West),12,2-10,47,20,15,7,42,0.894
Arizona St. (Pac-12),13,6-7,48,10,19,14,43,0.896
Buffalo (MAC),12,5-7,39,18,11,6,35,0.897
Miami (FL) (ACC),13,8-5,50,19,10,16,45,0.900
Syracuse (ACC),12,4-8,51,20,12,14,46,0.902
Idaho (Sun Belt),12,4-8,63,30,17,10,57,0.905
Baylor (Big 12),13,10-3,42,14,16,8,38,0.905
UCF (AAC),12,0-12,53,18,20,10,48,0.906
Maryland (Big Ten),12,3-9,54,21,18,10,49,0.907
Oregon (Pac-12),13,9-4,66,19,27,14,60,0.909
Ga. Southern (Sun Belt),13,9-4,34,9,13,9,31,0.912
UNLV (Mountain West),12,3-9,46,24,11,7,42,0.913
Penn St. (Big Ten),13,7-6,35,16,10,6,32,0.914
Houston (AAC),14,13-1,35,15,10,7,32,0.914
Texas (Big 12),12,5-7,51,17,18,12,47,0.922
California (Pac-12),13,8-5,52,19,13,16,48,0.923
SMU (AAC),12,2-10,55,31,12,8,51,0.927
Army West Point (FBS Independent),12,2-10,43,21,6,13,40,0.930
Arizona (Pac-12),13,7-6,58,26,16,12,54,0.931
South Alabama (Sun Belt),12,5-7,51,29,11,9,49,0.961
Pittsburgh (ACC),13,8-5,38,13,8,16,37,0.974
Charlotte (C-USA),12,2-10,56,18,13,12,43,0.768
