Team,Games,Win-Loss,4th Attempts,4th Conversions,4th Percent
Georgia (SEC),13,10-3,5,12,0.417
Wake Forest (ACC),12,3-9,7,17,0.412
Missouri (SEC),12,5-7,7,17,0.412
Army West Point (FBS Independent),12,2-10,9,22,0.409
New Mexico St. (Sun Belt),12,3-9,12,30,0.400
Texas (Big 12),12,5-7,6,15,0.400
Vanderbilt (SEC),12,4-8,7,18,0.389
Boston College (ACC),12,3-9,5,13,0.385
Massachusetts (MAC),12,3-9,12,32,0.375
Michigan (Big Ten),13,10-3,6,16,0.375
Arizona (Pac-12),13,7-6,10,27,0.370
Troy (Sun Belt),12,4-8,7,19,0.368
Minnesota (Big Ten),13,6-7,6,17,0.353
SMU (AAC),12,2-10,7,20,0.350
Kent St. (MAC),12,3-9,9,26,0.346
Maryland (Big Ten),12,3-9,7,21,0.333
UCF (AAC),12,0-12,6,18,0.333
Old Dominion (CUSA),12,5-7,8,25,0.320
Hawaii (Mountain West),13,3-10,7,22,0.318
Tulane (AAC),12,3-9,5,16,0.313
Fresno St. (Mountain West),12,3-9,9,29,0.310
Texas A&M (SEC),13,8-5,6,20,0.300
UConn (AAC),13,6-7,6,20,0.300
Kansas (Big 12),12,0-12,7,26,0.269
UNLV (Mountain West),12,3-9,5,19,0.263
UTSA (CUSA),12,3-9,3,14,0.214
Oregon St. (Pac-12),12,2-10,3,17,0.176
Georgia St. (Sun Belt),13,6-7,1,9,0.111
Charlotte (CUSA),12,2-10,12,23,0.522
