Team,Games,Win-Loss,Opp 3rd Conversion,Opp 3rd Attempt,Opponent 3rd Percent
Idaho (Sun Belt),12,4-8,59,146,0.404
Oklahoma (Big 12),13,11-2,93,230,0.404
Georgia St. (Sun Belt),13,6-7,85,210,0.405
UConn (AAC),13,6-7,77,190,0.405
East Carolina (AAC),12,5-7,78,192,0.406
Bowling Green (MAC),14,10-4,91,223,0.408
NIU (MAC),14,8-6,99,242,0.409
Western Mich. (MAC),13,8-5,71,173,0.410
Nevada (Mountain West),13,7-6,76,184,0.413
FIU (C-USA),12,5-7,66,159,0.415
UTSA (C-USA),12,3-9,71,171,0.415
Minnesota (Big Ten),13,6-7,87,209,0.416
Army West Point (FBS Independent),12,2-10,68,163,0.417
New Mexico (Mountain West),13,7-6,82,195,0.421
Indiana (Big Ten),13,6-7,88,209,0.421
Oklahoma St. (Big 12),13,10-3,89,211,0.422
Oregon (Pac-12),13,9-4,84,199,0.422
Colorado (Pac-12),13,4-9,87,206,0.422
Louisiana (Sun Belt),12,4-8,77,182,0.423
New Mexico St. (Sun Belt),12,3-9,74,173,0.428
California (Pac-12),13,8-5,83,193,0.430
Purdue (Big Ten),12,2-10,73,169,0.432
Hawaii (Mountain West),13,3-10,91,209,0.435
Kansas St. (Big 12),13,6-7,82,188,0.436
South Alabama (Sun Belt),12,5-7,72,164,0.439
Arkansas (SEC),13,8-5,75,170,0.441
North Carolina (ACC),14,11-3,99,224,0.442
Texas (Big 12),12,5-7,84,190,0.442
Rice (C-USA),12,5-7,66,149,0.443
Washington St. (Pac-12),13,9-4,85,191,0.445
Rutgers (Big Ten),12,4-8,69,155,0.445
Tulsa (AAC),13,6-7,93,208,0.447
Auburn (SEC),13,7-6,89,198,0.449
Kansas (Big 12),12,0-12,73,161,0.453
Oregon St. (Pac-12),12,2-10,76,167,0.455
Wyoming (Mountain West),12,2-10,68,149,0.456
Arizona (Pac-12),13,7-6,96,209,0.459
Tulane (AAC),12,3-9,83,179,0.464
SMU (AAC),12,2-10,77,166,0.464
Fresno St. (Mountain West),12,3-9,84,181,0.464
Navy (AAC),13,11-2,80,171,0.468
Old Dominion (C-USA),12,5-7,89,190,0.468
Iowa St. (Big 12),12,3-9,82,175,0.469
Massachusetts (MAC),12,3-9,93,198,0.470
South Carolina (SEC),12,3-9,78,166,0.470
UCF (AAC),12,0-12,84,177,0.475
Texas St. (Sun Belt),12,3-9,85,173,0.491
Texas Tech (Big 12),13,7-6,96,193,0.497
Ball St. (MAC),12,3-9,95,185,0.514
Eastern Mich. (MAC),12,1-11,86,167,0.515
North Texas (C-USA),12,1-11,88,168,0.524
Charlotte (C-USA),12,2-10,75,194,0.387
