Team,Games,Win-Loss,3rd Attempts,3rd Conversions,3rd Percent
South Alabama (Sun Belt),12,5-7,184,64,0.348
Massachusetts (MAC),12,3-9,184,64,0.348
Tulane (AAC),12,3-9,182,63,0.346
Syracuse (ACC),12,4-8,164,55,0.335
Wyoming (Mountain West),12,2-10,156,52,0.333
Fla. Atlantic (C-USA),12,3-9,184,61,0.332
North Texas (C-USA),12,1-11,181,59,0.326
UConn (AAC),13,6-7,179,57,0.318
Oregon St. (Pac-12),12,2-10,164,52,0.317
Miami (OH) (MAC),12,3-9,186,58,0.312
Georgia (SEC),13,10-3,158,49,0.310
Hawaii (Mountain West),13,3-10,179,55,0.307
Missouri (SEC),12,5-7,178,54,0.303
ULM (Sun Belt),13,2-11,212,63,0.297
Maryland (Big Ten),12,3-9,170,50,0.294
UCF (AAC),12,0-12,171,50,0.292
Penn St. (Big Ten),13,7-6,185,51,0.276
Boston College (ACC),12,3-9,172,46,0.267
Kent St. (MAC),12,3-9,185,47,0.254
Charlotte (C-USA),12,2-10,208,71,0.341
