Team,Games,Win-Loss,Fumbles Recovered,Opponents Intercepted,Turnovers Gain,Fumbles Lost,Interceptions Thrown,Turnovers Lost,Turnover Margin,Avg Turnover Margin per Game
Baylor (Big 12),13,10-3,12,14,26,13,13,26,0,0.00
Pittsburgh (ACC),13,8-5,6,10,16,7,9,16,0,0.00
Southern Miss. (C-USA),14,9-5,11,13,24,13,12,25,-1,-0.07
Washington St. (Pac-12),13,9-4,11,13,24,13,12,25,-1,-0.08
Duke (ACC),13,8-5,9,11,20,11,10,21,-1,-0.08
Louisville (ACC),13,8-5,9,17,26,12,15,27,-1,-0.08
Georgia St. (Sun Belt),13,6-7,7,15,22,11,12,23,-1,-0.08
Missouri (SEC),12,5-7,7,9,16,5,12,17,-1,-0.08
Old Dominion (C-USA),12,5-7,10,8,18,10,9,19,-1,-0.08
Massachusetts (MAC),12,3-9,5,13,18,6,13,19,-1,-0.08
UTSA (C-USA),12,3-9,8,14,22,12,11,23,-1,-0.08
Clemson (ACC),15,14-1,9,16,25,12,15,27,-2,-0.13
Utah St. (Mountain West),13,6-7,12,10,22,14,10,24,-2,-0.15
Fla. Atlantic (C-USA),12,3-9,9,14,23,13,12,25,-2,-0.17
Rutgers (Big Ten),12,4-8,3,13,16,6,12,18,-2,-0.17
Kentucky (SEC),12,5-7,9,11,20,6,16,22,-2,-0.17
Kansas St. (Big 12),13,6-7,11,5,16,6,13,19,-3,-0.23
East Carolina (AAC),12,5-7,8,8,16,7,12,19,-3,-0.25
Fresno St. (Mountain West),12,3-9,11,9,20,7,16,23,-3,-0.25
Kent St. (MAC),12,3-9,6,12,18,11,10,21,-3,-0.25
Minnesota (Big Ten),13,6-7,8,10,18,11,11,22,-4,-0.31
Middle Tenn. (C-USA),13,7-6,8,17,25,19,10,29,-4,-0.31
Arizona (Pac-12),13,7-6,5,11,16,10,10,20,-4,-0.31
Michigan (Big Ten),13,10-3,2,10,12,6,10,16,-4,-0.31
Mississippi St. (SEC),13,9-4,1,13,14,13,5,18,-4,-0.31
Oregon St. (Pac-12),12,2-10,4,8,12,5,11,16,-4,-0.33
Air Force (Mountain West),14,8-6,7,11,18,11,12,23,-5,-0.36
San Jose St. (Mountain West),13,6-7,3,9,12,5,12,17,-5,-0.38
Purdue (Big Ten),12,2-10,9,12,21,10,16,26,-5,-0.42
South Alabama (Sun Belt),12,5-7,10,10,20,9,16,25,-5,-0.42
Texas A&M (SEC),13,8-5,7,11,18,9,15,24,-6,-0.46
Notre Dame (FBS Independent),13,10-3,5,9,14,10,10,20,-6,-0.46
Idaho (Sun Belt),12,4-8,11,6,17,8,15,23,-6,-0.50
North Texas (C-USA),12,1-11,14,4,18,14,11,25,-7,-0.58
Kansas (Big 12),12,0-12,9,9,18,11,14,25,-7,-0.58
Texas St. (Sun Belt),12,3-9,11,3,14,9,12,21,-7,-0.58
Georgia Tech (ACC),12,3-9,8,9,17,14,10,24,-7,-0.58
Vanderbilt (SEC),12,4-8,11,6,17,9,16,25,-8,-0.67
Virginia (ACC),12,4-8,11,4,15,6,18,24,-9,-0.75
Louisiana (Sun Belt),12,4-8,6,5,11,8,12,20,-9,-0.75
SMU (AAC),12,2-10,5,10,15,17,8,25,-10,-0.83
Iowa St. (Big 12),12,3-9,8,5,13,12,12,24,-11,-0.92
UTEP (C-USA),12,5-7,7,5,12,13,10,23,-11,-0.92
Wyoming (Mountain West),12,2-10,5,5,10,10,11,21,-11,-0.92
Army West Point (FBS Independent),12,2-10,5,6,11,13,9,22,-11,-0.92
Nebraska (Big Ten),13,6-7,5,10,15,6,21,27,-12,-0.92
Colorado St. (Mountain West),13,7-6,7,8,15,12,15,27,-12,-0.92
Rice (C-USA),12,5-7,8,2,10,13,9,22,-12,-1.00
Eastern Mich. (MAC),12,1-11,8,4,12,11,14,25,-13,-1.08
Wake Forest (ACC),12,3-9,5,6,11,6,18,24,-13,-1.08
Miami (OH) (MAC),12,3-9,7,10,17,12,19,31,-14,-1.17
ULM (Sun Belt),13,2-11,9,5,14,11,19,30,-16,-1.23
Cincinnati (AAC),13,7-6,5,9,14,11,22,33,-19,-1.46
Maryland (Big Ten),12,3-9,9,9,18,7,29,36,-18,-1.50
UCF (AAC),12,0-12,9,4,13,10,23,33,-20,-1.67
Hawaii (Mountain West),13,3-10,8,3,11,13,21,34,-23,-1.77
Charlotte (C-USA),12,2-10,12,10,22,12,23,35,-13,-1.08
