Team,Games,Win-Loss,Redzone Attempts,Redzone Rush TD,Redzone Pass TD,Redzone Field Goals Made,Redzone Scores,Redzone Points
Southern Miss. (C-USA),14,9-5,73,24,24,11,59,0.808
Marshall (C-USA),13,10-3,62,15,19,16,50,0.806
TCU (Big 12),13,11-2,66,22,21,10,53,0.803
Ball St. (MAC),12,3-9,45,13,8,15,36,0.800
Georgia St. (Sun Belt),13,6-7,45,13,16,7,36,0.800
Rice (C-USA),12,5-7,44,15,12,8,35,0.795
New Mexico St. (Sun Belt),12,3-9,39,11,13,7,31,0.795
Western Mich. (MAC),13,8-5,58,21,14,11,46,0.793
UConn (AAC),13,6-7,33,12,4,10,26,0.788
Georgia (SEC),13,10-3,42,11,7,15,33,0.786
UNLV (Mountain West),12,3-9,46,16,11,9,36,0.783
Wake Forest (ACC),12,3-9,32,10,5,10,25,0.781
Texas A&M (SEC),13,8-5,54,12,18,12,42,0.778
Boston College (ACC),12,3-9,27,11,6,4,21,0.778
Iowa St. (Big 12),12,3-9,40,14,9,8,31,0.775
Missouri (SEC),12,5-7,31,5,5,14,24,0.774
Hawaii (Mountain West),13,3-10,31,12,8,4,24,0.774
Army West Point (FBS Independent),12,2-10,31,15,5,4,24,0.774
New Mexico (Mountain West),13,7-6,43,25,1,7,33,0.767
ULM (Sun Belt),13,2-11,30,5,10,8,23,0.767
Akron (),13,8-5,47,17,7,12,36,0.766
Ohio (MAC),13,8-5,51,19,8,12,39,0.765
Texas St. (Sun Belt),12,3-9,46,20,8,7,35,0.761
UTSA (C-USA),12,3-9,41,12,11,8,31,0.756
Kent St. (MAC),12,3-9,20,4,7,4,15,0.750
UCF (AAC),12,0-12,28,4,8,9,21,0.750
Fla. Atlantic (C-USA),12,3-9,51,13,9,15,37,0.725
Illinois (Big Ten),12,5-7,40,11,9,9,29,0.725
Utah St. (Mountain West),13,6-7,43,15,9,7,31,0.721
North Texas (C-USA),12,1-11,28,6,7,7,20,0.714
Colorado (Pac-12),13,4-9,54,20,6,12,38,0.704
Fresno St. (Mountain West),12,3-9,33,9,9,5,23,0.697
Massachusetts (MAC),12,3-9,42,11,11,7,29,0.690
Old Dominion (C-USA),12,5-7,43,9,12,8,29,0.674
Kansas (Big 12),12,0-12,30,9,7,4,20,0.667
Florida (SEC),14,10-4,51,19,10,5,34,0.667
Vanderbilt (SEC),12,4-8,33,6,9,6,21,0.636
Wyoming (Mountain West),12,2-10,39,9,13,2,24,0.615
Charlotte (C-USA),12,2-10,37,8,6,11,25,0.676
