Team,Games,Win-Loss,Rush Attempts,Rush Yds,Yards/Rush,Rushing TD,Rushing Yards per Game
Auburn (SEC),13,7-6,587,2553,4.35,28,196.4
UNLV (Mountain West),12,3-9,500,2324,4.65,20,193.7
Duke (ACC),13,8-5,524,2508,4.79,25,192.9
Georgia (SEC),13,10-3,486,2498,5.14,22,192.2
Boise St. (Mountain West),13,9-4,553,2488,4.50,36,191.4
Texas Tech (Big 12),13,7-6,464,2487,5.36,34,191.3
NIU (MAC),14,8-6,643,2661,4.14,31,190.1
Northwestern (Big Ten),13,10-3,600,2451,4.09,16,188.5
Texas St. (Sun Belt),12,3-9,470,2248,4.78,24,187.3
Pittsburgh (ACC),13,8-5,509,2429,4.77,19,186.8
Ole Miss (SEC),13,10-3,463,2380,5.14,29,183.1
Utah (Pac-12),13,10-3,571,2379,4.17,24,183.0
San Jose St. (Mountain West),13,6-7,531,2378,4.48,24,182.9
Iowa St. (Big 12),12,3-9,498,2184,4.39,18,182.0
Iowa (Big Ten),14,12-2,568,2544,4.48,35,181.7
Ohio (MAC),13,8-5,547,2351,4.30,22,180.8
New Mexico St. (Sun Belt),12,3-9,443,2166,4.89,16,180.5
Bowling Green (MAC),14,10-4,542,2520,4.65,34,180.0
Nebraska (Big Ten),13,6-7,496,2340,4.72,24,180.0
Southern Miss. (C-USA),14,9-5,502,2517,5.01,31,179.8
Memphis (AAC),13,9-4,563,2333,4.14,29,179.5
Arizona St. (Pac-12),13,6-7,536,2319,4.33,19,178.4
Cincinnati (AAC),13,7-6,512,2313,4.52,25,177.9
Rice (C-USA),12,5-7,533,2131,4.00,21,177.6
UCLA (Pac-12),13,8-5,459,2308,5.03,26,177.5
Oregon St. (Pac-12),12,2-10,446,2128,4.77,15,177.3
Tulsa (AAC),13,6-7,591,2264,3.83,33,174.2
Wyoming (Mountain West),12,2-10,478,2081,4.35,12,173.4
Louisiana (Sun Belt),12,4-8,451,2074,4.60,25,172.8
Louisville (ACC),13,8-5,491,2223,4.53,23,171.0
Rutgers (Big Ten),12,4-8,469,2039,4.35,17,169.9
Texas A&M (SEC),13,8-5,505,2198,4.35,13,169.1
Marshall (C-USA),13,10-3,496,2196,4.43,19,168.9
UTSA (C-USA),12,3-9,510,2026,3.97,16,168.8
Florida St. (ACC),13,10-3,425,2187,5.15,27,168.2
Southern California (Pac-12),14,8-6,527,2355,4.47,26,168.2
Utah St. (Mountain West),13,6-7,481,2146,4.46,22,165.1
Fla. Atlantic (C-USA),12,3-9,497,1977,3.98,15,164.8
SMU (AAC),12,2-10,503,1974,3.92,23,164.5
Boston College (ACC),12,3-9,502,1973,3.93,17,164.4
Akron (),13,8-5,535,2134,3.99,20,164.2
Washington (Pac-12),13,7-6,477,2130,4.47,27,163.8
Syracuse (ACC),12,4-8,445,1958,4.40,15,163.2
Kentucky (SEC),12,5-7,419,1952,4.66,22,162.7
South Alabama (Sun Belt),12,5-7,481,1928,4.01,18,160.7
Louisiana Tech (C-USA),13,9-4,431,2075,4.81,27,159.6
Virginia Tech (ACC),13,7-6,545,2070,3.80,19,159.2
North Texas (C-USA),12,1-11,436,1904,4.37,7,158.7
Michigan (Big Ten),13,10-3,491,2057,4.19,27,158.2
Eastern Mich. (MAC),12,1-11,421,1894,4.50,20,157.8
Kansas St. (Big 12),13,6-7,531,2050,3.86,29,157.7
Colorado (Pac-12),13,4-9,542,2031,3.75,23,156.2
Vanderbilt (SEC),12,4-8,495,1856,3.75,9,154.7
South Carolina (SEC),12,3-9,423,1856,4.39,11,154.7
Western Ky. (C-USA),14,12-2,465,2158,4.64,30,154.1
Ball St. (MAC),12,3-9,437,1840,4.21,15,153.3
California (Pac-12),13,8-5,439,1987,4.53,16,152.8
Old Dominion (C-USA),12,5-7,401,1821,4.54,16,151.8
Michigan St. (Big Ten),14,12-2,552,2118,3.84,24,151.3
Wisconsin (Big Ten),13,10-3,512,1954,3.82,27,150.3
Temple (AAC),14,10-4,517,2096,4.05,25,149.7
Idaho (Sun Belt),12,4-8,458,1766,3.86,23,147.2
UTEP (C-USA),12,5-7,447,1761,3.94,8,146.8
Middle Tenn. (C-USA),13,7-6,503,1894,3.77,23,145.7
Virginia (ACC),12,4-8,424,1737,4.10,13,144.8
Minnesota (Big Ten),13,6-7,446,1873,4.20,17,144.1
Mississippi St. (SEC),13,9-4,427,1873,4.39,21,144.1
Massachusetts (MAC),12,3-9,392,1707,4.35,15,142.3
Buffalo (MAC),12,5-7,425,1643,3.87,17,136.9
Fresno St. (Mountain West),12,3-9,423,1642,3.88,14,136.8
Penn St. (Big Ten),13,7-6,425,1744,4.10,15,134.2
East Carolina (AAC),12,5-7,404,1600,3.96,19,133.3
Kent St. (MAC),12,3-9,447,1593,3.56,6,132.8
Purdue (Big Ten),12,2-10,417,1576,3.78,22,131.3
Miami (OH) (MAC),12,3-9,428,1556,3.64,7,129.7
Illinois (Big Ten),12,5-7,388,1551,4.00,13,129.3
BYU (FBS Independent),13,9-4,413,1668,4.04,28,128.3
Florida (SEC),14,10-4,510,1777,3.48,19,126.9
Oklahoma St. (Big 12),13,10-3,460,1649,3.58,25,126.8
UConn (AAC),13,6-7,477,1622,3.40,14,124.8
Hawaii (Mountain West),13,3-10,425,1611,3.79,15,123.9
Troy (Sun Belt),12,4-8,381,1429,3.75,14,119.1
Miami (FL) (ACC),13,8-5,423,1548,3.66,20,119.1
Tulane (AAC),12,3-9,397,1389,3.50,11,115.8
Missouri (SEC),12,5-7,397,1385,3.49,5,115.4
Kansas (Big 12),12,0-12,445,1355,3.04,10,112.9
FIU (C-USA),12,5-7,385,1319,3.43,15,109.9
Wake Forest (ACC),12,3-9,417,1262,3.03,12,105.2
ULM (Sun Belt),13,2-11,425,1338,3.15,7,102.9
Central Mich. (MAC),13,7-6,420,1317,3.14,16,101.3
Georgia St. (Sun Belt),13,6-7,407,1260,3.10,15,96.9
UCF (AAC),12,0-12,356,975,2.74,4,81.3
Washington St. (Pac-12),13,9-4,293,1041,3.55,8,80.1
Charlotte (C-USA),12,2-10,562,1957,3.48,9,163.1
