Team,Games,Win-Loss,Punt Returns,Net Punt Return Yards,Punt Return Touchdowns,Avg Yards Per Punt Return
South Carolina (SEC),12,3-9,10,81,0,8.10
Utah St. (Mountain West),13,6-7,18,148,0,8.22
South Fla. (AAC),13,8-5,25,206,0,8.24
Georgia (SEC),13,10-3,18,152,1,8.44
Stanford (Pac-12),14,12-2,11,93,0,8.45
Buffalo (MAC),12,5-7,22,187,0,8.50
Syracuse (ACC),12,4-8,14,119,1,8.50
Toledo (MAC),12,10-2,13,112,0,8.62
Texas St. (Sun Belt),12,3-9,20,174,0,8.70
Temple (AAC),14,10-4,16,140,0,8.75
Colorado St. (Mountain West),13,7-6,17,149,0,8.76
North Carolina (ACC),14,11-3,5,44,0,8.80
Notre Dame (FBS Independent),13,10-3,22,194,0,8.82
Southern Miss. (CUSA),14,9-5,16,143,0,8.94
Purdue (Big Ten),12,2-10,15,135,1,9.00
FIU (CUSA),12,5-7,17,155,1,9.12
Cincinnati (AAC),13,7-6,12,111,0,9.25
Florida St. (ACC),13,10-3,21,197,1,9.38
Old Dominion (CUSA),12,5-7,25,235,1,9.40
UTEP (CUSA),12,5-7,29,276,1,9.52
North Texas (CUSA),12,1-11,19,181,0,9.53
Memphis (AAC),13,9-4,16,155,0,9.69
Middle Tenn. (CUSA),13,7-6,24,233,1,9.71
Massachusetts (MAC),12,3-9,22,214,1,9.73
Troy (Sun Belt),12,4-8,19,190,1,10.00
Minnesota (Big Ten),13,6-7,30,305,0,10.17
Kentucky (SEC),12,5-7,23,235,1,10.22
Alabama (SEC),15,14-1,27,279,2,10.33
California (Pac-12),13,8-5,6,62,0,10.33
Oregon St. (Pac-12),12,2-10,16,167,1,10.44
Ball St. (MAC),12,3-9,13,136,0,10.46
ULM (Sun Belt),13,2-11,26,273,1,10.50
Michigan (Big Ten),13,10-3,15,161,1,10.73
Rice (CUSA),12,5-7,22,237,1,10.77
New Mexico St. (Sun Belt),12,3-9,27,293,2,10.85
Texas A&M (SEC),13,8-5,22,241,0,10.95
Tulsa (AAC),13,6-7,17,187,1,11.00
SMU (AAC),12,2-10,26,290,0,11.15
Tennessee (SEC),13,9-4,19,214,1,11.26
Boise St. (Mountain West),13,9-4,12,137,1,11.42
Rutgers (Big Ten),12,4-8,15,172,0,11.47
Nebraska (Big Ten),13,6-7,18,207,0,11.50
Louisiana Tech (CUSA),13,9-4,16,185,0,11.56
Illinois (Big Ten),12,5-7,25,297,1,11.88
Arizona St. (Pac-12),13,6-7,22,267,1,12.14
Texas Tech (Big 12),13,7-6,24,297,1,12.38
BYU (FBS Independent),13,9-4,21,260,1,12.38
Auburn (SEC),13,7-6,7,87,1,12.43
Nevada (Mountain West),13,7-6,16,199,0,12.44
Mississippi St. (SEC),13,9-4,10,125,1,12.50
Miami (FL) (ACC),13,8-5,18,228,1,12.67
Michigan St. (Big Ten),14,12-2,21,269,2,12.81
Tulane (AAC),12,3-9,26,340,2,13.08
Fresno St. (Mountain West),12,3-9,17,230,3,13.53
Iowa (Big Ten),14,12-2,13,180,2,13.85
Southern California (Pac-12),14,8-6,17,236,1,13.88
South Alabama (Sun Belt),12,5-7,31,434,0,14.00
UNLV (Mountain West),12,3-9,13,182,1,14.00
Georgia St. (Sun Belt),13,6-7,21,295,2,14.05
Washington St. (Pac-12),13,9-4,14,202,2,14.43
Vanderbilt (SEC),12,4-8,31,468,2,15.10
Oregon (Pac-12),13,9-4,18,275,3,15.28
Navy (AAC),13,11-2,11,174,0,15.82
Bowling Green (MAC),14,10-4,15,270,1,18.00
LSU (SEC),12,9-3,11,208,1,18.91
Charlotte (CUSA),12,2-10,14,95,2,6.79
