Team,Games,Win-Loss,Pass Attempts,Pass Completions,Passing Interceptions Thrown,Pass Yards,Pass Yards/Attempt,Yards/Completion,Pass Touchdowns,Pass Yards Per Game
Purdue (Big Ten),12,2-10,504,290,16,2847,5.65,9.82,18,237.3
Michigan St. (Big Ten),14,12-2,440,244,8,3279,7.45,13.44,26,234.2
Ohio (MAC),13,8-5,403,240,13,3019,7.49,12.58,18,232.2
Marshall (C-USA),13,10-3,471,275,13,3009,6.39,10.94,25,231.5
Texas St. (Sun Belt),12,3-9,431,249,12,2752,6.39,11.05,15,229.3
Wisconsin (Big Ten),13,10-3,419,252,13,2968,7.08,11.78,14,228.3
Wake Forest (ACC),12,3-9,417,236,18,2739,6.57,11.61,13,228.3
Colorado St. (Mountain West),13,7-6,392,233,15,2965,7.56,12.73,24,228.1
Alabama (SEC),15,14-1,446,301,10,3407,7.64,11.32,22,227.1
Iowa St. (Big 12),12,3-9,411,237,12,2716,6.61,11.46,18,226.3
Virginia Tech (ACC),13,7-6,394,223,14,2936,7.45,13.17,24,225.8
Rice (C-USA),12,5-7,373,212,9,2691,7.21,12.69,20,224.3
Eastern Mich. (MAC),12,1-11,409,249,14,2666,6.52,10.71,18,222.2
San Jose St. (Mountain West),13,6-7,391,264,12,2882,7.37,10.92,21,221.7
Old Dominion (C-USA),12,5-7,433,235,9,2634,6.08,11.21,20,219.5
Kansas (Big 12),12,0-12,452,243,14,2623,5.80,10.79,12,218.6
SMU (AAC),12,2-10,366,203,8,2620,7.16,12.91,19,218.3
Ball St. (MAC),12,3-9,459,263,9,2619,5.71,9.96,17,218.3
Temple (AAC),14,10-4,439,250,8,3038,6.92,12.15,20,217.0
Minnesota (Big Ten),13,6-7,427,251,11,2793,6.54,11.13,15,214.8
Penn St. (Big Ten),13,7-6,404,215,6,2788,6.90,12.97,20,214.5
Fla. Atlantic (C-USA),12,3-9,394,206,12,2557,6.49,12.41,12,213.1
Stanford (Pac-12),14,12-2,318,213,8,2965,9.32,13.92,30,211.8
UNLV (Mountain West),12,3-9,365,196,13,2537,6.95,12.94,21,211.4
NC State (ACC),13,7-6,413,246,6,2740,6.63,11.14,20,210.8
Kentucky (SEC),12,5-7,397,218,16,2512,6.33,11.52,10,209.3
Miami (OH) (MAC),12,3-9,374,177,19,2502,6.69,14.14,18,208.5
NIU (MAC),14,8-6,404,240,10,2918,7.22,12.16,22,208.4
ULM (Sun Belt),13,2-11,477,256,19,2703,5.67,10.56,25,207.9
Louisiana (Sun Belt),12,4-8,386,225,12,2491,6.45,11.07,13,207.6
South Carolina (SEC),12,3-9,351,191,12,2490,7.09,13.04,17,207.5
Arkansas St. (Sun Belt),13,9-4,365,207,15,2693,7.38,13.01,23,207.2
Rutgers (Big Ten),12,4-8,337,203,12,2485,7.37,12.24,19,207.1
Florida (SEC),14,10-4,405,229,10,2899,7.16,12.66,20,207.1
Utah St. (Mountain West),13,6-7,403,229,10,2672,6.63,11.67,21,205.5
Iowa (Big Ten),14,12-2,369,227,5,2862,7.76,12.61,17,204.4
Tulane (AAC),12,3-9,403,205,10,2415,5.99,11.78,18,201.3
South Alabama (Sun Belt),12,5-7,352,184,16,2394,6.80,13.01,15,199.5
Tennessee (SEC),13,9-4,371,220,5,2582,6.96,11.74,17,198.6
App State (Sun Belt),13,11-2,297,180,9,2546,8.57,14.14,33,195.8
UTEP (C-USA),12,5-7,387,214,10,2346,6.06,10.96,18,195.5
South Fla. (AAC),13,8-5,301,179,9,2536,8.43,14.17,26,195.1
UTSA (C-USA),12,3-9,360,211,11,2321,6.45,11.00,17,193.4
Akron (),13,8-5,370,184,12,2508,6.78,13.63,18,192.9
Hawaii (Mountain West),13,3-10,422,202,21,2501,5.93,12.38,12,192.4
Pittsburgh (ACC),13,8-5,343,212,9,2478,7.22,11.69,21,190.6
Ohio St. (Big Ten),13,12-1,325,204,9,2455,7.55,12.03,19,188.8
Wyoming (Mountain West),12,2-10,308,183,11,2247,7.30,12.28,20,187.3
UCF (AAC),12,0-12,425,211,23,2246,5.28,10.64,13,187.2
UConn (AAC),13,6-7,342,201,10,2412,7.05,12.00,10,185.5
Georgia (SEC),13,10-3,327,199,8,2406,7.36,12.09,14,185.1
LSU (SEC),12,9-3,278,149,6,2165,7.79,14.53,13,180.4
Utah (Pac-12),13,10-3,352,224,11,2340,6.65,10.45,15,180.0
Fresno St. (Mountain West),12,3-9,403,202,16,2140,5.31,10.59,20,178.3
Kansas St. (Big 12),13,6-7,345,162,13,2288,6.63,14.12,14,176.0
Maryland (Big Ten),12,3-9,388,183,29,2092,5.39,11.43,15,174.3
Auburn (SEC),13,7-6,306,179,12,2257,7.38,12.61,11,173.6
Vanderbilt (SEC),12,4-8,376,192,16,2062,5.48,10.74,11,171.8
Missouri (SEC),12,5-7,373,186,12,1986,5.32,10.68,10,165.5
Nevada (Mountain West),13,7-6,331,186,7,2139,6.46,11.50,15,164.5
North Texas (C-USA),12,1-11,407,190,11,1937,4.76,10.19,12,161.4
Oregon St. (Pac-12),12,2-10,343,161,11,1909,5.57,11.86,10,159.1
Syracuse (ACC),12,4-8,306,164,9,1881,6.15,11.47,19,156.8
Texas (Big 12),12,5-7,252,139,6,1751,6.95,12.60,9,145.9
San Diego St. (Mountain West),14,11-3,252,141,3,1988,7.89,14.10,17,142.0
Northwestern (Big Ten),13,10-3,352,174,13,1801,5.12,10.35,8,138.5
Kent St. (MAC),12,3-9,343,175,10,1657,4.83,9.47,9,138.1
New Mexico (Mountain West),13,7-6,230,118,14,1768,7.69,14.98,6,136.0
Air Force (Mountain West),14,8-6,170,87,12,1847,10.86,21.23,15,131.9
Georgia Tech (ACC),12,3-9,192,81,10,1462,7.61,18.05,14,121.8
Boston College (ACC),12,3-9,249,111,9,1334,5.36,12.02,8,111.2
Navy (AAC),13,11-2,122,64,2,1280,10.49,20.00,9,98.5
Army West Point (FBS Independent),12,2-10,108,49,9,1128,10.44,23.02,10,94.0
Ga. Southern (Sun Belt),13,9-4,137,59,10,824,6.01,13.97,4,63.4
Charlotte (C-USA),12,2-10,375,196,23,2089,5.57,10.66,12,174.1
