Team,Games,Win-Loss,Kickoffs Returned,Kickoff Return Yards,Kickoff Return Touchdowns,Avg Yard per Kickoff Return
UConn (AAC),13,6-7,35,750,1,21.43
Oklahoma (Big 12),13,11-2,50,1073,0,21.46
Oregon St. (Pac-12),12,2-10,38,817,0,21.50
Michigan St. (Big Ten),14,12-2,48,1038,1,21.63
Eastern Mich. (MAC),12,1-11,27,585,0,21.67
Arizona (Pac-12),13,7-6,51,1106,0,21.69
UTEP (CUSA),12,5-7,24,521,0,21.71
Minnesota (Big Ten),13,6-7,25,546,0,21.84
Syracuse (ACC),12,4-8,35,766,0,21.89
Utah St. (Mountain West),13,6-7,30,658,0,21.93
Fresno St. (Mountain West),12,3-9,28,615,2,21.96
East Carolina (AAC),12,5-7,31,682,0,22.00
Washington (Pac-12),13,7-6,49,1079,0,22.02
New Mexico St. (Sun Belt),12,3-9,27,597,0,22.11
Notre Dame (FBS Independent),13,10-3,58,1283,0,22.12
Wake Forest (ACC),12,3-9,23,511,0,22.22
Colorado (Pac-12),13,4-9,47,1050,0,22.34
SMU (AAC),12,2-10,20,447,0,22.35
Buffalo (MAC),12,5-7,40,894,0,22.35
Boise St. (Mountain West),13,9-4,36,805,1,22.36
Oregon (Pac-12),13,9-4,36,807,0,22.42
Tulsa (AAC),13,6-7,67,1505,0,22.46
UNLV (Mountain West),12,3-9,40,900,0,22.50
Massachusetts (MAC),12,3-9,33,743,0,22.52
New Mexico (Mountain West),13,7-6,21,474,0,22.57
Colorado St. (Mountain West),13,7-6,43,974,1,22.65
San Diego St. (Mountain West),14,11-3,58,1319,0,22.74
Louisville (ACC),13,8-5,45,1028,1,22.84
Virginia (ACC),12,4-8,30,689,1,22.97
App State (Sun Belt),13,11-2,40,919,0,22.98
Oklahoma St. (Big 12),13,10-3,70,1611,1,23.01
Maryland (Big Ten),12,3-9,39,898,1,23.03
Baylor (Big 12),13,10-3,61,1406,1,23.05
Navy (AAC),13,11-2,65,1502,2,23.11
Georgia Tech (ACC),12,3-9,19,440,1,23.16
Rice (CUSA),12,5-7,31,718,0,23.16
UTSA (CUSA),12,3-9,30,697,0,23.23
Central Mich. (MAC),13,7-6,40,932,1,23.30
Iowa (Big Ten),14,12-2,36,848,1,23.56
Middle Tenn. (CUSA),13,7-6,58,1369,1,23.60
Indiana (Big Ten),13,6-7,37,878,1,23.73
Purdue (Big Ten),12,2-10,34,809,0,23.79
West Virginia (Big 12),13,8-5,59,1405,1,23.81
Tulane (AAC),12,3-9,28,667,1,23.82
UCLA (Pac-12),13,8-5,24,572,0,23.83
North Texas (CUSA),12,1-11,24,582,0,24.25
Air Force (Mountain West),14,8-6,34,825,1,24.26
Louisiana Tech (CUSA),13,9-4,62,1529,3,24.66
Penn St. (Big Ten),13,7-6,33,818,2,24.79
Clemson (ACC),15,14-1,71,1764,3,24.85
Texas Tech (Big 12),13,7-6,43,1077,1,25.05
Nevada (Mountain West),13,7-6,36,903,1,25.08
San Jose St. (Mountain West),13,6-7,38,974,0,25.63
Kent St. (MAC),12,3-9,27,710,1,26.30
Cincinnati (AAC),13,7-6,51,1343,2,26.33
Texas (Big 12),12,5-7,12,316,0,26.33
Missouri (SEC),12,5-7,24,636,0,26.50
Hawaii (Mountain West),13,3-10,25,667,1,26.68
Idaho (Sun Belt),12,4-8,27,722,2,26.74
Georgia St. (Sun Belt),13,6-7,29,777,0,26.79
Arizona St. (Pac-12),13,6-7,18,483,1,26.83
Texas St. (Sun Belt),12,3-9,17,613,1,36.06
Charlotte (CUSA),12,2-10,35,829,1,23.69
