Team,Games,Win-Loss,Sacks,Sack Yards,Average Sacks per Game
Old Dominion (C-USA),13,6-7,32,218,2.46
Miami (FL) (ACC),12,7-5,30,190,2.5
Navy (AAC),12,4-8,30,165,2.5
Wake Forest (ACC),14,11-3,35,188,2.5
Oklahoma (Big 12),13,11-2,33,183,2.54
Stanford (Pac-12),12,3-9,31,165,2.58
Mississippi St. (SEC),13,7-6,34,210,2.62
Ole Miss (SEC),13,10-3,34,218,2.62
Penn St. (Big Ten),13,7-6,34,217,2.62
Colorado (Pac-12),12,4-8,32,211,2.67
Troy (Sun Belt),12,5-7,32,228,2.67
Tulane (AAC),12,2-10,32,199,2.67
Notre Dame (FBS Independent),13,11-2,35,216,2.69
UAB (C-USA),13,9-4,35,240,2.69
Georgia Tech (ACC),12,3-9,33,286,2.75
New Mexico (Mountain West),12,3-9,33,239,2.75
Toledo (MAC),13,7-6,36,239,2.77
Houston (AAC),14,12-2,39,272,2.79
Alabama (SEC),15,13-2,42,284,2.8
Syracuse (ACC),12,5-7,34,221,2.83
Kent St. (MAC),14,7-7,40,230,2.86
Arizona (Pac-12),12,1-11,35,251,2.92
Fla. Atlantic (C-USA),12,5-7,35,216,2.92
Hawaii (Mountain West),13,6-7,38,256,2.92
LSU (SEC),13,6-7,38,252,2.92
West Virginia (Big 12),13,6-7,38,294,2.92
East Carolina (AAC),12,7-5,36,221,3.0
Florida St. (ACC),12,5-7,36,252,3.0
Eastern Mich. (MAC),13,7-6,42,256,3.23
Bowling Green (MAC),12,4-8,39,276,3.25
ULM (Sun Belt),12,4-8,39,198,3.25
New Mexico St. (FBS Independent),12,2-10,40,258,3.33
UConn (FBS Independent),12,1-11,40,258,3.33
UNLV (Mountain West),12,2-10,40,247,3.33
Virginia (ACC),12,6-6,40,232,3.33
Tennessee (SEC),13,7-6,44,233,3.38
FIU (C-USA),12,1-11,41,282,3.42
Nevada (Mountain West),13,8-5,45,276,3.46
Southern Miss. (C-USA),12,3-9,44,360,3.67
North Carolina (ACC),13,6-7,49,277,3.77
Arkansas St. (Sun Belt),12,2-10,48,313,4.0
Liberty (FBS Independent),13,8-5,52,355,4.0
Akron (MAC),12,2-10,63,355,5.25
