Team,Games,Win-Loss,4th Attempts,4th Conversions,4th Percent
Tulane (AAC),12,2-10,19,38,0.5
Northwestern (Big Ten),12,3-9,16,32,0.5
Indiana (Big Ten),12,2-10,11,22,0.5
Maryland (Big Ten),13,7-6,11,22,0.5
Western Ky. (C-USA),14,9-5,11,22,0.5
Alabama (SEC),15,13-2,9,18,0.5
Syracuse (ACC),12,5-7,9,18,0.5
Virginia Tech (ACC),13,6-7,9,18,0.5
Purdue (Big Ten),13,9-4,8,16,0.5
Eastern Mich. (MAC),13,7-6,14,29,0.483
South Carolina (SEC),13,7-6,14,29,0.483
Texas Tech (Big 12),13,7-6,14,29,0.483
Kent St. (MAC),14,7-7,13,27,0.481
Oregon St. (Pac-12),13,7-6,11,23,0.478
Tulsa (AAC),13,7-6,9,19,0.474
Louisiana Tech (C-USA),12,3-9,8,17,0.471
Tennessee (SEC),13,7-6,15,32,0.469
ULM (Sun Belt),12,4-8,15,32,0.469
Penn St. (Big Ten),13,7-6,12,26,0.462
Western Mich. (MAC),13,8-5,12,26,0.462
Utah (Pac-12),14,10-4,11,24,0.458
Middle Tenn. (C-USA),13,7-6,15,33,0.455
Akron (MAC),12,2-10,14,31,0.452
New Mexico St. (FBS Independent),12,2-10,9,20,0.45
Oregon (Pac-12),14,10-4,9,20,0.45
Texas (Big 12),12,5-7,9,20,0.45
Massachusetts (FBS Independent),12,1-11,11,25,0.44
Temple (AAC),12,3-9,11,25,0.44
Georgia Tech (ACC),12,3-9,10,23,0.435
Washington (Pac-12),12,4-8,10,23,0.435
Liberty (FBS Independent),13,8-5,13,30,0.433
Ga. Southern (Sun Belt),12,3-9,12,28,0.429
Miami (OH) (MAC),13,7-6,9,21,0.429
Old Dominion (C-USA),13,6-7,9,21,0.429
Virginia (ACC),12,6-6,8,19,0.421
Fla. Atlantic (C-USA),12,5-7,10,24,0.417
Toledo (MAC),13,7-6,10,24,0.417
NC State (ACC),12,9-3,5,12,0.417
Southern Miss. (C-USA),12,3-9,7,17,0.412
North Texas (C-USA),13,6-7,16,39,0.41
Colorado St. (Mountain West),12,3-9,10,25,0.4
FIU (C-USA),12,1-11,6,15,0.4
TCU (Big 12),12,5-7,7,18,0.389
Duke (ACC),12,3-9,11,29,0.379
UConn (FBS Independent),12,1-11,11,29,0.379
Washington St. (Pac-12),13,7-6,9,24,0.375
Boise St. (Mountain West),12,7-5,6,16,0.375
Kentucky (SEC),13,10-3,6,16,0.375
Kansas (Big 12),12,2-10,11,30,0.367
Rutgers (Big Ten),13,5-8,14,39,0.359
Illinois (Big Ten),12,5-7,5,14,0.357
Wyoming (Mountain West),13,7-6,7,20,0.35
New Mexico (Mountain West),12,3-9,7,21,0.333
Bowling Green (MAC),12,4-8,6,18,0.333
San Jose St. (Mountain West),12,5-7,4,12,0.333
Colorado (Pac-12),12,4-8,6,19,0.316
Iowa (Big Ten),14,10-4,5,16,0.312
California (Pac-12),12,5-7,9,29,0.31
Arkansas St. (Sun Belt),12,2-10,5,17,0.294
Florida St. (ACC),12,5-7,7,24,0.292
Hawaii (Mountain West),13,6-7,5,20,0.25
UNLV (Mountain West),12,2-10,4,17,0.235
