Team,Games,Win-Loss,Opp 4th Conversion,Opp 4th Attempt,Opponent 4th Percent
Alabama (SEC),15,13-2,17,31,0.548
Massachusetts (FBS Independent),12,1-11,11,20,0.55
Fla. Atlantic (C-USA),12,5-7,15,27,0.556
TCU (Big 12),12,5-7,10,18,0.556
Notre Dame (FBS Independent),13,11-2,9,16,0.562
Ohio (MAC),12,3-9,15,26,0.577
Texas (Big 12),12,5-7,11,19,0.579
Northwestern (Big Ten),12,3-9,7,12,0.583
South Alabama (Sun Belt),12,5-7,14,24,0.583
Stanford (Pac-12),12,3-9,14,24,0.583
North Carolina (ACC),13,6-7,10,17,0.588
Washington (Pac-12),12,4-8,10,17,0.588
Arkansas (SEC),13,9-4,15,25,0.6
Georgia Tech (ACC),12,3-9,9,15,0.6
Kent St. (MAC),14,7-7,21,35,0.6
Virginia (ACC),12,6-6,12,20,0.6
Kansas St. (Big 12),13,8-5,20,33,0.606
Baylor (Big 12),14,12-2,17,28,0.607
Kansas (Big 12),12,2-10,11,18,0.611
Navy (AAC),12,4-8,11,18,0.611
San Jose St. (Mountain West),12,5-7,11,18,0.611
North Texas (C-USA),13,6-7,13,21,0.619
Vanderbilt (SEC),12,2-10,13,21,0.619
Charlotte (C-USA),12,5-7,15,24,0.625
Penn St. (Big Ten),13,7-6,15,24,0.625
Oklahoma (Big 12),13,11-2,24,38,0.632
South Fla. (AAC),12,2-10,14,22,0.636
Virginia Tech (ACC),13,6-7,16,25,0.64
Colorado St. (Mountain West),12,3-9,11,17,0.647
East Carolina (AAC),12,7-5,11,17,0.647
Michigan St. (Big Ten),13,11-2,24,37,0.649
BYU (FBS Independent),13,10-3,17,26,0.654
Memphis (AAC),12,6-6,17,26,0.654
Indiana (Big Ten),12,2-10,10,15,0.667
LSU (SEC),13,6-7,14,21,0.667
Oregon (Pac-12),14,10-4,24,36,0.667
Rice (C-USA),12,4-8,12,18,0.667
Texas St. (Sun Belt),12,4-8,15,22,0.682
Western Mich. (MAC),13,8-5,15,22,0.682
Southern California (Pac-12),12,4-8,13,19,0.684
Duke (ACC),12,3-9,9,13,0.692
Akron (MAC),12,2-10,7,10,0.7
Buffalo (MAC),12,4-8,14,20,0.7
Troy (Sun Belt),12,5-7,23,32,0.719
UConn (FBS Independent),12,1-11,18,25,0.72
Illinois (Big Ten),12,5-7,13,18,0.722
New Mexico (Mountain West),12,3-9,11,15,0.733
Texas Tech (Big 12),13,7-6,22,30,0.733
FIU (C-USA),12,1-11,9,12,0.75
Temple (AAC),12,3-9,24,31,0.774
Tulane (AAC),12,2-10,23,29,0.793
Missouri (SEC),13,6-7,18,22,0.818
Arkansas St. (Sun Belt),12,2-10,11,13,0.846
