Team,Games,Win-Loss,Redzone Attempts,Redzone Rush TD,Redzone Pass TD,Redzone Field Goals Made,Redzone Scores,Redzone Points
Hawaii (Mountain West),13,6-7,45,16,9,13,38,0.844
Kansas St. (Big 12),13,8-5,45,23,7,8,38,0.844
Georgia (SEC),15,14-1,70,22,20,17,59,0.843
Eastern Mich. (MAC),13,7-6,57,23,12,13,48,0.842
Oregon (Pac-12),14,10-4,57,30,9,9,48,0.842
Oregon St. (Pac-12),13,7-6,57,28,12,8,48,0.842
Minnesota (Big Ten),13,9-4,50,23,7,12,42,0.84
Old Dominion (C-USA),13,6-7,50,18,9,15,42,0.84
SMU (AAC),12,8-4,50,18,14,10,42,0.84
Ga. Southern (Sun Belt),12,3-9,31,13,3,10,26,0.839
Ohio (MAC),12,3-9,37,14,3,14,31,0.838
Boston College (ACC),12,6-6,43,19,7,10,36,0.837
Colorado St. (Mountain West),12,3-9,49,12,9,20,41,0.837
Utah (Pac-12),14,10-4,73,31,21,9,61,0.836
ULM (Sun Belt),12,4-8,30,9,9,7,25,0.833
Western Mich. (MAC),13,8-5,54,26,7,12,45,0.833
Bowling Green (MAC),12,4-8,35,12,6,11,29,0.829
LSU (SEC),13,6-7,35,6,15,8,29,0.829
Air Force (Mountain West),13,10-3,58,35,4,9,48,0.828
TCU (Big 12),12,5-7,46,15,11,12,38,0.826
New Mexico St. (FBS Independent),12,2-10,40,11,11,11,33,0.825
Central Mich. (MAC),13,9-4,51,15,20,7,42,0.824
Kent St. (MAC),14,7-7,68,26,11,19,56,0.824
Middle Tenn. (C-USA),13,7-6,45,12,16,9,37,0.822
Louisiana Tech (C-USA),12,3-9,44,14,10,12,36,0.818
Marshall (C-USA),13,7-6,55,31,7,7,45,0.818
San Jose St. (Mountain West),12,5-7,38,12,8,11,31,0.816
Virginia Tech (ACC),13,6-7,43,14,10,11,35,0.814
Arizona St. (Pac-12),13,8-5,52,26,8,8,42,0.808
Wisconsin (Big Ten),13,9-4,52,20,8,14,42,0.808
Clemson (ACC),13,10-3,46,22,7,8,37,0.804
Liberty (FBS Independent),13,8-5,45,19,13,4,36,0.8
Memphis (AAC),12,6-6,45,15,11,10,36,0.8
Temple (AAC),12,3-9,25,12,2,6,20,0.8
Cincinnati (AAC),14,13-1,63,23,19,8,50,0.794
Louisiana (Sun Belt),14,13-1,62,26,16,7,49,0.79
Penn St. (Big Ten),13,7-6,42,11,9,13,33,0.786
Georgia Tech (ACC),12,3-9,37,11,7,11,29,0.784
Washington St. (Pac-12),13,7-6,55,16,15,12,43,0.782
California (Pac-12),12,5-7,41,16,8,8,32,0.78
Utah St. (Mountain West),14,11-3,54,10,18,14,42,0.778
Charlotte (C-USA),12,5-7,49,11,19,8,38,0.776
Miami (OH) (MAC),13,7-6,49,13,15,10,38,0.776
Fla. Atlantic (C-USA),12,5-7,40,15,7,9,31,0.775
Illinois (Big Ten),12,5-7,31,6,8,10,24,0.774
Vanderbilt (SEC),12,2-10,31,8,8,8,24,0.774
Nebraska (Big Ten),12,3-9,53,28,7,6,41,0.774
Indiana (Big Ten),12,2-10,35,12,7,8,27,0.771
South Fla. (AAC),12,2-10,43,22,4,7,33,0.767
Syracuse (ACC),12,5-7,34,17,3,6,26,0.765
Rutgers (Big Ten),13,5-8,46,20,4,11,35,0.761
Tulsa (AAC),13,7-6,50,15,9,14,38,0.76
Troy (Sun Belt),12,5-7,37,13,9,6,28,0.757
South Carolina (SEC),13,7-6,41,7,13,11,31,0.756
North Texas (C-USA),13,6-7,49,22,4,11,37,0.755
Ole Miss (SEC),13,10-3,69,29,12,11,52,0.754
Maryland (Big Ten),13,7-6,60,19,14,12,45,0.75
UConn (FBS Independent),12,1-11,28,7,5,9,21,0.75
Arizona (Pac-12),12,1-11,39,5,7,17,29,0.744
South Alabama (Sun Belt),12,5-7,50,14,16,7,37,0.74
Rice (C-USA),12,4-8,38,15,9,4,28,0.737
Kansas (Big 12),12,2-10,40,12,13,4,29,0.725
Iowa (Big Ten),14,10-4,47,15,4,15,34,0.723
Duke (ACC),12,3-9,43,17,3,11,31,0.721
Tulane (AAC),12,2-10,46,15,13,5,33,0.717
Southern Miss. (C-USA),12,3-9,27,5,9,5,19,0.704
Akron (MAC),12,2-10,36,5,13,7,25,0.694
Massachusetts (FBS Independent),12,1-11,35,12,6,6,24,0.686
Northwestern (Big Ten),12,3-9,34,10,8,5,23,0.676
FIU (C-USA),12,1-11,32,9,7,5,21,0.656
New Mexico (Mountain West),12,3-9,26,4,6,6,16,0.615
