Team,Games,Win-Loss,Kickoffs Returned,Kickoff Return Yards,Kickoff Return Touchdowns,Avg Yard per Kickoff Return
East Carolina (AAC),12,7-5,38,866,2,22.79
Wake Forest (ACC),14,11-3,43,980,1,22.79
Washington St. (Pac-12),13,7-6,31,707,0,22.81
Massachusetts (FBS Independent),12,1-11,18,411,1,22.83
SMU (AAC),12,8-4,25,572,1,22.88
Oregon St. (Pac-12),13,7-6,15,344,0,22.93
Mississippi St. (SEC),13,7-6,20,460,0,23.0
Oregon (Pac-12),14,10-4,36,828,0,23.0
Georgia St. (Sun Belt),13,8-5,41,953,0,23.24
Temple (AAC),12,3-9,24,559,0,23.29
Hawaii (Mountain West),13,6-7,27,630,1,23.33
UTSA (C-USA),14,12-2,43,1004,0,23.35
Utah (Pac-12),14,10-4,45,1062,3,23.6
Houston (AAC),14,12-2,39,923,3,23.67
Virginia (ACC),12,6-6,11,263,1,23.91
Florida (SEC),13,6-7,32,773,1,24.16
Oklahoma (Big 12),13,11-2,38,925,2,24.34
Vanderbilt (SEC),12,2-10,20,487,0,24.35
UCLA (Pac-12),12,8-4,23,571,0,24.83
Nevada (Mountain West),13,8-5,24,597,1,24.88
Southern Miss. (C-USA),12,3-9,17,428,2,25.18
Nebraska (Big Ten),12,3-9,18,456,1,25.33
Southern California (Pac-12),12,4-8,16,409,1,25.56
Maryland (Big Ten),13,7-6,46,1197,1,26.02
Iowa St. (Big 12),13,7-6,23,600,1,26.09
Texas (Big 12),12,5-7,19,498,0,26.21
Tulsa (AAC),13,7-6,47,1236,4,26.3
Florida St. (ACC),12,5-7,21,555,0,26.43
NC State (ACC),12,9-3,15,400,1,26.67
Illinois (Big Ten),12,5-7,9,241,1,26.78
Miami (FL) (ACC),12,7-5,25,673,2,26.92
Clemson (ACC),13,10-3,16,431,1,26.94
San Diego St. (Mountain West),14,12-2,11,299,0,27.18
Indiana (Big Ten),12,2-10,16,443,1,27.69
South Alabama (Sun Belt),12,5-7,28,782,2,27.93
Arizona (Pac-12),12,1-11,7,215,0,30.71
