Team,Games,Win-Loss,Opp First Down Runs,Opp First Down Passes,Opp First Down Penalties,Opp First Downs
Wyoming (Mountain West),13,7-6,121,117,15,253
California (Pac-12),12,5-7,108,125,21,254
Indiana (Big Ten),12,2-10,103,133,19,255
Tulsa (AAC),13,7-6,92,135,29,256
App State (Sun Belt),14,10-4,100,132,25,257
Arizona St. (Pac-12),13,8-5,102,119,36,257
Bowling Green (MAC),12,4-8,136,94,27,257
LSU (SEC),13,6-7,103,142,12,257
UNLV (Mountain West),12,2-10,118,127,12,257
Northwestern (Big Ten),12,3-9,121,123,14,258
Texas (Big 12),12,5-7,117,127,14,258
UCLA (Pac-12),12,8-4,98,132,28,258
Miami (OH) (MAC),13,7-6,100,135,24,259
Toledo (MAC),13,7-6,102,122,35,259
Utah (Pac-12),14,10-4,103,136,21,260
Florida (SEC),13,6-7,111,117,33,261
Southern California (Pac-12),12,4-8,98,127,36,261
Auburn (SEC),13,6-7,87,154,21,262
Middle Tenn. (C-USA),13,7-6,111,134,17,262
Rice (C-USA),12,4-8,112,127,23,262
Alabama (SEC),15,13-2,86,141,36,263
TCU (Big 12),12,5-7,124,118,22,264
Cincinnati (AAC),14,13-1,124,120,22,266
Vanderbilt (SEC),12,2-10,115,133,18,266
Virginia Tech (ACC),13,6-7,122,124,20,266
Baylor (Big 12),14,12-2,99,141,27,267
Georgia Tech (ACC),12,3-9,116,132,19,267
Penn St. (Big Ten),13,7-6,123,121,24,268
Washington St. (Pac-12),13,7-6,123,128,17,268
Arkansas St. (Sun Belt),12,2-10,139,114,16,269
Charlotte (C-USA),12,5-7,120,134,15,269
Colorado (Pac-12),12,4-8,123,123,23,269
Ga. Southern (Sun Belt),12,3-9,104,141,24,269
Louisiana (Sun Belt),14,13-1,113,130,26,269
Temple (AAC),12,3-9,143,109,17,269
Tulane (AAC),12,2-10,107,144,21,272
Louisiana Tech (C-USA),12,3-9,112,141,22,275
Oklahoma (Big 12),13,11-2,102,152,21,275
Nevada (Mountain West),13,8-5,131,129,16,276
Old Dominion (C-USA),13,6-7,102,146,28,276
Maryland (Big Ten),13,7-6,113,130,34,277
Ohio St. (Big Ten),13,11-2,97,151,29,277
UCF (AAC),13,9-4,111,140,26,277
ULM (Sun Belt),12,4-8,110,156,11,277
BYU (FBS Independent),13,10-3,118,145,15,278
Marshall (C-USA),13,7-6,139,115,24,278
Stanford (Pac-12),12,3-9,152,111,15,278
Texas Tech (Big 12),13,7-6,99,160,19,278
New Mexico St. (FBS Independent),12,2-10,112,143,24,279
Pittsburgh (ACC),14,11-3,80,162,37,279
UTSA (C-USA),14,12-2,105,148,27,280
Virginia (ACC),12,6-6,119,132,30,281
Memphis (AAC),12,6-6,125,138,19,282
Georgia St. (Sun Belt),13,8-5,115,140,29,284
Kansas (Big 12),12,2-10,151,122,13,286
Massachusetts (FBS Independent),12,1-11,143,116,27,286
Oregon St. (Pac-12),13,7-6,118,142,26,286
Akron (MAC),12,2-10,158,113,16,287
UConn (FBS Independent),12,1-11,136,127,24,287
South Fla. (AAC),12,2-10,120,151,17,288
Ball St. (MAC),13,6-7,131,140,18,289
Duke (ACC),12,3-9,114,155,20,289
Utah St. (Mountain West),14,11-3,117,146,26,289
Louisville (ACC),13,6-7,118,148,26,292
Ohio (MAC),12,3-9,120,145,27,292
Tennessee (SEC),13,7-6,118,154,23,295
North Carolina (ACC),13,6-7,134,132,31,297
Eastern Mich. (MAC),13,7-6,144,134,20,298
Texas St. (Sun Belt),12,4-8,132,146,20,298
FIU (C-USA),12,1-11,149,137,13,299
Missouri (SEC),13,6-7,156,116,29,301
Hawaii (Mountain West),13,6-7,111,168,25,304
NIU (MAC),14,9-5,159,137,16,312
Wake Forest (ACC),14,11-3,148,137,29,314
Oregon (Pac-12),14,10-4,122,163,31,316
Michigan St. (Big Ten),13,11-2,102,192,25,319
Ole Miss (SEC),13,10-3,144,143,37,324
Western Ky. (C-USA),14,9-5,139,169,24,332
Kent St. (MAC),14,7-7,155,174,31,360
