Team,Games,Win-Loss,Solo Tackle For Loss,Assist Tackle For Loss,Tackle for Loss Yards,Total Tackle For Loss,Tackle For Loss Per Game
South Alabama (Sun Belt),12,5-7,43,40,261,63,5.2
UConn (FBS Independent),12,1-11,40,46,183,63,5.2
Old Dominion (C-USA),13,6-7,51,34,269,68,5.2
Georgia Tech (ACC),12,3-9,50,24,250,62,5.2
Washington (Pac-12),12,4-8,57,10,235,62,5.2
Washington St. (Pac-12),13,7-6,42,50,233,67,5.2
Michigan (Big Ten),14,12-2,59,26,318,72,5.1
Virginia Tech (ACC),13,6-7,53,26,248,66,5.1
Army West Point (FBS Independent),13,9-4,47,36,263,65,5.0
Oregon St. (Pac-12),13,7-6,44,40,212,64,4.9
Texas Tech (Big 12),13,7-6,53,22,248,64,4.9
Colorado (Pac-12),12,4-8,52,12,140,58,4.8
Duke (ACC),12,3-9,45,26,203,58,4.8
Indiana (Big Ten),12,2-10,53,10,242,58,4.8
Navy (AAC),12,4-8,48,20,207,58,4.8
Rice (C-USA),12,4-8,39,38,270,58,4.8
Iowa (Big Ten),14,10-4,54,26,295,67,4.8
FIU (C-USA),12,1-11,44,26,163,57,4.8
Louisiana Tech (C-USA),12,3-9,40,34,232,57,4.8
Maryland (Big Ten),13,7-6,56,10,299,61,4.7
South Carolina (SEC),13,7-6,50,22,268,61,4.7
Boston College (ACC),12,6-6,49,14,278,56,4.7
Kent St. (MAC),14,7-7,49,32,235,65,4.6
BYU (FBS Independent),13,10-3,43,34,220,60,4.6
Oregon (Pac-12),14,10-4,54,18,225,63,4.5
ULM (Sun Belt),12,4-8,40,26,236,53,4.4
Wyoming (Mountain West),13,7-6,45,24,251,57,4.4
NIU (MAC),14,9-5,45,32,197,61,4.4
Charlotte (C-USA),12,5-7,38,28,208,52,4.3
Southern California (Pac-12),12,4-8,43,18,185,52,4.3
Texas St. (Sun Belt),12,4-8,28,48,168,52,4.3
Virginia (ACC),12,6-6,38,28,181,52,4.3
Stanford (Pac-12),12,3-9,39,24,189,51,4.2
Vanderbilt (SEC),12,2-10,41,20,181,51,4.2
Minnesota (Big Ten),13,9-4,46,18,237,55,4.2
Ball St. (MAC),13,6-7,46,16,196,54,4.2
Northwestern (Big Ten),12,3-9,37,20,164,47,3.9
South Fla. (AAC),12,2-10,36,22,147,47,3.9
TCU (Big 12),12,5-7,43,8,177,47,3.9
UNLV (Mountain West),12,2-10,38,18,170,47,3.9
Ohio (MAC),12,3-9,32,26,177,45,3.8
Massachusetts (FBS Independent),12,1-11,30,28,172,44,3.7
Eastern Mich. (MAC),13,7-6,35,20,212,45,3.5
Akron (MAC),12,2-10,27,28,189,41,3.4
Kansas (Big 12),12,2-10,35,12,162,41,3.4
